SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
ABCO,2017-09-30,USD,2051462000,706370000,151458000,151458000,None,None,52425000,147181000,None,239745000,239745000,737023000,None,20699000,None,27525000,None,1475951000,658832000,None,None,None,70978000,817119000,None,415902000,70978000,None,None,533202000,170844000,575511000,None,-231878000,408000,None
ABCO,2017-06-30,USD,2045254000,740726000,144033000,144033000,None,None,59432000,155020000,None,244907000,244907000,737023000,None,10180000,None,22251000,None,1479181000,698988000,None,None,None,63764000,780193000,None,437251000,63764000,None,None,563744000,119004000,566073000,None,-232563000,406000,None
ABCO,2017-03-31,USD,2034768000,720946000,150080000,150080000,None,None,63556000,162668000,None,250036000,250036000,737023000,None,13711000,None,22375000,None,1486352000,690668000,None,None,None,56554000,795684000,None,458592000,56554000,None,None,562309000,104226000,548416000,None,-247310000,404000,None
ABCO,2016-12-31,USD,2036878000,715633000,91151000,91151000,0,None,72178000,234649000,None,255053000,255053000,739507000,None,19858000,0,18965000,None,1519834000,706807000,None,None,None,49347000,813027000,None,472739000,49347000,None,None,589758000,80918000,517044000,None,-266218000,402000,None
ABCO,2016-09-30,USD,1970962000,697254000,55088000,55088000,None,None,66554000,207608000,None,260039000,260039000,739507000,None,19858000,None,20262000,None,1500365000,713867000,None,None,None,42145000,786498000,None,520066000,42145000,None,None,594529000,50168000,470597000,None,-302085000,401000,None
ABCO,2016-06-30,USD,1903800000,638969000,17487000,17487000,None,None,69641000,187984000,None,264948000,264948000,740458000,None,19858000,None,20986000,1800000,1477858000,701546000,None,None,None,51946000,776312000,None,516069000,51946000,None,None,585094000,32211000,425942000,None,-331625000,403000,None
ABCO,2016-03-31,USD,1896630000,627641000,52437000,52437000,None,None,72835000,183525000,None,269860000,269860000,740458000,None,511000,None,21149000,1800000,1456092000,677490000,None,None,None,27750000,778602000,None,522752000,None,None,None,589369000,23626000,440538000,None,-312961000,409000,None
ABCO,2015-12-31,USD,1979866000,699920000,71825000,71825000,0,None,81462000,183057000,None,274721000,274721000,738200000,None,706000,0,22651000,1800000,1530775000,725374000,None,None,None,27851000,805401000,None,525067000,27743000,None,None,622644000,15188000,449091000,None,-295860000,416000,None
ABCO,2015-09-30,USD,2102492000,701697000,56075000,56075000,None,None,80787000,182934000,None,285440000,285440000,842859000,None,3077000,None,25388000,5698000,1537532000,718391000,None,None,None,27885000,819141000,None,529422000,None,None,None,614211000,12101000,564960000,None,-169030000,419000,None
ABCO,2015-06-30,USD,2111025000,703053000,49550000,49550000,None,None,86351000,178690000,None,290744000,290744000,840809000,None,5680000,None,34295000,5698000,1520195000,682462000,None,None,None,27880000,837733000,None,536395000,None,None,None,583391000,10136000,590830000,None,-137893000,425000,None
ABCO,2015-03-31,USD,2069572000,662713000,77856000,77856000,None,None,85144000,179352000,None,278942000,278942000,850856000,None,6937000,None,36350000,5628000,1494682000,667737000,None,None,None,27874000,826945000,None,543368000,None,None,None,552373000,11699000,574890000,None,-146608000,422000,None
ABCO,2014-12-31,USD,1126104000,None,72936000,72936000,None,None,None,135107000,None,225868000,225868000,186895000,None,None,14714000,34722000,None,806315000,614645000,None,None,None,None,None,None,None,None,None,None,533858000,None,320051000,None,None,361000,None
ABCO,2014-09-30,USD,1022581000,539693000,26886000,26886000,None,None,77802000,116252000,None,32909000,32909000,153028000,None,97527000,2402000,26553000,5370000,701095000,547058000,None,None,None,None,154037000,None,None,None,None,None,476936000,8633000,314723000,None,-117498000,360000,None
ABCO,2014-06-30,USD,1045411000,560365000,41057000,41057000,None,None,81249000,108869000,None,34220000,34220000,152748000,None,102590000,2427000,29032000,5370000,717032000,549857000,None,None,None,None,167175000,None,None,None,None,None,474127000,9514000,321266000,None,-105615000,363000,None
ABCO,2014-03-31,USD,1041335000,467902000,23129000,23129000,0,None,86147000,102457000,None,33755000,33755000,129424000,None,177801000,2452000,27212000,5550000,704176000,566113000,None,None,None,27743000,138063000,None,0,27743000,None,None,488298000,8975000,337286000,None,-94306000,363000,None
ABCO,2013-12-31,USD,1058342000,544054000,52717000,52717000,None,None,85050000,100311000,None,34654000,34654000,129424000,None,155440000,1044000,15796000,5550000,736546000,554735000,None,None,None,None,181811000,None,None,None,None,None,477276000,16721000,321923000,None,-93997000,361000,None
ABCO,2013-09-30,USD,950136000,495593000,73383000,73383000,None,None,79460000,86928000,None,31391000,31391000,104478000,None,142309000,4501000,19976000,5550000,640763000,510244000,None,None,None,None,130519000,None,None,None,None,None,430552000,16182000,309381000,None,-94272000,360000,None
ABCO,2013-06-30,USD,909587000,458239000,29051000,29051000,None,None,77459000,77377000,None,31497000,31497000,95540000,None,160609000,11130000,19897000,5550000,618958000,490177000,None,None,None,None,128781000,None,None,None,None,None,421266000,17465000,290637000,None,-98274000,357000,None
ABCO,2013-03-31,USD,877707000,449179000,57829000,57829000,0,None,73502000,71174000,None,32381000,32381000,95540000,None,142135000,16611000,15477000,9908000,596290000,482861000,None,None,None,None,113429000,None,0,None,None,None,407772000,15866000,281425000,None,-95809000,351000,None
ABCO,2012-12-31,USD,873669000,483928000,81743000,81743000,None,None,63263000,65344000,None,33353000,33353000,95427000,None,122056000,16792000,8625000,6390000,607644000,475768000,None,None,None,None,131876000,None,None,None,None,None,414646000,18928000,266033000,None,-97208000,351000,None
ABCO,2012-09-30,USD,797844000,436059000,79927000,79927000,None,None,57327000,58071000,None,18735000,18735000,74235000,None,138489000,15304000,12957000,8890000,547208000,424628000,None,None,None,None,122580000,None,None,None,None,None,355546000,15889000,250644000,None,-96651000,348000,None
