SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
AFMD,2020-09-30,EUR,107938000,101392000,89656000,89656000,410000,None,6546000,3389000,None,93000,93000,None,None,3064000,7687000,1087000,None,60922000,45180000,None,None,None,1070000,15742000,1111000,207000,1070000,None,1277000,35208000,None,47016000,None,-261001000,883000,88326040
AFMD,2020-06-30,EUR,101148000,95069000,84584000,84584000,421000,None,6079000,2773000,None,103000,103000,None,None,3203000,8037000,None,None,60646000,32491000,None,None,None,1039000,28155000,546000,231000,1039000,None,1365000,24395000,None,40502000,None,-255035000,845000,84493155
AFMD,2020-03-31,EUR,97016000,90749000,82765000,82765000,337000,None,6267000,2872000,None,121000,121000,None,None,3274000,5476000,None,None,65830000,34991000,None,None,None,1401000,30839000,677000,254000,1401000,None,1810000,24634000,None,31186000,None,-242797000,762000,76249901
AFMD,2019-12-31,EUR,112359000,105914000,95234000,95234000,296000,None,6445000,3115000,None,137000,137000,None,None,3193000,8902000,8902000,6445000,73692000,35181000,None,None,None,2105000,38511000,804000,278000,2105000,None,2655000,21870000,None,38667000,None,-234508000,762000,76249901
AFMD,2019-09-30,EUR,85550000,79530000,59995000,59995000,330000,None,6020000,2577000,0,149000,149000,0,None,3294000,16530000,1491000,6020000,63317000,29153000,None,None,None,2960000,34164000,529000,300000,2960000,None,3452000,39551705.80,0,22233000,0,-221516000,624000,62000000
AFMD,2019-06-30,EUR,99117000,92487000,63987000,63987000,330000,None,6630000,2613000,0,168000,168000,0,None,3849000,23726000,2973000,6630000,66272000,26565000,None,None,None,3552000,39707000,623000,323000,3552000,None,4121000,44821716.92,0,32845000,0,-210632000,624000,62000000
AFMD,2019-03-31,EUR,110339000,104325000,63089000,63089000,325000,None,6014000,2009000,0,107000,107000,0,None,3898000,32043000,570000,6014000,67684000,32937000,None,None,None,3083000,34747000,636000,957000,3083000,None,4342000,65111948.60,0,42655000,0,39364000,624000,62000000
AFMD,2018-12-31,EUR,116174000,110879000,94829000,94829000,260000,None,0,1621931.64,0,56000,56000,0,None,13148604.35,13974000,49366563.96,0,76045000,36843000,None,None,None,3083000,0,0,5809448.72,10597946.98,None,4773000,86894227.66,0,137945187.92,0,-231869694.88,715760.50,61000000
AFMD,2018-09-30,USD,49100000,40100000,37100000,37100000,300000,None,0,2282930.83,0,100000,100000,0,None,13631126.68,0,192190.09,0,13200000,11000000,None,None,None,3083000,0,0,4030603.28,5537589.08,None,5283000,1151344.33,0,64389066.98,0,-378819230.70,1120809.47,64000000
AFMD,2018-06-30,USD,59500000,50700000,47400000,47400000,300000,None,0,1431564.25,0,100000,100000,0,None,8770949.72,0,2297486.03,0,12300000,9500000,None,None,None,3083000,0,0,3339152.70,3588221.60,None,5983000,530726.26,0,54912709.50,0,-231475791.43,726256.98,62000000
AFMD,2018-03-31,USD,66600000,58200000,55300000,55300000,300000,None,None,1436831.10,None,100000,100000,0,None,8771066.55,0,1000123.02,None,12300000,8800000,None,None,None,3083000,None,None,4283429.70,3792594.42,None,6583000,559724.44,None,66751137.90,0,-234801328.58,767622.09,55000000
AFMD,2017-12-31,USD,43200000,42000000,39800000,39800000,200000,None,None,1339000,None,100000,100000,None,None,None,None,613000,None,11600000,7500000,None,None,None,3083000,None,None,4912000,3083000,None,7183000,1239000,None,37965000,None,-182667000,563000,44000000
AFMD,2017-09-30,USD,45400000,44200000,33300000,33300000,300000,None,None,1323000,None,100000,100000,None,None,None,8500000,593000,None,11500000,6900000,None,None,None,2500000,None,None,5531000,2500000,None,7200000,39000,None,39936000,None,-176246000,528000,45000000
