SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
ALLY,2020-12-31,USD,182165000000,17098000000,15621000000,16692000000,None,None,2701000000,726000000,815000000,393000000,50000000,343000000,32490000000,320000000,1071000000,406000000,10165000000,167462000000,7221000000,None,104000000,7221000000,2136000000,17446000000,187000000,22006000000,5085000000,16921000000,24142000000,274072000000,3438000000,14703000000,3194000000,-4278000000,21544000000,374674415
ALLY,2020-09-30,USD,185270000000,21007000000,19939000000,20566000000,None,None,2610000000,705000000,780000000,398000000,55000000,343000000,32251000000,362000000,627000000,1964000000,9543000000,171144000000,9809000000,None,89000000,9809000000,3032000000,19382000000,None,25704000000,6777000000,18927000000,28736000000,134938000000,3401000000,14126000000,3193000000,-4893000000,21517000000,373857000
ALLY,2020-06-30,USD,184061000000,20148000000,19131000000,19744000000,None,None,2516000000,685000000,748000000,403000000,60000000,343000000,31601000000,361000000,613000000,2362000000,9943000000,170235000000,12394000000,None,76000000,12394000000,3689000000,20868000000,None,29176000000,8705000000,20471000000,32865000000,131036000000,3338000000,13826000000,3192000000,-5296000000,21499000000,373837000
ALLY,2020-03-31,USD,182527000000,7337000000,6161000000,7102000000,None,None,2562000000,641000000,714000000,457000000,64000000,393000000,31979000000,350000000,941000000,1809000000,11495000000,169008000000,17181000000,None,54000000,17181000000,9493000000,23786000000,None,31066000000,7688000000,23378000000,40559000000,122324000000,3305000000,13519000000,3192000000,-5465000000,21470000000,373155000
ALLY,2019-12-31,USD,180644000000,4329000000,3555000000,4171000000,None,None,2464000000,646000000,686000000,462000000,69000000,393000000,32854000000,358000000,616000000,1534000000,9247000000,166228000000,14750000000,None,36000000,14750000000,5531000000,25180000000,None,34027000000,9219000000,24808000000,39558000000,241504000000,3305000000,14416000000,3088000000,-4057000000,21438000000,374331998
ALLY,2019-09-30,USD,181485000000,3617000000,3617000000,3617000000,None,None,2146000000,632000000,662000000,240000000,0,240000000,128609000000,322000000,570000000,1760000000,8881000000,167035000000,15255000000,None,26000000,15255000000,5335000000,26160000000,None,35730000000,9920000000,25810000000,41065000000,238460000000,3246000000,14450000000,2789000000,-4368000000,21417000000,383523000
ALLY,2019-06-30,USD,180448000000,3563000000,3563000000,3563000000,None,None,2058000000,605000000,640000000,240000000,0,240000000,129210000000,317000000,591000000,991000000,9126000000,166132000000,15846000000,None,28000000,15846000000,6519000000,28461000000,None,37466000000,9327000000,28139000000,43985000000,232650000000,3171000000,14316000000,2489000000,-4682000000,21403000000,392775000
ALLY,2019-03-31,USD,180117000000,3957000000,3957000000,3957000000,None,None,1794000000,578000000,708000000,240000000,0,240000000,130055000000,289000000,536000000,1074000000,8930000000,166418000000,15693000000,None,28000000,15693000000,6115000000,32248000000,None,41490000000,9578000000,31912000000,47605000000,113299000000,3096000000,13699000000,2260000000,-5195000000,21379000000,399760804
ALLY,2018-12-31,USD,178869000000,5624000000,4537000000,5310000000,314000000,None,1774000000,564000000,686000000,299000000,59000000,240000000,158663000000,262000000,773000000,1956000000,9252000000,165601000000,18963000000,None,27000000,18963000000,9987000000,35536000000,None,44193000000,8976000000,35217000000,54180000000,212356000000,3044000000,13268000000,2049000000,-5489000000,21345000000,404900000
ALLY,2018-09-30,USD,173101000000,3772000000,3772000000,3772000000,425000000,None,776000000,536000000,667000000,240000000,240000000,240000000,126605000000,128028000000,514000000,1428000000,8601000000,160016000000,17000000000,None,27000000,17000000000,7338000000,35818000000,None,45542000000,9662000000,35818000000,52880000000,101379000000,3020000000,13085000000,1740000000,-5716000000,21322000000,416591000
