SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
ATHM,2020-12-31,CNY,23730845000,18364080000,1751222000,1751222000,None,None,5366765000,619420000,None,440421000,440421000,4071391000,None,70418000,12878176000,312091000,67291000,5978290000,4185683000,None,None,None,31063000,1792607000,202708000,None,None,None,202708000,1854926000,104861000,17625734000,None,13465587000,8089000,479219628
ATHM,2020-09-30,CNY,20423811000,18100022000,1807095000,1807095000,None,None,2323789000,370929000,None,None,None,None,None,69569000,11660229000,None,238668000,3965739000,3361019000,None,None,None,None,604720000,None,None,None,None,None,1126737000,89258000,16480391000,None,None,16480391000,479219628
ATHM,2020-06-30,CNY,19632545000,16549229000,2004278000,2004278000,None,None,3083316000,359799000,None,None,None,None,None,69849000,11022952000,None,1099114000,4091367000,3489542000,None,None,None,None,601825000,None,None,None,None,None,1340298000,106128000,15563899000,None,None,15563899000,12379534500
ATHM,2020-03-31,CNY,19591000000,16656130000,2024801000,2024801000,None,None,2934870000,297395000,None,1529327000,1529327000,None,None,70209000,11276016000,None,1010157000,4966582000,4380138000,None,None,None,None,586444000,None,None,None,None,None,2377152000,109354000,14647490000,None,None,14647490000,476308996
ATHM,2019-12-31,CNY,19155865000,16358382000,1988298000,1988298000,0,None,2797483000,362828000,0,27746000,27746000,1504278000,None,829528000,10806812000,240178000,9419000,4549924000,3965903000,None,None,None,0,584021000,75848000,0,0,None,75848000,1665647000,22467000,14629097000,0,10698280000,8029000,475706748
ATHM,2019-09-30,CNY,17627549000,14742433000,727928000,727928000,0,None,2885116000,321610000,0,1534932000,1534932000,0,None,69435000,10449656000,0,909733000,4157734000,3656414000,None,None,None,0,501320000,0,0,0,None,0,0.41,51610000,13493091000,0,0,13493091000,120000000
ATHM,2019-06-30,CNY,16951604000,14141827000,1606520000,1606520000,0,None,2809777000,283927000,0,1537849000,1537849000,0,None,69308000,9224736000,0,895428000,4240553000,3742131000,None,None,None,0,498422000,0,0,0,None,0,0.88,46255000,12734437000,0,0,12734437000,120000000
ATHM,2019-03-31,CNY,16406647000,13653776000,868769000,868769000,0,None,2752871000,148149000,0,1540765000,1540765000,0,None,69397000,9607613000,0,894983000,4576889000,4069242000,None,None,None,0,507647000,0,0,0,None,0,1.43,60568000,11853357000,0,0,11853357000,119000000
ATHM,2018-12-31,CNY,15756201000,13141317000,211970000,211970000,0,None,0,522965.73,0,39404000,39404000,1504278000,None,2293188.64,9849488000,616292.55,26096000,4644758000,4164769000,None,None,None,0,0,0,0,0,None,0,5880874.01,0,34215259.57,0,23039995.94,24486.27,119000000
ATHM,2018-09-30,USD,13715777000,11059996000,483106000,483106000,0,None,0,22714554,0,225143763.92,225143763.92,0,None,10553654.88,7862744000,0,741213000,3689981000,3207074000,None,None,None,0,0,0,0,0,None,None,166811425.41,0,1462682962.34,0,0,1462682962.34,119000000
ATHM,2018-06-30,USD,12685318000,10010844000,462679000,462679000,0,None,0,18662267.55,0,232362627.47,232362627.47,0,None,21555188.96,7222326000,0,695680000,3455922000,2974988000,None,None,None,0,0,0,0,0,None,None,200281193.76,0,1387125374.93,0,0,1387125374.93,119000000
ATHM,2018-03-31,USD,12107216000,10096701000,833897000,833897000,0,None,None,18324655.68,None,247161531.73,247161531.73,0,None,23253881.06,7129721000,9141628.85,30531000,3671794000,3191408000,None,None,None,0,None,None,0,0,None,None,264957726.30,None,1345928190.43,0,0,1345928190.43,119000000
ATHM,2017-12-31,USD,12294975000,10258586000,911588000,911588000,None,None,None,20030000,None,50923000,50923000,1504278000,None,147929000,7242636000,22245000,17361000,4359689000,3889316000,None,None,None,None,None,None,None,None,None,None,575586000,None,1222144000,None,721955000,1216000,118000000
ATHM,2017-09-30,USD,10778202000,8709932000,1286027000,1286027000,5402000,None,None,20576000,None,234178000,234178000,None,None,152547000,5598215000,30252000,30341000,3008120000,2468169000,None,None,None,None,None,None,None,None,None,None,323572000,None,1169977000,None,None,7784211000,119000000
ATHM,2017-06-30,USD,10022435000,8000935000,808356000,808356000,1422000,None,None,20380000,None,225931000,225931000,None,None,129028000,5478468000,49061000,41008000,2757628000,2289050000,None,None,None,None,None,None,None,None,None,None,295919000,None,1073551000,None,None,7277925000,118000000
ATHM,2017-03-31,USD,9619606000,7633847000,1594285000,1594285000,32880000,None,None,21340000,None,222687000,222687000,None,None,131848000,4595573000,49620000,44122000,2905697000,2441461000,None,None,None,None,None,None,None,None,None,None,312994000,None,977101000,None,None,6725582000,117000000
ATHM,2016-12-31,USD,9392026000,7531760000,3293911000,3293911000,95617000,None,None,19383000,None,29667000,29667000,1504278000,None,134466000,2430091000,61313000,34037000,3040813000,2544040000,None,None,None,31063000,None,None,None,4470000,None,31063000,324961000,None,916089000,None,481992000,1121000,116000000
ATHM,2016-09-30,USD,9114029000,7288737000,1883828000,1883828000,182916000,None,None,17897000,None,230189000,230189000,1504000000,None,136282000,2324268000,153422000,34647000,3244981000,2736914000,None,None,None,958586000,None,None,None,None,None,958586000,224213000,None,881354000,None,3221000000,5877314000,116000000
ATHM,2016-06-30,USD,8673159000,6869856000,1963266000,1963266000,196688000,None,None,15279000,None,231144000,231144000,1504000000,None,135000000,1855587000,163068000,30939000,3094316000,2590482000,None,None,None,879578000,None,None,None,None,None,879578000,221226000,None,839235000,None,3221000000,5577000000,116000000
ATHM,2016-03-31,USD,7725505000,5933391000,2232265000,2232265000,216905000,None,None,15017000,None,238414000,238414000,1504000000,None,134000000,2012262000,59884000,23518000,2584783000,2069845000,None,None,None,238978000,None,None,None,None,None,238978000,252633000,None,797259000,None,3221000000,5141000000,116000000
ATHM,2015-12-31,USD,7530076000,5742475000,2152647000,2152647000,111667000,None,None,15986000,None,34155000,34155000,1504278000,None,124102000,1955315000,51779000,21512000,2679040000,2156534000,None,None,None,174943000,None,None,None,26941000,None,174943000,271174000,None,748871000,None,317437000,1179000,116000000
