SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
BAND,2020-12-31,USD,890608000,193599000,72163000,72163000,None,85185000,651785000,5957000,None,620294000,248055000,372239000,40000000,None,40000000,16919000,1975000,460685000,92189000,11665000,25802000,None,67000,368778000,22717000,282196000,None,282196000,282196000,299655000,25295000,429923000,None,-49505000,24000,24216065
BAND,2020-09-30,USD,670432000,590815000,300179000,300179000,None,72813000,79617000,43926000,44441000,13046000,6179000,6867000,230780000,None,230780000,12260000,1724000,357293000,57841000,7776000,11858000,None,5162000,299452000,20800000,277483000,None,277483000,277483000,15705000,21969000,313139000,None,-29579000,24000,24216065
BAND,2020-06-30,USD,657957000,577331000,290979000,290979000,None,65033000,80626000,43770000,41279000,13176000,6309000,6867000,230780000,None,230780000,3088000,1939000,345023000,48705000,4474000,11588000,None,None,296318000,22132000,272901000,None,272901000,272901000,9759000,23417000,312934000,None,-27227000,24000,24155271
BAND,2020-03-31,USD,665276000,566873000,491982000,491982000,None,58474000,98403000,43905000,38069000,13306000,6439000,6867000,None,None,None,27792000,1626000,337117000,43976000,5325000,11318000,None,None,293141000,23459000,268383000,None,268383000,268383000,9897000,24758000,328159000,None,-6586000,23000,23633351
BAND,2019-12-31,USD,341416000,226949000,184414000,184414000,None,46451000,78559000,41654000,34913000,13436000,6569000,6867000,None,None,None,3158000,1533000,71326000,45738000,4190000,21794000,None,None,25588000,24744000,None,None,None,24744000,9344000,25588000,270090000,None,-5528000,24000,23511879
BAND,2019-09-30,USD,320954000,233312000,192410000,192410000,None,46758000,87642000,36085000,39492000,13566000,6699000,6867000,None,None,None,2522000,1250000,0,41085000,3343000,21550000,None,None,9483000,None,None,None,None,None,10195000,5755000,270386000,None,-3572000,23000,23000000
BAND,2019-06-30,USD,313495000,233219000,140091000,195930000,None,41777000,80276000,31799000,37321000,13696000,6829000,6867000,None,None,55839000,2053000,2128000,0,34772000,3089000,21574000,None,None,9598000,None,None,None,None,None,7879000,5900000,269125000,None,-2558000,23000,24000000
BAND,2019-03-31,USD,142000,235604000,138871000,198391000,None,41255000,43031000,26363000,35553000,13826000,6959000,6867000,None,None,59520000,2344000,1409000,0,32761000,3369000,None,None,None,9019000,None,None,None,None,None,7747000,6359000,261875000,None,-6030000,23000,22000000
BAND,2018-12-31,USD,150420000,91654000,41261000,58661000,None,35304000,58902000,25136000,33702000,13956000,7089000,6867000,None,None,17400000,8744000,487000,41650000,32723000,3418000,None,None,None,8927000,None,None,None,None,None,7912000,6424000,108770000,None,-7848000,19000,21000000
BAND,2018-09-30,USD,149093000,95129000,48574000,63510000,None,35972000,67000,21770000,32139000,14086000,7219000,6867000,None,None,14936000,7839000,769000,40857000,31640000,4294000,None,None,None,2605000,None,None,None,None,None,7052000,2605000,108236000,None,-6558000,19000,21000000
BAND,2018-06-30,USD,136553000,87194000,45806000,45806000,None,34100000,36155000,19331000,30883000,14215000,7348000,6867000,None,None,10992000,7395000,798000,35167000,25924000,1786000,None,None,42000,9243000,None,None,42000,None,None,5607000,2392000,101386000,None,-9068000,19000,21000000
BAND,2018-03-31,USD,115764000,78622000,38773000,47265000,None,35096000,33227000,15902000,30446000,14345000,7478000,6867000,None,None,8492000,6953000,1047000,32589000,24772000,3154000,None,None,67000,7817000,None,None,67000,None,67000,7080000,704000,83175000,None,-19580000,18000,20000000
BAND,2017-12-31,USD,104494000,65252000,37627000,37627000,None,30221000,32716000,14946000,29427000,14510000,7643000,6867000,None,None,None,6400000,1192000,27783000,24518000,3025000,None,None,92000,3265000,None,None,92000,None,92000,5768000,716000,76711000,None,-25771000,19000,15000000
BAND,2017-09-30,USD,72550000,30225000,5366000,5366000,None,27093000,33081000,12389000,28292000,14720000,7853000,6867000,None,None,None,6157000,1069000,65231000,25860000,2518000,None,None,2849000,39371000,None,35501000,2750000,None,38350000,4710000,1431000,-14499000,None,-25172000,12000,13000000
