SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
BBW,2020-10-31,USD,259437000,90687000,25809000,25809000,51501000,7950000,168750000,55421000,None,None,None,None,None,None,None,3160000,3572000,202738000,91306000,14527000,866000,None,None,111432000,None,None,None,None,None,None,2913000,None,None,None,160000,15960262
BBW,2020-08-01,USD,268263000,92497000,25274000,25274000,55509000,6314000,175766000,58085000,None,None,None,None,None,None,None,3460000,2972000,213692000,99742000,23267000,916000,None,None,113986000,None,None,None,None,None,None,1430000,None,None,None,156000,15591553
BBW,2020-05-02,USD,276827000,88084000,21851000,21851000,53238000,7099000,188743000,61626000,None,None,None,None,None,None,None,3646000,3005000,208370000,87396000,22905000,915000,None,None,120974000,None,None,None,None,None,None,1643000,None,None,8720000,155000,15439538
BBW,2020-02-01,USD,297262000,98750000,26726000,26726000,53381000,11526000,198512000,65855000,None,None,None,None,None,None,None,3815000,3102000,208631000,85964000,15680000,1325000,None,None,122667000,None,None,None,None,None,None,1717000,None,None,29925000,152000,15205981
BBW,2019-11-02,USD,296677000,88949000,6167000,6167000,66205000,10250000,207728000,65954000,None,27000,None,None,None,None,None,2605000,2761000,214734000,81400000,18390000,1289000,31537000,None,133334000,None,None,31537000,None,None,None,1651000,None,None,23763000,152000,15219915
BBW,2019-08-03,USD,299194000,92649000,14965000,14965000,62081000,8714000,206545000,64191000,None,1067000,None,None,None,None,None,3461000,1658000,210689000,75090000,16734000,1399000,30697000,None,135599000,None,None,30697000,None,None,None,1587000,None,None,29637000,152000,15220252
BBW,2019-05-04,USD,309531000,93619000,20238000,20238000,56004000,8836000,215912000,65357000,None,607000,None,None,None,None,None,3785000,2224000,221094000,80262000,20887000,1580000,30558000,None,140832000,None,None,30558000,None,None,None,1586000,None,None,30861000,149000,15130418
BBW,2019-02-02,USD,172046000,99798000,17894000,17894000,58356000,10588000,None,66368000,None,731000,None,None,None,None,None,3394000,2050000,77732000,56177000,22551000,1625000,None,None,None,None,None,None,None,None,None,1490000,None,None,37094000,150000,14953142
BBW,2018-11-03,USD,178854000,95750000,8631000,8631000,57309000,12962000,76321000,73343000,None,887000,None,None,None,None,None,5766000,2091000,74962000,53574000,18179000,1557000,7250000,None,21388000,None,None,None,None,None,None,1765000,None,None,47517000,150000,14956711
BBW,2018-08-04,USD,174809000,90610000,20398000,20398000,47833000,8693000,79352000,76157000,None,1013000,None,None,None,None,None,5292000,2182000,65480000,44184000,15046000,1100000,None,None,21296000,None,None,None,None,None,None,1854000,None,None,53811000,150000,14972136
BBW,2018-05-05,USD,172654000,88765000,18881000,18881000,49423000,8968000,79787000,76410000,None,950000,None,None,None,None,None,4590000,2427000,61237000,40604000,12965000,1142000,None,None,20633000,None,None,None,None,None,None,1794000,None,None,55904000,151000,14997791
BBW,2018-02-03,USD,21499000,21499000,21499000,21499000,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14983694
