SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
BMR,2015-09-30,USD,29367000,None,48675000,48675000,None,None,29367000,None,None,None,None,None,None,29367000,None,None,None,3414587000,None,None,None,None,None,None,None,2995169000,None,None,None,None,None,2980821000,None,None,2036000,None
BMR,2015-06-30,USD,34469000,None,45329000,45329000,None,None,34469000,None,None,None,None,None,None,34469000,None,None,None,3257362000,None,None,None,None,None,None,None,2903415000,None,None,None,None,None,3017538000,None,None,2036000,None
BMR,2015-03-31,USD,5552607000,None,64958000,64958000,None,None,5552607000,5517629000,None,None,None,None,None,34978000,None,None,None,3151340000,None,None,None,None,None,None,None,2765081000,None,None,None,None,None,3082099000,None,None,2036000,None
BMR,2014-12-31,USD,5451866000,None,46659000,46659000,None,None,5451866000,5416575000,None,147080000,147080000,None,None,35291000,None,None,None,3100944000,None,None,None,None,None,None,None,2592344000,None,None,None,None,None,3003013000,None,None,1975000,None
BMR,2014-09-30,USD,5571390000,None,33864000,33864000,None,None,5571390000,5535115000,None,158504000,158504000,None,None,36275000,None,None,None,3228602000,None,None,None,None,None,None,None,2852669000,None,None,None,None,None,2949254000,None,None,1975000,None
BMR,2014-06-30,USD,5507088000,None,39004000,39004000,None,None,5507088000,5474648000,None,169954000,169954000,None,None,32440000,None,None,None,3207344000,None,None,None,None,None,None,None,2848386000,None,None,None,None,None,2893363000,None,None,1925000,None
BMR,2014-03-31,USD,5266497000,None,59121000,59121000,None,None,5266497000,5235036000,None,127806000,127806000,None,None,31461000,None,None,None,3100548000,None,None,None,None,None,None,None,2767391000,None,None,None,None,None,2923592000,None,None,1925000,None
BMR,2013-12-31,USD,5250039000,None,34706000,34706000,None,None,5250039000,5217902000,None,147166000,147166000,None,None,32137000,None,None,None,2985576000,None,None,None,None,None,None,None,2329777000,None,None,None,None,None,2939987000,None,None,1921000,None
BMR,2013-09-30,USD,5204080000,None,29230000,29230000,None,None,5204080000,5172102000,None,149046000,149046000,None,None,31978000,None,None,None,2878096000,None,None,None,None,None,None,None,2566809000,None,None,None,None,None,2970079000,None,None,1921000,None
BMR,2013-06-30,USD,5163757000,None,27666000,27666000,None,None,5163757000,5131507000,None,159145000,159145000,None,None,32250000,None,None,None,2813660000,None,None,None,None,None,None,None,2531880000,None,None,None,None,None,3002986000,None,None,1919000,None
BMR,2013-03-31,USD,4456985000,None,18552000,18552000,None,None,4456985000,4424867000,None,117748000,117748000,None,None,32118000,None,None,None,2454004000,None,None,None,None,None,None,None,2254273000,None,None,None,None,None,2537181000,None,None,1691000,None
BMR,2012-12-31,USD,4352083000,None,19976000,19976000,None,None,4352083000,4319716000,None,127779000,127779000,None,None,32367000,None,None,None,2349938000,None,None,None,None,None,None,None,2160921000,None,None,None,None,None,2476856000,None,None,1543000,None
BMR,2012-09-30,USD,4359381000,None,20646000,20646000,None,None,4359381000,4327426000,None,138482000,138482000,None,None,31955000,None,None,None,492216000,87000000,None,None,None,87000000,405216000,None,405216000,None,None,None,None,None,2503530000,None,None,1543000,None
BMR,2012-06-30,USD,4341983000,None,17385000,17385000,None,None,4341983000,4309421000,None,144385000,144385000,None,None,32562000,None,None,None,478000000,78000000,None,None,None,78000000,400000000,None,400000000,None,None,None,None,None,2530626000,None,None,1542000,None
BMR,2012-03-31,USD,4070829000,None,13336000,13336000,None,None,4070829000,4037928000,None,125374000,125374000,None,None,32901000,None,None,None,1071749000,26000000,None,None,None,26000000,1045749000,None,1045749000,None,None,None,None,None,2568133000,None,None,1541000,None
BMR,2011-12-31,USD,3983635000,None,16411000,16411000,None,None,3983635000,3950246000,None,None,None,None,None,33389000,None,None,None,1816349000,None,None,None,None,None,None,None,1640946000,None,None,None,None,None,2602107000,None,None,1541000,None
BMR,2011-09-30,USD,3643687000,None,16351000,16351000,None,None,3643687000,3576304000,None,None,None,None,None,67383000,6330000,None,None,1801126000,None,None,None,None,None,None,None,1664718000,None,None,None,30500000,None,2218526000,None,None,1313000,None
BMR,2011-06-30,USD,3992850000,None,12033000,12033000,None,None,3639572000,3584259000,None,None,None,None,None,55313000,6614000,None,None,1718988000,121200000,None,None,None,121200000,1468073000,None,1589273000,None,None,None,31089000,None,2264101000,None,None,1313000,None
BMR,2011-03-31,USD,3959080000,None,19351000,19351000,None,None,None,None,None,None,None,None,None,None,6687000,None,None,1665917000,None,None,None,None,None,None,None,1525334000,None,None,None,31086000,None,2282845000,None,None,1312000,None
BMR,2010-12-31,USD,3959754000,None,21467000,21467000,None,None,None,None,None,None,None,None,None,None,9971000,None,None,1646858000,None,None,None,None,None,None,None,1073173000,None,None,None,27029000,None,2303178000,None,None,1310000,None
BMR,2010-09-30,USD,3572553000,142971000,33071000,33071000,None,None,101222000,3207957000,None,None,None,None,None,58565000,12384000,None,61838000,1250205000,127244000,None,None,None,24933000,1122961000,None,1123527000,None,None,None,26992000,8031000,2312414000,None,-207419000,1308000,None
