SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CALL,2018-09-30,USD,144276000,69114000,62108000,62108000,2018000,None,75162000,1997000,None,8284000,8284000,32304000,None,None,369000,2379000,1307000,95065000,45787000,None,None,None,None,49278000,None,0,None,None,None,37649000,49278000,49211000,-117402000,38739000,112038000,16000000
CALL,2018-06-30,USD,142351000,66141000,58896000,58896000,1825000,None,76210000,2264000,None,8820000,8820000,32304000,None,None,369000,2898000,1355000,97125000,46529000,None,None,None,None,50596000,None,0,None,None,None,39129000,50596000,45226000,-117930000,35554000,112038000,16000000
CALL,2018-03-31,USD,138422000,61382000,53850000,53850000,1700000,None,77040000,2521000,None,9371000,9371000,32304000,None,None,369000,3426000,1348000,98184000,46105000,None,None,None,None,52079000,None,0,None,None,None,39957000,52079000,40238000,-117930000,31458000,112038000,16000000
CALL,2017-12-31,USD,141042000,63141000,52638000,52638000,1880000,None,77901000,2772000,None,10190000,10190000,32304000,None,None,369000,5826000,909000,104480000,51896000,None,None,None,None,52584000,None,0,None,None,None,42243000,13787000,36562000,-118146000,28822000,112038000,16000000
CALL,2017-09-30,USD,143364000,61765000,51254000,51254000,2047000,None,81599000,3074000,None,10877000,10877000,32304000,None,None,369000,5574000,866000,104822000,52222000,None,None,None,None,52600000,None,0,None,None,None,42972000,12529000,38542000,-119381000,31574000,111783000,16000000
CALL,2017-06-30,USD,146709000,63247000,47041000,47041000,2646000,None,83462000,3173000,None,11533000,11533000,32304000,None,None,2369000,9096000,793000,111368000,57281000,None,None,None,None,54087000,None,0,None,None,None,44886000,12577000,35341000,-119410000,29123000,111783000,16000000
CALL,2017-03-31,USD,149802000,64559000,48310000,48310000,3307000,None,85243000,3515000,None,11055000,11055000,32304000,None,None,2447000,7808000,890000,114034000,58559000,None,None,None,None,55475000,None,0,None,None,None,47313000,12183000,36470000,-120300000,30684000,111783000,16000000
CALL,2016-12-31,USD,174517000,67269000,52394000,52394000,4441000,None,107248000,3805000,None,28854000,28854000,47185000,None,None,2447000,4816000,836000,116317000,61250000,None,None,None,None,55067000,None,0,None,None,None,48507000,10866000,58835000,-120300000,53785000,111783000,16000000
CALL,2016-09-30,USD,179345000,66488000,51526000,51526000,4463000,None,112857000,3805000,None,29924000,29924000,47485000,None,None,2447000,5426000,819000,120353000,61091000,None,None,None,None,59262000,None,0,None,None,None,49324000,13451000,59473000,-122994000,55046000,111781000,16000000
CALL,2016-06-30,USD,173004000,59611000,46681000,46681000,4430000,None,113393000,3773000,None,31419000,31419000,47485000,None,None,447000,5426000,887000,118160000,58307000,None,None,None,None,59853000,None,0,None,None,None,50389000,12369000,55148000,-123023000,51647000,111774000,16000000
CALL,2016-03-31,USD,173721000,59209000,45500000,45500000,5238000,None,114512000,3891000,None,32529000,32529000,47485000,None,None,367000,5533000,859000,122640000,61178000,None,None,None,None,61462000,None,0,None,None,None,51815000,12328000,51081000,-123138000,48828000,111774000,16000000
CALL,2015-12-31,USD,168836000,95103000,78589000,78589000,5723000,None,73733000,3302000,None,6687000,6687000,32304000,None,None,367000,7499000,751000,121168000,59924000,None,None,None,None,61244000,None,0,None,None,None,52554000,11098000,47668000,-126772000,48094000,111773000,17000000
CALL,2015-09-30,USD,176324000,101776000,79569000,79569000,6240000,None,74548000,3520000,None,7177000,7177000,32304000,None,None,367000,3917000,749000,125420000,62423000,None,None,None,None,62997000,None,0,None,None,None,53280000,11919000,50904000,-120891000,46155000,111771000,17000000
CALL,2015-06-30,USD,183495000,109374000,82327000,82327000,6771000,None,74121000,3704000,None,7846000,7846000,32304000,None,None,367000,4297000,756000,128694000,64816000,None,None,None,None,63878000,None,0,None,None,None,59540000,11279000,54801000,-112477000,42844000,111771000,18000000
CALL,2015-03-31,USD,200093000,122583000,82935000,82935000,6856000,None,77510000,3898000,None,8659000,8659000,32304000,None,None,367000,16229000,741000,148416000,79019000,None,None,None,None,69397000,None,0,None,None,None,58398000,14877000,51677000,-107658000,35892000,111771000,18000000
CALL,2014-12-31,USD,194233000,115639000,75945000,75945000,5635000,None,78594000,3564000,None,9473000,9473000,32304000,None,None,367000,16448000,743000,145147000,76927000,None,None,None,1400000,68220000,None,0,1400000,None,None,56445000,13438000,49086000,-107683000,34584000,111771000,18000000
