SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CIVI,2018-12-31,USD,1099547000,199658000,6805000,6805000,None,173380000,899889000,196011000,None,616917000,306418000,310499000,None,736000,None,19084000,36961000,926657000,144389000,24683000,None,8137000,8137000,779387000,10615000,694249000,7331000,686918000,694249000,None,81854000,172890000,None,-118072000,362000,36280500
CIVI,2018-09-30,USD,1127192000,213251000,8168000,8168000,None,186311000,913941000,196992000,None,628924000,317172000,311752000,None,2320000,333000,18439000,38025000,960458000,173465000,38669000,None,8112000,8112000,778871000,10827000,695528000,7331000,688197000,695528000,10093000,79847000,166734000,None,-124459000,360000,36116252
CIVI,2018-06-30,USD,1121688000,197102000,330000,330000,None,174539000,924586000,192025000,None,641541000,325730000,315811000,None,2968000,330000,22233000,41020000,953127000,154792000,34088000,None,12244000,12244000,798335000,11033000,706306000,11487000,694819000,706306000,1080000,78770000,168561000,None,-122854000,362000,36229067
CIVI,2018-03-31,USD,1126337000,211325000,328000,328000,None,184034000,915012000,183529000,None,639711000,328005000,311706000,None,3166000,328000,26963000,41772000,957466000,171215000,33953000,None,17860000,17860000,786251000,4036000,707983000,17231000,690752000,707983000,1100000,77607000,168871000,None,-132439000,370000,37039385
CIVI,2017-12-31,USD,1125461000,197804000,1225000,1225000,None,170699000,50000000,184826000,None,652196000,346307000,305889000,None,None,1225000,25880000,40635000,950903000,157478000,35604000,None,12955000,12955000,793425000,4242000,704358000,12331000,692027000,704358000,108919000,81994000,174558000,None,-129951000,375000,37546637
CIVI,2017-09-30,USD,1049382000,193472000,7297000,7297000,None,172850000,867001000,183338000,None,586400000,313075000,273325000,None,None,327000,12998000,36172000,886465000,162732000,35275000,None,7162000,7162000,770058000,4404000,626453000,6554000,619899000,626453000,120295000,77081000,162917000,None,-139185000,374000,37441257
CIVI,2017-06-30,USD,1081105000,227674000,26103000,26103000,None,159154000,853431000,179717000,None,589005000,300415000,288590000,None,None,295000,26166000,34709000,909261000,153555000,30387000,None,7146000,7146000,755706000,4562000,627578000,6554000,621024000,627578000,116022000,78284000,171844000,None,-128497000,373000,37331714
CIVI,2017-03-31,USD,1063082000,218501000,17181000,17181000,None,168529000,844581000,176893000,None,583686000,297606000,286080000,None,None,1039000,16494000,34002000,900604000,145495000,24369000,None,7131000,7131000,755109000,4716000,629599000,6554000,623045000,629599000,113995000,75144000,162478000,None,-135858000,373000,37308851
CIVI,2016-12-31,USD,1067921000,238049000,53725000,53725000,None,150121000,829872000,175951000,None,566897000,293237000,273660000,None,None,1101000,17685000,37024000,913425000,150170000,27658000,None,7117000,7117000,763255000,4866000,630781000,6554000,624227000,630781000,115395000,79476000,154496000,None,-141337000,373000,37266213
CIVI,2016-09-30,USD,1068145000,228337000,50683000,50683000,None,155767000,273660000,175008000,None,575889000,302229000,273660000,None,None,1046000,20841000,38911000,946458000,168996000,32131000,None,7103000,7103000,771966000,5012000,631962000,6554000,625408000,639030000,129762000,81466000,145590000,None,-145516000,372000,37214758
CIVI,2016-06-30,USD,1082627000,220734000,19246000,19246000,None,161917000,861893000,173102000,None,594387000,310548000,283839000,None,None,870000,21182000,44404000,941323000,168761000,29581000,None,7087000,7087000,772562000,5154000,639422000,6554000,632868000,639422000,132093000,77669000,141304000,None,-148176000,371000,37112007
CIVI,2016-03-31,USD,1061573000,193262000,7859000,7125000,None,147678000,868311000,169427000,None,604336000,321026000,283310000,None,None,734000,20801000,44548000,926042000,155211000,24171000,None,7076000,7076000,770831000,5293000,640990000,6554000,634436000,640990000,123964000,75852000,135531000,None,-152992000,371000,37103016
CIVI,2015-12-31,USD,1052201000,215531000,34194000,34194000,None,140482000,836670000,167411000,None,575117000,299839000,275278000,None,None,804000,21568000,44142000,922754000,147668000,19820000,None,7063000,7063000,775334000,5429000,642559000,6554000,636005000,642559000,120785000,76101000,129447000,None,-160307000,371000,37099699
CIVI,2015-09-30,USD,1068145000,221531000,41690000,41690000,None,145395000,274520000,168227000,None,580376000,305856000,274520000,None,None,749000,14049000,43050000,941909000,161381000,25890000,None,7051000,7051000,836140000,5561000,644128000,6554000,637574000,645585000,128440000,79170000,121275000,None,-154703000,371000,37093237
CIVI,2015-06-30,USD,1057260000,210206000,16665000,16665000,None,150186000,847054000,164164000,None,589921000,315401000,274520000,None,None,1498000,24619000,42969000,937196000,155451000,22475000,None,7039000,7039000,781745000,5690000,644832000,6554000,639142000,None,125937000,76923000,120064000,None,-158967000,370000,36950000
CIVI,2015-03-31,USD,1043813000,187951000,1616000,1616000,None,147129000,855862000,161336000,None,601618000,328923000,272695000,None,None,1616000,21199000,42908000,926819000,146924000,21756000,None,7027000,7027000,779895000,5815000,646525000,6554000,640710000,None,118141000,74090000,116994000,None,-159517000,370000,36950000
CIVI,2014-12-31,USD,1032887000,194705000,7604000,5183000,None,146993000,838182000,159996000,None,588215000,328484000,259731000,None,None,2421000,21932000,39971000,919629000,147897000,20601000,None,6462000,6462000,771732000,5938000,643305000,6000000,637367000,None,120834000,70225000,113258000,None,-161215000,370000,36950000
CIVI,2014-09-30,USD,1207954000,373852000,196147000,196147000,None,None,None,159486000,None,585358000,327726000,257632000,None,None,1944000,34383000,39258000,1092416000,324297000,22350000,None,None,168000000,None,None,641253000,168000000,635195000,None,133496000,69314000,115538000,None,-157775000,370000,36950000
