SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CLDR,2021-01-31,USD,2508601000,997921000,298672000,596393000,None,316098000,1514032000,18065000,44980000,1131921000,532630000,599291000,1132131000,173281000,297721000,53048000,9819000,1380671000,663109000,2713000,1216794000,None,None,722282000,188870000,487089000,None,None,None,562947000,6763000,1127930000,None,-1649355000,15000,291220735
CLDR,2020-10-31,USD,2210165000,640673000,96114000,394825000,None,172424000,1572844000,20247000,44382000,1151126000,551835000,599291000,963688000,169324000,298711000,73424000,10961000,760632000,520747000,2556000,467796000,None,None,186352000,205666000,None,None,None,205666000,439260000,5683000,1449533000,None,-1594578000,16000,312718408
CLDR,2020-07-31,USD,2203526000,655271000,143171000,431501000,None,149326000,1551607000,20995000,42849000,1156245000,565884000,590361000,892504000,133890000,288330000,46199000,9657000,774987000,519439000,4337000,485971000,None,None,187801000,202968000,None,None,None,202968000,422333000,6462000,1428539000,None,-1580633000,15000,309234046
CLDR,2020-04-30,USD,2199978000,658409000,160925000,411950000,None,165236000,1544921000,20578000,40091000,1175921000,585560000,590361000,797792000,103376000,251025000,48618000,9563000,806515000,539594000,3431000,514722000,28404000,None,191402000,212349000,None,28404000,None,212349000,444005000,7457000,1393463000,None,-1544636000,15000,295348575
CLDR,2020-01-31,USD,2299790000,707901000,107638000,360999000,None,249971000,1595241000,21988000,37409000,1195597000,605236000,590361000,785704000,122193000,253361000,54776000,12209000,861421000,579948000,3858000,554712000,19181000,None,283216000,211505000,None,19181000,None,211505000,477950000,7223000,1438369000,None,-1485824000,15000,295167761
CLDR,2019-10-31,USD,116555000,113203000,113203000,113203000,None,162454000,3352000,24524000,35459000,1215498000,625137000,590361000,385679000,92867000,292812000,42987000,11160000,0,497426000,12204000,453834000,28915000,None,204968000,226691000,None,28915000,None,226691000,376801000,7192000,1448861000,None,-1421537000,14000,287117539
CLDR,2019-07-31,USD,91427000,88075000,88075000,88075000,None,160298000,3352000,26061000,32580000,1227971000,639229000,588742000,417175000,85412000,331763000,39546000,9727000,0,481004000,4283000,463920000,21358000,None,210870000,226824000,None,21358000,None,226824000,378958000,5404000,1475496000,None,-1339415000,14000,279594721
CLDR,2019-04-30,USD,110714000,107362000,107362000,107362000,None,146009000,3352000,26546000,29867000,1246502000,659166000,587336000,436757000,99474000,337283000,36877000,10474000,0,485633000,5322000,486339000,None,25650000,4615000,243693000,218043000,25650000,None,243693000,392193000,4615000,1503350000,None,-1252372000,14000,274184496
CLDR,2019-01-31,USD,2196643000,798862000,158672000,158672000,None,242980000,1397781000,27619000,26863000,1265782000,679326000,586456000,805216000,56541000,322005000,75205000,7559000,634574000,494465000,8185000,526042000,None,None,22209000,None,None,None,None,None,408142000,22209000,1562069000,None,-1149242000,13000,268818627
CLDR,2018-10-31,USD,67984000,64632000,64632000,64632000,None,92586000,3352000,21207000,28052000,37505000,3884000,33621000,385290000,60237000,325053000,25176000,6767000,349950000,294960000,2085000,None,None,None,54990000,None,None,None,None,None,242665000,20336000,286565000,None,-1172740000,8000,152000000
