SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CMG,2020-12-31,USD,5982896000,1420237000,607987000,951603000,26445000,387283000,4562659000,1584311000,None,21939000,None,21939000,445944000,102328000,343616000,76845000,59047000,3962761000,822199000,121990000,127750000,None,None,3140562000,3157052000,None,None,None,3157052000,332506000,38844000,2020135000,2802075000,3276163000,367000,28001000
CMG,2020-09-30,USD,5631640000,1211280000,662401000,1005220000,25464000,129802000,4420360000,1547217000,None,21939000,None,21939000,418665000,61474000,342819000,72733000,53921000,3826054000,801717000,157324000,91467000,None,None,3024337000,3090955000,None,None,None,3090955000,291282000,37976000,1805586000,2801496000,3085204000,367000,27979000
CMG,2020-06-30,USD,5370129000,1150343000,605622000,906663000,24178000,165846000,4219786000,1498048000,None,21939000,None,21939000,313920000,None,301041000,75595000,37655000,3665633000,723178000,160523000,88924000,None,None,2942455000,3006374000,None,None,None,3006374000,286120000,36775000,1704496000,2801467000,3004960000,367000,27964000
CMG,2020-03-31,USD,5206488000,1075501000,500315000,881293000,23335000,120092000,4130987000,1465666000,None,21939000,None,21939000,391400000,None,380978000,72720000,24010000,3534468000,665795000,130423000,77499000,178358000,None,2868673000,2943136000,None,178358000,None,2943136000,255857000,39044000,1672020000,2801150000,2996785000,365000,27815000
CMG,2019-12-31,USD,5104604000,1072204000,480626000,880782000,26096000,108250000,4032400000,1458690000,None,21939000,None,21939000,400156000,None,400156000,79015000,18450000,3421578000,666593000,115816000,95195000,173139000,None,2754985000,2851513000,None,173139000,None,2851513000,268334000,38797000,1683026000,2699119000,2921448000,363000,27755000
CMG,2019-09-30,USD,4937937000,954756000,386565000,815361000,23871000,53313000,3983181000,1425446000,None,21939000,None,21939000,441248000,None,428796000,84150000,18001000,3315490000,634019000,118483000,61809000,166802000,None,2681471000,2809539000,None,166802000,None,2809539000,228611000,38734000,1622447000,2660872000,2849032000,363000,28388000
CMG,2019-06-30,USD,4659307000,832402000,299913000,717780000,21144000,49362000,3826905000,1387896000,None,21939000,None,21939000,430150000,None,417867000,66055000,17817000,3121258000,548268000,99007000,61794000,161253000,161253000,2568583000,2696022000,2534769000,161253000,None,2696022000,223047000,33814000,1538049000,2621922000,2750450000,362000,28300000
CMG,2019-03-31,USD,4625482000,837746000,277661000,735024000,18780000,49725000,3787736000,1366684000,None,21939000,None,21939000,469894000,None,457363000,56156000,20738000,3141683000,581667000,106214000,57088000,157665000,157665000,2547488000,2671566000,2513901000,157665000,None,2671566000,214753000,33587000,1483799000,2563410000,2659422000,361000,28118000
CMG,2018-12-31,USD,2265518000,814794000,249953000,676798000,21555000,62312000,1450724000,1379254000,None,21939000,None,21939000,426845000,None,426845000,76068000,19332000,824179000,449990000,113071000,70474000,None,None,374189000,None,None,None,None,None,70474000,31638000,1441339000,2500556000,2573617000,360000,27962000
CMG,2018-09-30,USD,2230872000,793071000,343028000,670815000,18285000,48565000,1437801000,1361440000,None,21939000,21939000,21939000,344713000,None,327787000,77345000,24842000,795035000,402786000,103486000,None,None,None,392249000,None,None,None,None,None,99182000,37123000,1435837000,2454337000,2541598000,360000,28017000
CMG,2018-06-30,USD,2128622000,720674000,225658000,573927000,20851000,56036000,1407948000,1333949000,None,21939000,21939000,21939000,364752000,None,348269000,91799000,52060000,736615000,355161000,95597000,None,None,None,381454000,None,None,None,None,None,91914000,36457000,1392007000,2435109000,2503394000,359000,27935000
CMG,2018-03-31,USD,2097444000,630439000,231838000,530602000,17404000,26691000,1467005000,1343717000,None,21939000,21939000,21939000,364421000,49375000,298764000,77681000,51974000,733399000,367320000,99001000,None,None,None,366079000,None,None,None,None,None,259677000,37630000,1364045000,2406434000,2456510000,359000,27950000
CMG,2017-12-31,USD,2045692000,629535000,184569000,508951000,19860000,49806000,1416157000,1338366000,None,21939000,21939000,21939000,344269000,None,324382000,72857000,26251000,681247000,323893000,82028000,None,None,None,357354000,None,None,None,None,None,241865000,40042000,1364445000,2334409000,2397064000,359000,28561000
CMG,2017-09-30,USD,2064377000,655936000,113480000,548357000,21634000,36856000,1408441000,1331786000,None,21939000,21939000,21939000,454034000,None,434877000,71028000,54716000,677251000,323402000,86705000,None,None,None,353849000,None,None,None,None,None,236697000,36826000,1387126000,2257174000,2353271000,359000,28439000
CMG,2017-06-30,USD,2068551000,663965000,175137000,569603000,19126000,24940000,1404586000,1328280000,None,21939000,21939000,21939000,412982000,None,394466000,72235000,54367000,618355000,267785000,80976000,None,None,None,350570000,None,None,None,None,None,183480000,35879000,1450196000,2154517000,2333661000,358000,28800000
