SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CPST,2020-12-31,USD,83799000,66025000,32000000,32000000,11224000,19079000,22604000,8075000,25184000,None,None,None,None,None,None,3752000,7782000,81537000,23202000,None,11831000,None,495000,58262000,4661000,52900000,495000,52856000,52900000,5113000,818000,2262000,1918000,-914514000,11000,11088225
CPST,2020-09-30,USD,65750000,47832000,16800000,16800000,13906000,13481000,22844000,8358000,24886000,None,None,None,None,None,None,3663000,7942000,56902000,20703000,None,14619000,None,568000,36106000,None,62419000,568000,30419000,62419000,6459000,5780000,8848000,1918000,-906919000,11000,11073286
CPST,2020-06-30,USD,70468000,53244000,16200000,16200000,17582000,14655000,22248000,7560000,24572000,None,None,None,None,None,None,4778000,8093000,57589000,21634000,None,15827000,None,878000,35841000,None,62112000,878000,30112000,62112000,7025000,5843000,12879000,1879000,-902692000,11000,11023921
CPST,2020-03-31,USD,73955000,56755000,15068000,15068000,21460000,16240000,22318000,7749000,24310000,None,None,None,None,None,None,3987000,8230000,60934000,26953000,None,17642000,None,477000,33848000,None,27963000,477000,27963000,27963000,7898000,6018000,13021000,1875000,-900869000,10000,10228789
CPST,2019-12-31,USD,78665000,61310000,16700000,16700000,20855000,19821000,22564000,7744000,27699000,19000000,19000000,None,None,None,None,3904000,8363000,62282000,28300000,None,12161000,438000,471000,33828000,None,57657000,438000,27657000,57657000,4941000,6325000,16383000,1816000,-893907000,9000,8804910
CPST,2019-09-30,USD,80195000,63028000,20900000,20900000,19857000,18095000,22464000,7186000,27439000,75000,75000,None,None,None,None,4178000,8508000,0,27559000,None,14411000,1276000,1490000,32968000,None,57672000,1276000,27672000,57672000,6224000,5469000,19495000,1798000,-889000000,80000,7955191
CPST,2019-06-30,USD,80398000,64320000,24612000,24612000,20481000,14820000,21195000,6048000,27150000,131000,131000,None,None,None,None,4407000,8492000,0,28007000,None,17774000,789000,1181000,33153000,None,57389000,789000,27389000,57389000,7766000,5957000,19045000,1772000,-884477000,73000,73144573
CPST,2019-03-31,USD,79963000,70110000,29727000,29727000,20343000,16222000,9853000,5291000,26838000,187000,187000,None,None,None,None,3818000,2972000,56809000,28087000,None,16436000,None,31000,28510000,None,27099000,31000,27099000,27099000,7167000,342000,23154000,1772000,-878884000,7000,71709203
CPST,2018-12-31,USD,61739000,52186000,10681000,10681000,18375000,13225000,9553000,5150000,26622000,243000,243000,None,None,None,None,3905000,3077000,37065000,35287000,None,None,None,10926000,1778000,None,10736000,10736000,None,10736000,4749000,369000,24674000,1731000,-874928000,72000,71593269
CPST,2018-09-30,USD,62642000,55278000,12303000,12303000,15477000,16531000,7364000,2831000,26351000,299000,299000,None,None,None,6000000,4967000,3125000,37676000,35891000,None,None,None,12535000,1785000,None,12496000,12496000,None,12496000,5497000,390000,24966000,1731000,-871479000,68000,67607817
CPST,2018-06-30,USD,61089000,56528000,13569000,13569000,16055000,15886000,4561000,2788000,26178000,355000,355000,None,None,None,6000000,5018000,315000,35030000,33385000,None,None,None,10101000,524000,None,10024000,10024000,None,10024000,6529000,403000,26059000,1661000,-867121000,64000,64192796
CPST,2018-03-31,USD,58373000,53812000,14408000,14408000,15633000,15968000,4561000,2859000,26475000,411000,411000,None,None,None,5000000,2803000,250000,32614000,32088000,None,None,None,8719000,396000,None,8527000,8527000,None,8527000,6596000,396000,25759000,1658000,-862225000,57000,56916646
CPST,2017-12-31,USD,54669000,49886000,11522000,11522000,14223000,16078000,4783000,2986000,26670000,467000,467000,71057000,None,None,5000000,3063000,290000,32433000,32298000,None,None,None,11284000,135000,None,10966000,10966000,None,10966000,5232000,118000,22236000,1658000,-860282000,50000,50188428
CPST,2017-09-30,USD,51303000,47223000,10156000,10156000,16274000,13248000,4080000,2232000,26575000,523000,523000,None,None,None,5000000,2545000,331000,33236000,33080000,None,None,None,9589000,156000,None,9575000,9575000,None,9575000,4999000,136000,18067000,1658000,-859959000,45000,44813869
CPST,2017-06-30,USD,53170000,49391000,14139000,14139000,15438000,12231000,3779000,2007000,26369000,583000,583000,None,None,None,5000000,2583000,302000,33696000,33526000,None,None,None,9612000,170000,None,9484000,9484000,None,9484000,5877000,147000,19474000,1641000,-856291000,42000,42268594
CPST,2017-03-31,USD,58271000,54319000,14191000,14191000,14538000,17003000,3952000,2115000,28278000,651000,651000,None,None,None,5514000,3073000,225000,37373000,37189000,None,None,None,11835000,184000,None,11533000,11533000,None,11533000,5050000,158000,17981000,1639000,-850876000,39000,38803630
CPST,2016-12-31,USD,56402000,50654000,14361000,14361000,14732000,13213000,5748000,2829000,28857000,736000,736000,61744000,None,None,5009000,3339000,234000,34249000,34051000,None,None,None,9141000,198000,None,8665000,8665000,None,8665000,4580000,168000,22153000,1639000,-846245000,36000,35724994
CPST,2016-09-30,USD,54138000,48025000,11106000,11106000,16955000,12750000,6113000,2796000,28568000,805000,805000,None,None,None,5006000,2208000,240000,26203000,25991000,None,None,None,6228000,212000,None,6178000,6178000,None,6178000,4520000,179000,27935000,1638000,-837336000,31000,30678284
CPST,2016-06-30,USD,62428000,55962000,19039000,19039000,13809000,15734000,6466000,3068000,28486000,873000,873000,None,None,None,5004000,2376000,208000,28839000,28596000,None,None,None,6205000,243000,None,6077000,6077000,None,6077000,6231000,183000,33589000,1624000,-831470000,30000,30129019
CPST,2016-03-31,USD,55892000,49043000,11704000,11704000,16126000,13575000,6849000,3537000,28158000,941000,941000,None,None,None,5002000,2636000,228000,31152000,30894000,None,None,None,9820000,258000,None,9459000,9459000,None,9459000,4368000,184000,24740000,1617000,-826955000,24000,23753873
