SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CTACU,2020-12-31,USD,167135000,134616000,112745000,112745000,None,35997000,26910000,4095000,5622000,22815000,8125000,14690000,None,None,None,None,None,15411000,13318000,757000,None,None,None,None,None,None,None,None,None,3206000,None,None,None,22793000,5000,50878780
CTACU,2020-09-30,USD,157801000,147839000,126526000,126526000,None,17697000,5461000,3969000,4388000,1492000,1492000,None,None,None,None,None,None,7796000,7796000,518000,None,None,None,None,None,None,None,None,None,2000,None,None,None,27513000,5000,50859760
CTACU,2020-06-30,USD,153544000,143598000,123085000,123085000,None,15201000,5677000,4198000,4431000,1479000,1479000,None,None,None,None,None,None,7567000,7567000,819000,None,None,None,None,None,None,None,None,None,6000,None,None,None,28630000,5000,50839079
CTACU,2020-03-31,USD,154202000,145068000,121479000,121479000,None,19965000,4089000,4087000,4080000,2000,2000,None,None,None,None,None,None,9772000,9772000,2267000,None,None,None,None,None,None,None,None,None,51000,None,None,None,30796000,5000,50833619
CTACU,2019-12-31,USD,71531000,66015000,42189000,42189000,None,18929000,4042000,4024000,3784000,18000,18000,None,None,None,None,None,None,8300000,8300000,768000,None,None,300000,None,None,None,300000,None,None,138000,None,210897104,None,-2706585,2000,21644392
CTACU,2019-09-30,USD,223955415,459551,357826,357826,None,None,223495864,None,None,None,None,None,None,None,None,None,None,7973656,273656,None,None,None,None,None,None,None,None,None,None,None,None,215981759,None,2378070,None,None
CTACU,2019-06-30,USD,223828599,834744,659543,659543,None,None,222993855,None,None,None,None,None,None,None,None,None,None,8115607,415607,None,None,None,None,None,None,None,None,None,None,None,None,215712992,None,2109303,None,None
CTACU,2019-03-31,USD,223381062,1046001,873508,873508,None,None,222335061,None,None,None,None,None,None,None,None,None,None,8441775,741775,None,None,None,None,None,None,None,None,None,None,None,None,214939287,None,1335598,None,None
CTACU,2018-12-31,USD,222364173,1205706,1011224,1011224,None,None,221158467,None,None,None,None,None,None,None,None,None,None,8145120,445120,None,None,None,None,None,None,None,None,None,None,None,None,None,None,615364,None,None
CTACU,2018-09-30,USD,350178,48819,48819,48819,None,None,None,None,None,None,None,None,None,None,None,None,None,326786,326786,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
