SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CUDA,2017-11-30,USD,509714000,275792000,96894000,258594000,8259000,45229000,233894000,30824000,None,150246000,52111000,98135000,242550000,None,161700000,42860000,None,893413000,290465000,11243000,417745000,0,None,177809000,None,0,0,None,0,279222000,None,38147000,None,-351756000,54000,53606385
CUDA,2017-08-31,USD,476651000,298674000,125585000,287567000,6520000,40899000,177614000,32043000,None,99345000,28692000,70653000,242973000,None,161982000,44679000,None,872190000,276825000,7710000,413665000,0,None,174924000,None,0,0,None,0,269115000,None,21829000,None,-359543000,53000,53153432
CUDA,2017-05-31,USD,469108000,296210000,126676000,287996000,6443000,39654000,172278000,32060000,None,100617000,30418000,70199000,241980000,None,161320000,42777000,None,877811000,283289000,12524000,407524000,4044000,4044000,172485000,None,8088000,4044000,None,8088000,266721000,None,10396000,None,-361097000,53000,52811301
CUDA,2017-02-28,USD,464774000,295409000,120194000,200109000,5847000,40560000,168454000,29979000,None,101940000,32145000,69795000,79915000,4100000,79915000,48893000,None,877237000,281885000,11439000,407082000,4115000,4115000,173663000,None,8230000,4115000,0,8230000,266331000,None,6423000,None,-359149000,53000,52897128
CUDA,2016-11-30,USD,453718000,283176000,121113000,267553000,4711000,39555000,167783000,29429000,None,103721000,33904000,69817000,219660000,None,146440000,44577000,None,871203000,287004000,11288000,401300000,4184000,4184000,169199000,None,8368000,4184000,0,8368000,271532000,None,-4957000,None,-362126000,53000,52748541
CUDA,2016-08-31,USD,435982000,262268000,139173000,219993000,5746000,34028000,170847000,30272000,None,105823000,35660000,70163000,121230000,None,80820000,42911000,None,861262000,286015000,9429000,398878000,4251000,4251000,162966000,None,8502000,4251000,0,8502000,272335000,None,-15761000,None,-363920000,52000,52270294
CUDA,2016-05-31,USD,430713000,253548000,126982000,204131000,6011000,35501000,174172000,31468000,None,107676000,37516000,70160000,114571000,None,77149000,45327000,None,853651000,282377000,12696000,393072000,273000,273000,164914000,None,8634000,273000,4044000,8634000,269408000,None,-19256000,None,-362463000,52000,52529155
CUDA,2016-02-29,USD,419804000,241609000,118654000,155048000,5648000,36520000,178403000,31910000,None,108981000,39386000,69595000,42794000,3200000,36394000,44393000,None,864096000,283484000,15939000,392774000,268000,None,166101000,None,4753000,268000,4115000,8766000,267277000,None,None,None,-365080000,52000,52135194
CUDA,2015-11-30,USD,429944000,251586000,117073000,117073000,6119000,42261000,177984000,31845000,None,110753000,41106000,69647000,102019000,None,69401000,49350000,None,863386000,279313000,15231000,391670000,264000,None,176368000,None,8896000,264000,4184000,8896000,263818000,None,None,None,-363908000,53000,53092522
CUDA,2015-08-31,USD,421324000,310926000,173683000,173683000,5579000,43026000,110014000,27787000,None,48811000,8748000,40063000,123704000,None,83885000,44572000,None,857874000,268965000,18530000,389906000,259000,None,178730000,None,9020000,259000,4251000,9020000,250176000,None,None,None,-357010000,53000,53347890
