SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
CVLT,2020-12-31,USD,905579000,606635000,377569000,388414000,None,190651000,298944000,113079000,None,112435000,0,112435000,21844000,None,10845000,27570000,14415000,491508000,359436000,622000,355824000,None,None,132072000,25907000,None,None,None,8346000,255890000,5424000,414071000,None,-618068000,466000,46835000
CVLT,2020-09-30,USD,851978000,558993000,383153000,393998000,None,138957000,292985000,113014000,None,112435000,0,112435000,21841000,None,10845000,26038000,16119000,432502000,314705000,253000,325283000,None,None,117797000,20137000,None,None,None,20137000,235340000,6978000,419476000,None,-592762000,464000,46685000
CVLT,2020-06-30,USD,865837000,533470000,345432000,356277000,None,149778000,332367000,113657000,None,155960000,43525000,112435000,21835000,None,10845000,27415000,16377000,431602000,322812000,152000,329849000,None,None,108790000,14915000,None,None,None,14915000,241417000,4672000,434235000,None,-551591000,461000,46321000
CVLT,2020-03-31,USD,845076000,513686000,288082000,331727000,None,146990000,331390000,114519000,None,158785000,46350000,112435000,88129000,None,43645000,26969000,11683000,433172000,328554000,307000,326220000,7699000,None,104618000,16507000,None,7699000,None,16507000,241196000,2238000,411904000,None,-553790000,458000,46011000
CVLT,2019-12-31,USD,862568000,525413000,272025000,337013000,None,161626000,337155000,115972000,None,161610000,49175000,112435000,131250000,None,64988000,18774000,12335000,444935000,333786000,1069000,333243000,7730000,None,111149000,16953000,None,7730000,None,16953000,243243000,2470000,417633000,None,-533154000,463000,46497000
CVLT,2019-09-30,USD,801766000,624753000,377625000,475244000,None,127593000,177013000,118022000,None,None,None,None,195238000,None,97619000,21916000,11372000,10358000,320109000,1744000,321343000,7832000,None,107313000,18318000,None,7832000,None,18318000,234764000,2416000,372114000,None,-532504000,452000,45409000
CVLT,2019-06-30,USD,793322000,612536000,320821000,451146000,None,137628000,180786000,120629000,None,None,None,None,262521000,None,130325000,23762000,9725000,2218000,320201000,971000,331855000,7894000,None,110708000,19512000,None,7894000,None,19512000,243116000,2457000,359817000,None,-525420000,449000,45077000
CVLT,2019-03-31,USD,822453000,655002000,327992000,458330000,None,176836000,167451000,122716000,None,None,None,None,131937000,None,130338000,19836000,11116000,431150000,326346000,2186000,337696000,None,None,104804000,None,None,None,None,None,238439000,2953000,391303000,None,-485490000,454000,45582000
CVLT,2018-12-31,USD,814687000,646982000,327398000,457942000,None,170497000,167705000,124188000,None,None,None,None,262368000,None,130544000,18543000,10773000,419660000,317687000,1347000,None,None,None,99524000,None,None,None,None,None,228944000,3076000,395027000,None,-448347000,456000,45799000
CVLT,2018-09-30,USD,810035000,642472000,353181000,484100000,None,137338000,167563000,126292000,None,None,None,None,262848000,None,130919000,21034000,8981000,392890000,294972000,349000,None,None,None,95614000,None,None,None,None,None,223192000,3100000,417145000,None,-415143000,458000,46034000
