SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
DLTH,2021-01-31,USD,515577000,210310000,47221000,47221000,149052000,2820000,302577000,124237000,75958000,666000,264000,402000,6111000,6111000,None,None,3961000,324479000,95714000,33647000,19732000,5752000,None,228765000,43299000,76102000,3123000,72979000,76102000,7579000,None,193461000,628000,101166000,92875000,32828196
DLTH,2020-11-01,USD,554747000,242888000,12800000,12800000,213403000,5083000,306537000,129938000,70746000,700000,300000,400000,6022000,6022000,None,None,1271000,385987000,106275000,57051000,14216000,5700000,None,279712000,43968000,119882000,3106000,116776000,119882000,18034000,None,171054000,622000,79335000,92385000,32828000
DLTH,2020-08-02,USD,506183000,201793000,19005000,19005000,167584000,5875000,299086000,136448000,63811000,700000,300000,400000,6004000,6004000,None,None,1644000,338783000,84121000,40141000,15342000,15164000,None,254662000,36934000,107601000,3089000,104512000,107601000,18910000,None,169653000,581000,78395000,91921000,32814000
DLTH,2020-05-03,USD,505612000,196990000,8854000,8854000,175037000,3459000,303621000,137253000,59096000,700000,300000,400000,5701000,5701000,None,9640000,1423000,344761000,82590000,34421000,15623000,12644000,573000,262171000,37361000,112396000,573000,112396000,112396000,18180000,141473000,163061000,514000,72454000,91451000,32744000
DLTH,2020-02-02,USD,474050000,162192000,2189000,2189000,147849000,3121000,306111000,137071000,53255000,685000,283000,402000,6432000,6432000,None,10684000,1196000,297944000,79775000,33053000,19736000,3157000,557000,218169000,37434000,28335000,557000,27778000,28335000,23537000,143554000,178272000,407000,87589000,90902000,32536000
DLTH,2019-11-03,USD,518117000,204263000,2187000,2187000,183115000,6899000,307355000,139134000,47895000,689000,287000,402000,6499000,6499000,None,892000,1120000,365139000,95522000,55351000,6963000,12421000,541000,179147000,38183000,28421000,541000,27880000,28421000,6094000,None,153473000,406000,63214000,90451000,32000000
DLTH,2019-08-04,USD,434095000,137474000,3468000,3468000,114849000,6364000,290382000,136427000,43526000,694000,292000,402000,6239000,6239000,None,568000,2648000,280795000,71370000,36255000,6930000,11422000,525000,155397000,26208000,28541000,525000,28016000,28541000,5360000,None,153702000,405000,63032000,91075000,32000000
DLTH,2019-05-05,USD,418930000,126111000,992000,992000,104289000,8651000,286552000,136652000,37900000,402000,0,402000,6267000,6267000,None,202000,2354000,268099000,62718000,26710000,7500000,10928000,510000,156721000,8670000,30086000,510000,29576000,30086000,4276000,None,151143000,369000,61096000,90416000,32000000
DLTH,2019-02-03,USD,295305000,118198000,731000,731000,97685000,4639000,170412000,167109000,34203000,708000,306000,402000,6295000,6295000,None,2503000,1349000,135195000,52611000,25363000,17001000,500000,500000,42976000,23034000,28751000,500000,28251000,30237000,6163000,None,160349000,92000,70592000,89849000,32000000
DLTH,2018-10-28,USD,324517000,150226000,2500000,2500000,131448000,3166000,167968000,165885000,30799000,402000,0,402000,6323000,6323000,None,1137000,988000,181866000,65160000,34200000,4860000,245000,80000,34376000,17330000,1413000,80000,1333000,1413000,16206000,None,139215000,92000,49972000,89335000,32000000
DLTH,2018-07-29,USD,270438000,116639000,2423000,2423000,102365000,382000,147476000,144800000,27741000,402000,0,402000,6323000,6323000,None,1213000,1120000,125145000,42779000,19455000,5038000,566000,85000,41881000,None,36382000,85000,36382000,481000,15290000,None,141931000,92000,53122000,88901000,32000000
DLTH,2018-04-29,USD,249009000,109561000,1179000,1179000,97997000,611000,133125000,129221000,25008000,402000,0,402000,6323000,6323000,None,67000,579000,110617000,69567000,14595000,4746000,21813000,85000,6846000,None,1403000,85000,1403000,21728000,21378000,None,135105000,92000,46745000,88452000,32000000
