SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
DOMO,2020-10-31,USD,193142000,143726000,83813000,83813000,None,37788000,49416000,14259000,21385000,12993000,3515000,9478000,None,None,None,22125000,954000,271658000,157911000,4756000,212514000,None,None,113747000,6862000,98548000,None,98548000,98548000,107244000,9324000,-78516000,None,-1102757000,30000,29950000
DOMO,2020-07-31,USD,195135000,140915000,78455000,83354000,None,34933000,54220000,14051000,20360000,13141000,3663000,9478000,4899000,None,4899000,12872000,806000,268003000,148937000,1774000,208460000,None,None,119066000,11235000,103075000,None,103075000,103075000,101982000,6584000,-72868000,None,-1080536000,29000,29271000
DOMO,2020-04-30,USD,197218000,142778000,75543000,88114000,None,29644000,54440000,13111000,19372000,13293000,3815000,9478000,12571000,None,12571000,12513000,1300000,261206000,141653000,2347000,215440000,None,None,119553000,11776000,102056000,None,102056000,102056000,104804000,6415000,-63988000,None,-1062633000,29000,28812000
DOMO,2020-01-31,USD,216738000,172262000,80843000,98810000,None,47967000,44476000,12816000,18194000,13343000,3865000,9478000,17967000,None,17967000,12676000,1234000,265918000,154061000,2298000,219488000,None,None,111857000,None,101074000,None,101074000,101074000,105290000,6329000,-49180000,None,-1037738000,28000,26699000
DOMO,2019-10-31,USD,217864000,172550000,93511000,115937000,None,34051000,45314000,12891000,16698000,13432000,3954000,9478000,22426000,None,22426000,12156000,2268000,243045000,133942000,2900000,None,None,None,109103000,None,100086000,None,100086000,100086000,88214000,6266000,-25181000,None,-1007879000,28000,28000000
DOMO,2019-07-31,USD,234529000,189968000,97939000,133866000,None,31136000,44561000,12677000,16210000,13586000,4108000,9478000,35927000,None,35927000,11349000,1964000,239435000,130495000,2023000,None,None,None,108940000,None,99113000,None,99113000,99113000,87616000,6140000,-4906000,None,-978778000,27000,27000000
DOMO,2019-04-30,USD,260978000,216582000,90763000,154001000,None,36207000,44396000,12581000,15781000,13739000,4261000,9478000,63238000,None,63238000,10829000,1187000,0,130297000,3142000,None,None,None,109136000,None,98156000,None,98156000,98156000,89219000,6030000,21545000,None,-947618000,27000,27000000
DOMO,2019-01-31,USD,292632000,246754000,176973000,176973000,None,48421000,45878000,12595000,27506000,13893000,4415000,9478000,None,None,None,21360000,1360000,248105000,139707000,2609000,None,None,None,108398000,None,97245000,None,97245000,97245000,88959000,6210000,44527000,None,-912082000,26000,16000000
DOMO,2018-10-31,USD,296530000,252662000,205999000,205999000,None,29805000,43868000,12664000,25614000,14047000,4569000,9478000,None,None,None,16858000,1671000,229671000,123712000,4247000,None,None,None,105959000,None,98094000,None,98094000,98094000,72862000,4658000,66859000,None,-882209000,26000,26000000
DOMO,2018-07-31,USD,325769000,281712000,238802000,238802000,None,27266000,44057000,13830000,23582000,12464000,2986000,9478000,None,None,None,15644000,1674000,231271000,124954000,8409000,None,None,97103000,106317000,None,97103000,97103000,97103000,None,70693000,5785000,94498000,None,-849664000,26000,11000000
