SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
ENP,2011-09-30,USD,790075000,0,651000,651000,0,None,None,709903000,None,12074000,12074000,9290000,None,None,0,16985000,None,403502000,386413000,None,None,None,None,None,None,0,None,None,None,23626000,None,386573000,0,0,0,None
ENP,2011-06-30,USD,628331000,0,2695000,2695000,0,None,None,579736000,None,12150000,12150000,9290000,None,None,0,2457000,None,316973000,264981000,None,None,None,None,None,None,0,None,None,None,31080000,None,311358000,0,0,0,None
ENP,2011-03-31,USD,627824000,None,1488000,1488000,None,None,None,589247000,None,12226000,12226000,9290000,None,None,None,2878000,None,335529000,269094000,None,None,None,None,None,None,None,None,None,None,39091000,None,292295000,None,None,None,None
ENP,2010-12-31,USD,653562000,None,1380000,1380000,None,None,None,599155000,None,12302000,12302000,9290000,None,None,None,10666000,None,304600000,32178000,None,None,None,None,None,None,234000000,None,None,None,28247000,None,348962000,None,None,None,None
ENP,2010-09-30,USD,678914000,None,10283000,10283000,None,None,None,608867000,None,12378000,12378000,9290000,None,None,None,15775000,None,293876000,30958000,None,None,None,None,None,None,240000000,None,None,None,26573000,None,385038000,None,None,None,None
ENP,2010-06-30,USD,696909000,None,14704000,14704000,None,None,None,619331000,None,12454000,12454000,9290000,None,None,None,16721000,None,291776000,29025000,None,None,None,None,None,None,245000000,None,None,None,24290000,None,405133000,None,None,None,None
ENP,2010-03-31,USD,710666000,None,9382000,9382000,None,None,None,630298000,None,12530000,12530000,9290000,None,None,None,16207000,None,309859000,35538000,None,None,None,None,None,None,250000000,None,None,None,30700000,None,400807000,None,None,None,None
ENP,2009-12-31,USD,719651000,None,1754000,1754000,None,None,None,641915000,None,12606000,12606000,9290000,None,None,None,13738000,None,313647000,32690000,None,None,None,None,None,None,255000000,None,None,None,27735000,None,406004000,None,None,None,None
ENP,2009-09-30,USD,748202000,None,3437000,3437000,None,None,None,653845000,None,12692000,12692000,9290000,None,None,None,28419000,None,312200000,33567000,None,None,None,None,None,None,260000000,None,None,None,26559000,None,436002000,None,None,None,None
ENP,2009-06-30,USD,569299000,None,72000,72000,None,None,None,478477000,None,7989000,7989000,4500000,None,None,None,38087000,None,242997000,31317000,None,None,None,None,None,None,195000000,None,None,None,25665000,None,326302000,None,None,None,None
ENP,2009-03-31,USD,557447000,None,242000,242000,None,None,None,427865000,None,8075000,8075000,4500000,None,None,None,66900000,None,223891000,26437000,None,None,None,None,None,None,185000000,None,None,None,21458000,None,333556000,None,None,None,None
ENP,2008-12-31,USD,559258000,None,619000,619000,None,None,None,421578000,None,6310000,6310000,2648000,None,None,None,75931000,None,184072000,20825000,None,None,None,None,None,None,150000000,None,None,None,16583000,None,375186000,None,None,None,None
ENP,2008-09-30,USD,495157000,None,157000,157000,None,None,None,429287000,None,6387000,6387000,2648000,None,None,None,18265000,None,212241000,38990000,None,None,None,None,None,None,140000000,None,None,None,31631000,None,282916000,None,None,None,None
ENP,2008-06-30,USD,485072000,None,626000,626000,None,None,None,436844000,None,6464000,6464000,2648000,None,None,None,1190000,None,276035000,48018000,None,None,None,None,None,None,151000000,None,None,None,43743000,None,209037000,None,None,None,None
ENP,2008-03-31,USD,484906000,None,5000,5000,None,None,None,434608000,None,6540000,6540000,2648000,None,None,None,2620000,None,221100000,28281000,None,None,None,None,None,None,165000000,None,None,None,22882000,None,263806000,None,None,None,None
ENP,2007-12-31,USD,390079000,None,3000,3000,None,None,None,340916000,None,3969000,3969000,None,None,None,None,4161000,None,91943000,17912000,None,None,None,None,None,None,47500000,None,None,None,14644000,None,298136000,None,None,None,None
ENP,2007-09-30,USD,378211000,None,7114000,7114000,None,None,None,341284000,None,4046000,4046000,None,None,None,None,3137000,None,90429000,12752000,None,None,None,None,None,None,66500000,None,None,None,8000000,None,287782000,None,None,None,None
ENP,2007-06-30,USD,379884000,None,1348000,1348000,None,None,None,341733000,None,7656000,7656000,None,None,None,None,3838000,None,260591000,127891000,None,None,None,None,None,None,123641000,None,None,None,5598000,None,119293000,None,None,None,None
ENP,2006-12-31,USD,26923000,None,None,None,None,None,None,24495000,None,None,None,None,None,None,None,None,None,1204000,795000,None,None,None,None,None,None,None,None,None,None,795000,None,25719000,None,None,None,None
ENP,2005-12-31,USD,29133000,None,None,None,None,None,None,24714000,None,None,None,None,None,None,None,None,None,1179000,914000,None,None,None,None,None,None,None,None,None,None,914000,None,27954000,None,None,None,None
