SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
EVOP,2020-12-31,USD,1757721000,761829000,418439000,418439000,5221000,37805000,970466000,83606000,185010000,600185000,217077000,383108000,839000,839000,839000,14659000,15863000,1407188000,599037000,9482000,4627000,4628000,6614000,631319000,37582000,583790000,4628000,579162000,583790000,452958000,7047000,-674156000,None,-675209000,8000,46401607
EVOP,2020-09-30,USD,1664339000,714899000,373879000,373879000,7600000,30451000,926104000,71847000,177106000,586126000,213805000,372321000,776000,776000,776000,14371000,14731000,1351427000,568499000,6812000,4302000,4628000,4628000,628200000,37498000,584792000,4628000,580164000,584792000,428232000,2346000,-564794000,None,-555089000,7000,42012986
EVOP,2020-06-30,USD,1676278000,736873000,390745000,390745000,8157000,29348000,939405000,75823000,172885000,585457000,218515000,366942000,2144000,2144000,None,13019000,21574000,1404400000,572179000,7449000,3442000,11573000,4628000,679117000,38449000,635794000,4628000,631166000,635794000,452745000,2099000,-338568000,None,-471843000,7000,41474273
EVOP,2020-03-31,USD,1457375000,510730000,257097000,257097000,10374000,28975000,946645000,80680000,164503000,585150000,224048000,361102000,1986000,1986000,None,13927000,21050000,1341999000,433055000,13370000,3634000,11660000,4628000,755853000,40198000,712745000,4628000,708117000,712745000,306027000,1391000,-261423000,None,-246961000,7000,41361208
EVOP,2019-12-31,USD,1706404000,696165000,304089000,304089000,9128000,41444000,1010239000,94464000,155323000,636398000,257560000,378838000,2078000,2078000,None,12867000,21360000,1536603000,629224000,13584000,4309000,8744000,8744000,754347000,48790000,701913000,8744000,693169000,701913000,479492000,1830000,-589299000,None,-587358000,7000,41233954
EVOP,2019-09-30,USD,1599649000,681434000,311809000,311809000,9899000,34713000,747199000,91712000,158794000,633348000,261825000,371523000,2034000,2034000,None,14807000,20105000,1454211000,608988000,10551000,None,23228000,5618000,704196000,None,707671000,5618000,702053000,725281000,467776000,1758000,-480450000,None,-471603000,8000,35000000
EVOP,2019-06-30,USD,1846920000,978782000,252372000,252372000,8722000,68928000,742902000,95479000,153075000,624628000,270174000,354454000,1893000,1893000,None,12087000,20847000,1685230000,913517000,46708000,None,5448000,5448000,672803000,None,675687000,5448000,670239000,675687000,729779000,2179000,-420867000,None,-419722000,8000,32000000
EVOP,2019-03-31,USD,1769396000,945301000,221083000,221083000,9515000,71052000,749123000,98037000,143939000,628349000,276543000,351806000,1896000,1896000,None,12907000,20044000,1647536000,901827000,51177000,None,7723000,7723000,694069000,None,685410000,7723000,677687000,685410000,680736000,2619000,-193264000,None,-328657000,8000,26000000
EVOP,2018-12-31,USD,1534387000,691348000,350697000,350697000,8867000,71637000,353011000,103046000,136947000,643150000,290139000,353011000,1753000,1753000,None,11817000,21879000,1386976000,643378000,48935000,None,7191000,7191000,680174000,None,684056000,7191000,676865000,684056000,428328000,2924000,961485000,None,-223799000,8000,21000000
EVOP,2018-09-30,USD,1692069000,825901000,235484000,235484000,7571000,65691000,802382000,101931000,127707000,673217000,331122000,342095000,1372000,1372000,None,13126000,24939000,1514720000,783252000,46196000,None,7416000,7416000,686423000,None,681960000,7416000,674544000,681960000,559302000,45430000,1014388000,None,-131058000,8000,18000000
EVOP,2018-06-30,USD,1512680000,716205000,207177000,207177000,8795000,59671000,753046000,100357000,118336000,626470000,310265000,316205000,1712000,1712000,None,10639000,24507000,1353718000,668993000,42088000,None,45056000,45056000,679918000,None,712727000,45056000,667671000,712727000,466777000,5367000,1194935000,None,-55076000,8000,17000000
