SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
EXLS,2020-12-31,USD,1247857000,609278000,218530000,402816000,None,211799000,570716000,18371000,None,408682000,59594000,349088000,9890000,2957000,184286000,37109000,32099000,528685000,221078000,6992000,64023000,25229000,25000000,318688000,281000,226961000,25000000,201961000,226961000,1205000,18135000,719172000,268238000,641379000,39000,33559435
EXLS,2020-09-30,USD,1219481000,565063000,206423000,362598000,None,155132000,579630000,17936000,None,411664000,62941000,348723000,7429000,2991000,156175000,30784000,34280000,509553000,184899000,6213000,27188000,10723000,10474000,332711000,321000,226709000,10474000,216235000,226709000,1978000,16376000,709928000,227190000,609161000,39000,33953536
EXLS,2020-06-30,USD,1193613000,536540000,163619000,335581000,None,157849000,581596000,14891000,None,414406000,66296000,348110000,4797000,3063000,171962000,27472000,31599000,512685000,184163000,9048000,33077000,20910000,20657000,341811000,357000,236184000,20657000,215527000,236184000,3157000,19566000,680928000,202284000,582743000,39000,34320586
EXLS,2020-03-31,USD,1267259000,604892000,224874000,367413000,2477000,187137000,662961000,90513000,None,417810000,69734000,348076000,4203000,3128000,142539000,26173000,32045000,611355000,258364000,8048000,31971000,119154000,100666000,370120000,380000,349666000,100666000,234820000,349666000,1016000,21521000,655904000,202284000,574314000,39000,34315996
EXLS,2019-12-31,USD,1183088000,541258000,119165000,321403000,1581000,None,589686000,79142000,None,423511000,73982000,349529000,5917000,2484000,202238000,24594000,36016000,513087000,229349000,6564000,26606000,41120000,40867000,294893000,430000,234998000,40867000,194131000,249867000,1732000,12142000,670001000,188289000,551903000,39000,34185213
EXLS,2019-09-30,USD,1145978000,506226000,101432000,101432000,1824000,179702000,2441000,78471000,None,428375000,78845000,349530000,5289000,2555000,179340000,27974000,32967000,498295000,187902000,3658000,None,20876000,20876000,233157000,436000,260351000,20876000,223916000,260351000,11879000,1998000,647683000,182809000,530547000,38000,34107851
EXLS,2019-06-30,USD,1137467000,489075000,84842000,84842000,3007000,180680000,2507000,78083000,None,434622000,84402000,350220000,6616000,2624000,168204000,31729000,33194000,496114000,168240000,3269000,None,20885000,20885000,240503000,474000,268524000,20885000,231409000,268524000,8789000,676000,641353000,174463000,511503000,38000,34206324
EXLS,2019-03-31,USD,1182582000,536058000,86688000,86688000,1643000,176889000,2575000,73447000,None,440247000,90008000,350239000,6510000,2686000,216056000,26582000,33164000,551747000,157533000,4560000,None,20876000,20876000,306559000,492000,337542000,20876000,299765000,337542000,14814000,243000,630576000,162333000,498939000,38000,34365437
EXLS,2018-12-31,USD,1061936000,499935000,95881000,95881000,None,228704000,6602000,73510000,None,445479000,95495000,349984000,4724000,2753000,184489000,28240000,31015000,443617000,155095000,5653000,None,21423000,21423000,304481000,315000,302114000,21423000,263241000,302114000,9321000,16521000,618069000,146925000,484244000,38000,34222476
EXLS,2018-09-30,USD,1045137000,453827000,97636000,97636000,None,164307000,3499000,67675000,None,472332000,114799000,357533000,3094000,2824000,144878000,24302000,32779000,470689000,138171000,4310000,None,12539000,12318000,310445000,261000,627000,12318000,288309000,627000,8862000,1112000,574206000,136609000,480387000,38000,34253291
