SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
FBM,2020-09-30,USD,1342113000,487902000,18675000,18675000,153650000,265352000,858849000,150801000,None,574926000,80101000,494825000,None,None,None,11297000,4663000,897687000,240233000,142972000,None,6895000,4500000,576458000,3034000,443201000,4500000,441608000,443201000,13694000,15446000,444426000,None,110288000,13000,43207120
FBM,2020-06-30,USD,1364493000,498466000,31122000,31122000,159615000,263340000,871356000,149195000,None,583935000,89776000,494159000,None,None,None,9386000,6607000,935071000,244200000,145267000,None,7032000,4500000,609875000,3557000,474286000,4500000,472950000,474286000,19336000,14388000,429422000,None,98487000,13000,43205678
FBM,2020-03-31,USD,1537017000,656880000,141235000,141235000,173284000,293504000,886019000,154447000,None,594520000,101452000,493068000,None,None,None,7446000,9470000,1120987000,239774000,149474000,None,35638000,4500000,800217000,4011000,669872000,4500000,668791000,669872000,12642000,12836000,416030000,None,88630000,13000,43201056
FBM,2019-12-31,USD,1411757000,526216000,17766000,17766000,178624000,262757000,892183000,150188000,None,609585000,113861000,495724000,None,None,None,7965000,5206000,1003592000,266630000,145226000,None,7118000,4500000,647429000,4766000,524456000,4500000,523633000,524456000,18557000,7679000,408165000,None,74254000,13000,42991016
FBM,2019-09-30,USD,1446762000,562641000,22668000,22668000,163280000,314088000,891325000,153294000,None,608209000,117894000,490315000,None,None,None,13321000,5481000,1050940000,269299000,143958000,None,33810000,4500000,557063000,5366000,570348000,4500000,435475000,570348000,23650000,7957000,395822000,None,64872000,13000,44000000
FBM,2019-06-30,USD,1449766000,561127000,6454000,6454000,170398000,325579000,896488000,148054000,None,620172000,129565000,490607000,None,None,None,12281000,5760000,0,283499000,165314000,None,32907000,4500000,556875000,6045000,573030000,4500000,436316000,573030000,22227000,8231000,382658000,None,52174000,13000,43000000
FBM,2019-03-31,USD,1428957000,535630000,4978000,4978000,170584000,303445000,777082000,148491000,None,622775000,134887000,487888000,None,None,None,2434000,5816000,0,260929000,149519000,None,4500000,4500000,440095000,124067000,590740000,4500000,437158000,590740000,18849000,2937000,368432000,None,37497000,13000,43000000
FBM,2018-12-31,USD,1316707000,523856000,15299000,15299000,165989000,276043000,792851000,151641000,None,630817000,145876000,484941000,None,None,None,9053000,10393000,950358000,219616000,137773000,None,4500000,4500000,612794000,None,583827000,4500000,437999000,583827000,19979000,8117000,366349000,None,34187000,13000,42907326
FBM,2018-09-30,USD,1463869000,676916000,10560000,10560000,158766000,367098000,786953000,153386000,None,626639000,145379000,481260000,None,None,None,140492000,6928000,1115784000,236582000,130169000,None,None,3375000,448386000,None,739644000,3375000,438841000,739644000,22995000,9545000,348085000,None,15936000,13000,43000000
FBM,2018-06-30,USD,1422845000,625555000,7083000,7083000,211997000,343382000,797290000,156000000,None,635500000,169738000,465762000,None,None,None,13807000,5790000,1040715000,259167000,166910000,None,None,633243000,643438000,None,630588000,633243000,633243000,630588000,40021000,10195000,382130000,None,50711000,13000,43000000
FBM,2018-03-31,USD,1385012000,578884000,8645000,8645000,192934000,312787000,806128000,152306000,None,648470000,181856000,466614000,None,None,None,11327000,5352000,1008203000,233755000,158475000,None,None,626626000,654536000,None,623716000,626626000,626626000,623716000,27405000,11264000,376809000,None,45311000,13000,42891252
FBM,2017-12-31,USD,1354270000,548658000,12101000,12101000,184436000,280023000,805612000,151408000,None,617264000,164536000,452728000,None,None,None,12636000,5604000,975606000,242278000,134460000,None,None,581865000,13639000,None,578701000,581865000,534379000,578701000,37270000,12657000,378664000,None,46184000,13000,42865407
FBM,2017-09-30,USD,1366282000,545324000,6312000,6312000,167601000,308955000,820958000,157536000,None,657470000,198998000,458472000,None,None,None,13847000,5952000,1063440000,207001000,147407000,None,None,611576000,652602000,None,608158000,611576000,611576000,608158000,28553000,14585000,302842000,None,-29708000,13000,42865407
FBM,2017-06-30,USD,1366591000,549188000,19946000,19946000,167425000,306104000,817403000,153282000,None,657701000,205496000,452205000,None,None,None,12227000,6420000,1066751000,217399000,143483000,None,None,604069000,645515000,None,600397000,604069000,604069000,600397000,43602000,12099000,299840000,None,-31107000,13000,42865407
FBM,2017-03-31,USD,1303504000,495946000,8793000,8793000,160498000,274474000,807558000,145540000,None,653518000,207477000,446041000,None,None,None,11751000,8500000,1006046000,190915000,128527000,None,None,569632000,611294000,None,569632000,569632000,569632000,569632000,34270000,12543000,297458000,None,-32368000,13000,42865407
FBM,2016-12-31,USD,1320985000,513590000,28552000,28552000,157991000,None,None,144387000,None,653316000,215381000,437935000,None,None,None,12516000,9692000,992469000,205508000,119788000,None,None,733956000,None,None,729774000,733956000,None,None,49613000,26138000,328516000,None,-36296000,364815000,30000000
