SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
FIT,2020-09-30,USD,1186846000,949147000,373384000,416435000,98996000,358451000,239635000,74684000,158191000,73195000,8395000,64800000,416435000,None,43051000,35013000,12334000,797954000,679964000,174603000,109288000,None,None,117990000,81431000,None,2338000,None,None,71707000,55960000,388892000,None,-778033000,27000,272230534
FIT,2020-06-30,USD,1042475000,787578000,343476000,448231000,65371000,215394000,254897000,78552000,148203000,74480000,9668000,64812000,448231000,None,104755000,11463000,10269000,612159000,493738000,79726000,74430000,None,None,118421000,83097000,None,None,None,None,171688000,52385000,430316000,None,-723581000,27000,269584380
FIT,2020-03-31,USD,1149654000,912246000,251997000,427696000,105745000,182284000,237408000,76218000,138272000,77529000,12717000,64812000,427732000,None,175699000,14428000,9458000,628599000,523329000,90801000,77284000,None,None,105270000,89450000,None,23216000,None,None,174309000,32860000,521055000,None,-619484000,26000,266806999
FIT,2019-12-31,USD,1368086000,1119752000,334479000,518502000,136752000,435269000,249718000,82756000,127693000,81558000,16746000,64812000,518502000,None,184023000,14090000,9684000,880823000,764610000,194626000,81684000,None,None,116213000,92797000,None,1384000,None,None,196274000,39776000,487263000,None,-639778000,26000,264883426
FIT,2019-09-30,USD,1376601000,1127247000,287431000,502248000,245096000,345562000,249354000,88232000,116931000,78498000,17519000,60979000,503023000,None,214817000,16127000,7170000,787627000,681368000,263181000,68500000,None,None,106259000,93979000,None,23313000,None,None,9000,29883000,588974000,None,-518943000,26000,259000000
FIT,2019-06-30,USD,1278180000,1016956000,335229000,564937000,161931000,258599000,256974000,91718000,104737000,80478000,19499000,60979000,564956000,None,229708000,9289000,9278000,45260000,542622000,157204000,33361000,None,None,110014000,100978000,None,23907000,None,None,928000,29420000,625544000,None,-467050000,25000,256000000
FIT,2019-03-31,USD,1394470000,1102654000,410813000,644196000,174478000,250582000,192672000,95275000,96170000,82538000,21559000,60979000,644660000,None,233383000,12208000,10423000,48034000,589515000,165551000,34578000,None,30209000,29001000,130530000,98219000,30209000,None,None,28000,29001000,671813000,None,-398532000,25000,253000000
FIT,2018-12-31,USD,1515547000,1311811000,473956000,723449000,124871000,414209000,203736000,106286000,86593000,84599000,23620000,60979000,724072000,None,249493000,42325000,8362000,779609000,719383000,251657000,36836000,None,None,60226000,None,None,None,None,None,29400000,52790000,735938000,None,-319067000,25000,245000000
FIT,2018-09-30,USD,1406080000,1198899000,402237000,623320000,195112000,334926000,207181000,106520000,73103000,86738000,25680000,61058000,225764000,None,221083000,45541000,10003000,47855000,653305000,232991000,32808000,None,None,52596000,None,None,None,None,None,27350000,52596000,694721000,None,-334440000,25000,246000000
FIT,2018-06-30,USD,1323201000,1104543000,328116000,580463000,140430000,320423000,218658000,110185000,72576000,88798000,27740000,61058000,257811000,None,252347000,63227000,16147000,50468000,583873000,155970000,32835000,None,None,55650000,None,None,None,None,None,28116000,55650000,678959000,None,-332384000,25000,243000000
FIT,2018-03-31,USD,1369101000,1154937000,378360000,658354000,145373000,293001000,214164000,104530000,65330000,90726000,29797000,60929000,280827000,None,279994000,59109000,14750000,606842000,547321000,132910000,36448000,None,None,59521000,None,None,None,None,None,31272000,54345000,762259000,None,-214116000,24000,239000000
FIT,2017-12-31,USD,1582075000,1384365000,341966000,679300000,123895000,406019000,51036000,104908000,59431000,73392000,22356000,51036000,679300000,None,337334000,97269000,15420000,758112000,701300000,212731000,42432000,None,None,56812000,None,None,None,None,None,35504000,49884000,823963000,None,-132112000,24000,232000000
FIT,2017-09-30,USD,1454577000,1232654000,280681000,280681000,138781000,384252000,221923000,90823000,47744000,74979000,23943000,51036000,379855000,None,378548000,173654000,9900000,622942000,564984000,178476000,40058000,None,None,57958000,None,None,None,None,None,40058000,57958000,831635000,None,-86456000,23000,234000000
FIT,2017-06-30,USD,1461089000,1131365000,318708000,318708000,141504000,216346000,329688000,80135000,38772000,75768000,24768000,51000000,357451000,None,357090000,97717000,10886000,535753000,476509000,83966000,44427000,None,None,59244000,None,None,None,None,None,44427000,59244000,925336000,None,26989000,23000,230000000
FIT,2017-03-31,USD,1538656000,1180056000,374279000,374279000,200331000,194834000,358600000,85039000,41613000,77181000,26145000,51036000,353020000,None,351837000,58775000,12340000,573088000,516808000,127542000,46904000,None,None,56280000,None,None,None,None,None,46904000,56280000,965568000,None,85126000,23000,227000000
FIT,2016-12-31,USD,1821926000,1480571000,301320000,301320000,230387000,477825000,51036000,76553000,39336000,78557000,27521000,51036000,415318000,None,404693000,66346000,10448000,823394000,756340000,313773000,49904000,None,None,67054000,None,None,None,None,None,49904000,59762000,998532000,None,140142000,23000,220000000
FIT,2016-09-30,USD,1690226000,1434780000,284220000,284220000,214955000,468506000,255446000,94311000,45569000,39795000,14578000,25217000,394764000,None,387882000,79217000,10526000,573122000,519390000,253138000,45001000,None,None,53732000,None,None,None,None,None,265021000,53732000,1117104000,None,286415000,22000,244000000
FIT,2016-06-30,USD,1623111000,1387647000,416142000,416142000,190644000,377545000,235447000,74181000,37280000,40290000,15090000,25200000,352668000,None,343534000,59782000,1504000,556454000,508981000,226418000,46420000,None,None,47473000,None,None,None,None,None,280489000,47473000,1066657000,None,260295000,22000,None
FIT,2016-03-31,USD,1578274000,1403481000,722062000,722062000,212092000,339669000,174793000,51579000,33679000,33840000,11683000,22157000,75326000,None,69652000,60006000,1773000,564948000,528062000,238696000,50929000,None,None,36886000,None,None,None,None,None,55268000,36886000,1013326000,None,253954000,22000,None
FIT,2015-12-31,USD,1519066000,1355414000,535846000,535846000,178146000,469260000,22157000,44501000,27582000,34373000,12216000,22157000,134634000,None,128632000,43530000,1758000,537615000,508257000,260842000,44448000,None,None,29358000,None,None,None,None,None,244547000,29358000,981451000,None,242919000,21000,164000000
