SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
FLGT,2020-12-31,USD,700461000,523616000,87426000,299367000,16491000,201667000,176845000,40199000,10920000,None,None,None,344443000,132502000,211941000,40392000,3316000,131074000,130115000,26488000,26576000,None,15019000,582000,835000,None,15019000,None,15854000,41862000,959000,569387000,None,150881000,3000,28178000
FLGT,2020-09-30,USD,247311000,195615000,53031000,74935000,17747000,99094000,51696000,17385000,9815000,None,None,None,52560000,30656000,21904000,30000000,975000,60356000,57736000,18674000,18456000,None,None,2231000,2743000,None,None,None,2743000,18968000,2620000,186955000,None,-15426000,2000,23307000
FLGT,2020-06-30,USD,95915000,41183000,2431000,20961000,2155000,13907000,54732000,6013000,9108000,None,None,None,64363000,45833000,18530000,6359000,80000,8872000,6509000,3636000,622000,501000,None,2363000,2864000,None,501000,None,2864000,622000,2363000,87043000,None,-62064000,2000,21810000
FLGT,2020-03-31,USD,89325000,37025000,9302000,27330000,1531000,6403000,52300000,5698000,8559000,None,None,None,61945000,43917000,18028000,3324000,160000,7953000,5810000,2855000,444000,431000,None,2143000,2574000,None,431000,None,2574000,500000,2143000,81372000,None,-65385000,2000,21672000
FLGT,2019-12-31,USD,88756000,37079000,11965000,28269000,277000,6571000,51677000,5974000,7990000,None,None,None,59123000,42819000,16304000,2255000,251000,5979000,3723000,1581000,365000,420000,None,2256000,2676000,None,420000,None,2676000,389000,2256000,82777000,None,-63429000,2000,21483000
FLGT,2019-09-30,USD,61145000,39205000,20522000,32118000,244000,5319000,21940000,6396000,7442000,None,None,None,23992000,12396000,11596000,1795000,409000,0,4253000,2150000,None,409000,None,2366000,2775000,None,409000,None,2775000,429000,2366000,54526000,None,-63133000,2000,18673000
FLGT,2019-06-30,USD,56436000,34795000,9165000,26985000,405000,5576000,18885000,5937000,6937000,None,None,None,30601000,12781000,17820000,2267000,167000,0,2909000,1175000,None,None,None,2385000,2786000,None,None,None,2786000,401000,2385000,51142000,None,-64595000,2000,18393000
FLGT,2019-03-31,USD,55652000,36301000,5288000,29427000,423000,4580000,16493000,6046000,6423000,None,None,None,34355000,10216000,24139000,2311000,231000,0,3203000,1456000,None,None,393000,2488000,2881000,2488000,393000,None,2881000,393000,2488000,49961000,None,-64926000,2000,18286000
FLGT,2018-12-31,USD,53904000,39543000,6736000,31034000,314000,6018000,14361000,6446000,5886000,None,None,None,32196000,7898000,24298000,2561000,17000,2752000,2738000,1313000,None,None,None,14000,None,None,None,None,None,None,14000,51152000,None,-63018000,2000,18172000
FLGT,2018-09-30,USD,54846000,41050000,8489000,32603000,301000,6111000,13796000,6853000,5345000,None,None,None,30110000,5996000,24114000,2370000,18000,2266000,2255000,1024000,None,None,None,11000,None,None,None,None,None,1231000,11000,52580000,None,-60965000,2000,18057000
FLGT,2018-06-30,USD,55548000,38195000,3654000,3654000,407000,5097000,17353000,7325000,4849000,None,None,None,1956000,1956000,26949000,2537000,20000,2987000,2978000,1794000,None,None,None,9000,None,None,None,None,None,1184000,9000,52561000,None,-60370000,2000,17963000
FLGT,2018-03-31,USD,55440000,36075000,5274000,28485000,398000,5005000,29650000,6853000,4284000,None,None,None,36081000,11977000,23211000,2621000,30000,2415000,2409000,1347000,None,None,None,6000,None,None,None,None,None,1062000,6000,53025000,None,-59321000,2000,17876000
FLGT,2017-12-31,USD,57184000,32927000,6490000,6490000,231000,4071000,24257000,7272000,3767000,None,None,None,36814000,16820000,19994000,2438000,39000,3006000,3000000,2089000,None,None,None,6000,None,None,None,None,None,911000,6000,54178000,None,-57664000,2000,17847000
FLGT,2017-09-30,USD,58670000,32038000,9478000,26048000,260000,3657000,44465000,6490000,3293000,None,None,None,36614000,20044000,16570000,2396000,71000,3399000,3151000,2370000,None,None,None,248000,None,None,None,None,None,781000,5000,55271000,None,-56040000,2000,17771000
FLGT,2017-06-30,USD,58805000,34727000,11473000,28873000,279000,4186000,41179000,6737000,2853000,None,None,None,34538000,17138000,17400000,1668000,61000,3072000,2827000,1820000,None,None,None,245000,None,None,None,None,None,105000,2000,55733000,None,-54947000,2000,17740000
FLGT,2017-03-31,USD,58820000,33170000,6734000,27367000,493000,4601000,25650000,5894000,2461000,None,None,None,40275000,19643000,20633000,1202000,69000,3524000,3281000,2306000,None,None,None,243000,None,None,None,None,None,745000,None,55296000,None,-54922000,2000,17681000
FLGT,2016-12-31,USD,58040000,26138000,7897000,20868000,322000,4364000,31902000,6234000,2047000,None,None,None,38568000,25597000,12971000,906000,17000,3561000,3316000,2756000,None,None,None,245000,None,None,None,None,None,436000,2000,54479000,None,-55154000,2000,17676000
FLGT,2016-09-30,USD,22758000,17494000,8205000,8205000,None,4406000,5264000,5178000,1628000,None,None,None,None,None,None,4883000,86000,5513000,5010000,3286000,None,None,None,503000,None,None,None,None,None,1253000,None,17245000,None,-55967000,1000,12846000
