SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
FND,2020-12-31,USD,2880425000,1040456000,307772000,307772000,654000000,None,1839969000,579359000,None,336716000,109269000,227447000,None,None,None,386456000,7569000,1883037000,698836000,417898000,34915000,1647000,94502000,1184201000,1035627000,208804000,1647000,207157000,208804000,104617000,7929000,997388000,None,588996000,104000,104368212
FND,2020-09-30,USD,2714396000,973969000,271126000,271126000,598461000,25722000,1740427000,506789000,None,336722000,109275000,227447000,None,None,None,349786000,6768000,1782891000,618918000,362457000,34453000,2745000,2745000,1163973000,1007510000,209538000,2745000,206793000,209538000,103662000,1928000,931505000,None,531856000,104000,103909036
FND,2020-06-30,USD,2528730000,829981000,134420000,134420000,594269000,27971000,1698749000,481770000,None,336730000,109283000,227447000,None,None,None,207741000,7134000,1678234000,533690000,326032000,8387000,2558000,2558000,1144544000,987169000,209535000,2558000,206977000,209535000,8387000,2011000,850496000,None,463082000,103000,103146537
FND,2020-03-31,USD,2633880000,950995000,289931000,289931000,588941000,None,1682885000,473081000,None,336738000,109291000,227447000,None,None,None,362054000,7551000,1824591000,506497000,319815000,7189000,69396000,1808000,1318094000,956609000,415134000,1808000,413326000,415134000,16863000,2114000,809289000,None,431078000,102000,102308612
FND,2019-12-31,USD,2324309000,701486000,27037000,27037000,581865000,None,1622823000,456289000,None,336746000,109299000,227447000,None,None,None,116753000,7532000,1559973000,552541000,368459000,6683000,74592000,None,1007432000,918861000,142606000,74592000,142606000,142606000,6683000,2179000,764336000,None,394015000,101000,101457858
FND,2019-09-30,USD,2156873000,643709000,84106000,84106000,483957000,None,1513164000,425498000,None,336754000,109307000,227447000,None,None,None,105219000,7395000,1433833000,492432000,318350000,8824000,53117000,None,941401000,828955000,143288000,53117000,143288000,None,8824000,2270000,723040000,None,358674000,101000,105000000
FND,2019-06-30,USD,2011124000,564014000,51450000,51450000,446397000,None,1447110000,382646000,None,336762000,109315000,227447000,None,None,None,79139000,7693000,1340236000,424638000,272695000,6967000,47961000,3500000,915598000,792056000,140470000,47961000,140470000,None,6967000,2360000,670888000,None,317700000,99000,105000000
FND,2019-03-31,USD,1873351000,527398000,451000,451000,437504000,None,1345953000,338888000,None,336769000,109322000,227447000,None,None,None,23793000,11181000,1253390000,398349000,229498000,None,3500000,3500000,855041000,757287000,143252000,3500000,141152000,None,15346000,2451000,619961000,None,274104000,98000,104000000
FND,2018-12-31,USD,1234091000,559458000,644000,644000,471014000,None,674633000,328366000,None,336777000,109330000,227447000,None,None,None,16593000,9490000,649782000,404285000,313503000,None,3500000,3500000,245497000,None,141834000,3500000,141834000,None,5244000,2550000,584309000,None,243563000,98000,105000000
FND,2018-09-30,USD,1131867000,486760000,534000,534000,403772000,None,645107000,300279000,None,336785000,109338000,227447000,None,None,None,17087000,8043000,568191000,324158000,237785000,None,3500000,3500000,244033000,None,142516000,3500000,142516000,None,5047000,2678000,563676000,None,225661000,97000,105000000
FND,2018-06-30,USD,1118410000,502309000,547000,547000,432446000,None,616101000,271500000,None,336793000,109346000,227447000,None,None,None,12654000,7808000,583736000,335332000,264987000,None,3500000,3500000,248404000,None,156798000,3500000,143198000,None,4683000,2604000,534674000,None,199093000,97000,105000000
FND,2018-03-31,USD,1075882000,486418000,572000,572000,426719000,None,589464000,245407000,None,336801000,109354000,227447000,None,None,None,11096000,7256000,588285000,331083000,255007000,None,3500000,3500000,257202000,None,169805000,3500000,143005000,None,3742000,3164000,487597000,None,159247000,96000,105000000
FND,2017-12-31,USD,1067992000,503212000,556000,556000,427950000,None,564780000,220952000,None,336809000,109362000,227447000,None,None,None,8193000,7019000,625132000,359300000,258730000,None,3500000,3500000,265832000,None,185562000,3500000,144562000,None,22523000,703000,442860000,None,119550000,96000,100000000
FND,2017-09-30,USD,1000931000,456307000,567000,567000,395620000,None,544624000,200400000,None,336817000,109370000,227447000,None,None,None,7525000,7407000,612760000,344224000,249246000,None,3500000,3500000,268536000,None,183919000,3500000,145819000,None,25600000,676000,388171000,None,71574000,95000,104000000
FND,2017-06-30,USD,944220000,416088000,386000,386000,367473000,None,528132000,183649000,None,336825000,109378000,227447000,None,None,None,7648000,7658000,583076000,322431000,243584000,None,3500000,3500000,260645000,None,178325000,3500000,146525000,None,21519000,648000,361144000,None,48318000,93000,100000000
FND,2017-03-31,USD,868354000,359885000,445000,445000,316540000,None,508469000,163813000,None,336833000,109386000,227447000,None,None,None,9517000,7823000,722245000,293215000,205939000,None,None,3500000,429030000,None,351210000,3500000,336710000,None,20926000,625000,146109000,None,27882000,83000,89000000
FND,2016-12-31,USD,831166000,336215000,556000,451000,293702000,None,494951000,150471000,None,336841000,109394000,227447000,None,None,None,7529000,7639000,696883000,243714000,158466000,None,None,3500000,453169000,None,387243000,3500000,337243000,None,75961000,592000,134283000,None,16754000,83000,88000000
