SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
FRP,2017-03-31,USD,1197869000,126785000,38747000,38747000,None,None,1071084000,994269000,None,73140000,73140000,None,None,None,None,27276000,3675000,1271887000,111211000,None,None,None,7565000,1160676000,None,899100000,7565000,None,None,73940000,1160676000,-74018000,None,-627465000,273000,None
FRP,2016-12-31,USD,1230835000,126715000,34924000,34924000,None,None,1104120000,1024352000,None,75913000,75913000,2500000,None,None,None,29396000,3855000,1284912000,119450000,None,None,None,7627000,1165462000,None,899681000,7627000,None,None,84225000,1165462000,-54077000,None,-603497000,271000,None
FRP,2016-09-30,USD,1248765000,124092000,33071000,33071000,None,None,1124673000,1042259000,None,78701000,78701000,None,None,None,None,27859000,3713000,1289733000,113110000,None,None,None,7607000,1176623000,None,900141000,7607000,None,None,76999000,1176623000,-40968000,None,-619502000,271000,None
FRP,2016-06-30,USD,1279256000,132583000,41116000,41116000,None,None,1146673000,1064630000,None,78379000,78379000,None,None,None,None,30186000,3664000,1302942000,122854000,None,None,None,7510000,1180088000,None,900475000,7510000,None,None,86483000,1180088000,-23686000,None,-659709000,271000,None
FRP,2016-03-31,USD,1290996000,115965000,23064000,23064000,None,None,1175031000,1090246000,None,81129000,81129000,None,None,None,None,29517000,3656000,1308012000,117154000,None,None,None,7431000,1190858000,None,900905000,None,None,None,81494000,1190858000,-17016000,None,-689024000,271000,None
FRP,2015-12-31,USD,1322526000,116136000,26560000,26560000,None,None,1206390000,1118781000,None,83879000,83879000,None,None,None,None,29440000,3730000,1324015000,120229000,None,None,None,7534000,1203786000,None,901368000,None,None,None,84754000,1203786000,-1489000,None,-707592000,269000,None
FRP,2015-09-30,USD,1358151000,129309000,17033000,17033000,None,None,1228842000,1138549000,None,86629000,86629000,None,None,None,None,33118000,3664000,1332748000,121085000,None,None,None,7454000,1211663000,None,901848000,None,None,None,83864000,1211663000,25403000,None,-749902000,269000,None
FRP,2015-06-30,USD,1370548000,114043000,9148000,9148000,None,None,1256505000,1163480000,None,89379000,89379000,None,None,None,None,26678000,3646000,1357412000,129619000,None,None,None,7364000,1227793000,None,902353000,None,None,None,92393000,1227793000,13136000,None,-802956000,269000,None
FRP,2015-03-31,USD,1400182000,116457000,10316000,10316000,None,None,1283725000,1187946000,None,92129000,92129000,None,None,None,None,26208000,3650000,1372502000,143410000,None,None,None,7228000,1229092000,None,902699000,None,None,None,85258000,1229092000,27680000,None,-843221000,269000,None
FRP,2014-12-31,USD,1465958000,147536000,37587000,37587000,None,None,5949000,1213729000,None,94879000,94879000,None,None,None,None,30766000,3865000,2066242000,152571000,None,None,None,7243000,1913671000,None,909152000,None,None,None,82559000,1913671000,-600284000,None,-798008000,267000,None
