SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
HCCHU,2020-09-30,USD,53921012,53956,9831,9831,None,None,53867056,None,None,None,None,None,53867056,53867056,None,None,53867056,2300617,1766998,None,None,None,None,533619,None,1600857,1473649,533619,1600857,None,None,51620395,None,269157,4730845,2148997
HCCHU,2020-06-30,USD,54029387,170913,107663,107663,None,None,53858474,None,None,None,None,None,53858474,53858474,None,None,53858474,2054534,1520915,None,None,309661,None,533619,None,1600857,309661,533619,1600857,None,None,51974853,None,618333,4381672,2114810
HCCHU,2020-03-31,USD,53639578,105243,49561,49561,None,None,53534335,None,None,None,None,None,53534335,53534335,None,None,53534335,1341188,807569,None,None,533619,716380,533619,None,1600857,533619,None,1600857,None,None,52298390,None,941870,4058138,2057078
HCCHU,2019-12-31,USD,57192281,352328,325714,325714,None,None,56839953,None,None,None,None,None,56839953,56839953,None,None,56839953,731940,238660,None,None,493280,156720,493280,None,1479840,493280,None,1479840,None,None,56460341,None,939506,4060495,1983782
HCCHU,2019-09-30,USD,56617522,33791,6701,6701,None,None,56583731,None,None,None,None,None,56583731,56583731,None,None,56583731,82628,82628,None,None,None,50000,None,None,None,50000,None,None,None,None,56534894,None,1014059,3985947,1953988
HCCHU,2019-06-30,USD,56342111,70353,16181,16181,None,None,56271758,None,None,None,None,None,56271758,56271758,None,None,56271758,1389,1389,None,None,None,None,None,None,None,None,None,None,None,None,56340722,None,819887,4180114,1945194
HCCHU,2019-03-31,USD,56154475,216126,128715,128715,None,None,55938349,None,None,None,None,None,55938349,55938349,None,None,55938349,5000,5000,None,None,None,None,None,None,None,None,None,None,None,None,56149480,None,628640,4371361,1934089
HCCHU,2018-12-31,USD,55899312,312564,243711,243711,None,None,55586748,None,None,None,None,None,55586748,55586748,None,None,None,6955,6955,None,None,None,None,None,None,None,None,None,None,None,None,55892360,None,371522,4628479,1927719
HCCHU,2018-09-30,USD,55679962,408338,304272,304272,None,None,55271624,None,None,None,None,None,55271624,55271624,None,None,None,3181,3181,None,None,None,None,None,None,None,None,None,None,None,None,None,None,155946,4844062,1920462
HCCHU,2018-06-30,USD,360010,50891,50891,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,340177,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5167,25000,1437500
