SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
HCLP,2019-12-31,USD,1111137000,179175000,57559000,57559000,39974000,None,None,None,None,38141000,38141000,0,None,37173000,None,None,None,710013000,126827000,None,None,None,2628000,None,None,445339000,2628000,None,None,3350000,None,401124000,None,-403401000,None,None
HCLP,2019-09-30,USD,1153358000,202038000,48352000,48352000,45168000,None,None,None,None,39227000,39227000,0,None,35440000,None,None,None,731158000,137796000,None,None,None,3964000,None,None,445211000,3964000,None,None,None,None,422200000,None,-382030000,None,None
HCLP,2019-06-30,USD,1527978000,230545000,52853000,52853000,47240000,None,None,None,None,53471000,53471000,35613000,None,33560000,None,None,None,838993000,178720000,None,None,None,1604000,None,None,441637000,1604000,None,None,None,None,688985000,None,-113533000,None,None
HCLP,2019-03-31,USD,1499471000,214550000,60404000,60404000,44400000,None,None,1170817000,None,72090000,72090000,None,None,39254000,None,None,None,694829000,140137000,None,None,None,1147000,None,None,442901000,1147000,None,None,26950000,None,0,None,None,807148000,None
HCLP,2018-12-31,USD,1433838000,285613000,114256000,114256000,57089000,None,None,1031188000,None,49694000,49694000,21881000,None,37354000,None,None,None,626591000,154510000,None,None,None,2194000,None,None,443283000,2194000,None,None,33818000,None,807247000,None,None,811477000,None
HCLP,2018-09-30,USD,1439340000,380424000,175430000,175430000,73037000,None,None,951158000,None,70008000,70008000,None,None,29504000,None,9060000,None,607092000,140861000,None,None,None,790000,None,None,443974000,790000,None,None,26840000,None,832248000,None,None,832248000,None
HCLP,2018-06-30,USD,1188589000,221733000,25433000,25433000,44827000,None,None,923499000,None,7575000,7575000,None,None,27880000,None,5846000,None,327833000,120033000,None,None,None,2663000,None,None,192207000,2663000,None,None,12399000,None,860756000,None,None,860756000,None
HCLP,2018-03-31,USD,1117506000,186113000,10113000,10113000,34937000,None,None,899322000,None,7995000,7995000,None,None,18641000,None,6081000,None,306271000,96484000,None,None,None,2968000,None,None,193174000,2968000,None,None,4399000,None,811235000,None,None,811235000,None
HCLP,2017-12-31,USD,1123140000,192214000,5662000,5662000,44272000,None,None,899158000,None,8416000,8416000,0,None,17475000,0,2832000,None,327505000,96480000,None,None,None,2957000,None,None,194462000,2957000,None,None,41590000,None,795635000,0,0,795635000,None
HCLP,2017-09-30,USD,1107646000,183984000,23906000,23906000,49380000,None,None,894567000,None,8835000,8835000,0,None,None,0,2819000,None,323066000,104116000,None,None,None,3137000,None,None,190093000,3137000,None,None,56899000,None,784580000,0,0,0,None
HCLP,2017-06-30,USD,1063485000,158055000,27490000,27490000,38609000,None,None,875730000,None,9256000,9256000,0,None,None,0,3091000,None,310102000,89904000,None,None,None,194488000,None,None,191456000,194488000,None,None,36205000,None,753383000,0,0,0,None
HCLP,2017-03-31,USD,1010511000,144781000,55498000,55498000,25988000,None,None,834818000,None,9677000,9677000,0,None,None,0,3253000,None,274520000,53179000,None,None,None,2520000,None,None,192713000,2520000,None,None,12795000,None,735991000,0,0,0,None
HCLP,2016-12-31,USD,529310000,89348000,4314000,4314000,24338000,None,None,416950000,None,10097000,10097000,0,None,10232000,0,2714000,None,236428000,30162000,None,None,None,2962000,None,None,193458000,2962000,None,None,8977000,None,290357000,0,0,299516000,None
HCLP,2016-09-30,USD,532702000,98473000,24786000,24786000,34741000,None,None,411289000,None,10518000,10518000,0,None,None,0,6074000,None,232160000,28478000,None,None,None,3045000,None,None,190969000,3045000,None,None,8299000,None,297986000,0,0,0,None
HCLP,2016-06-30,USD,394559000,94033000,39657000,39657000,23788000,None,None,282215000,None,10938000,10938000,0,None,None,0,6813000,None,214282000,14799000,None,None,None,2917000,None,None,192240000,2917000,None,None,4260000,None,177696000,0,0,0,None
HCLP,2016-03-31,USD,366560000,0,5640000,5640000,20665000,None,None,281727000,None,11359000,11359000,0,None,None,0,5492000,None,277371000,24475000,None,None,None,None,None,None,245742000,None,None,None,8985000,None,86588000,0,0,0,None
HCLP,2015-12-31,USD,419629000,85342000,10414000,10414000,27971000,None,None,276455000,None,45524000,45524000,33745000,None,None,0,4504000,None,280185000,21982000,None,None,None,3258000,None,None,251137000,3258000,None,None,7665000,None,136820000,0,0,134096000,None
HCLP,2015-09-30,USD,417812000,0,5035000,5035000,33380000,None,None,262272000,None,45945000,45945000,0,None,None,0,3975000,None,289571000,33450000,None,None,None,None,None,None,249140000,None,None,None,17170000,None,125560000,0,0,0,None
HCLP,2015-06-30,USD,436361000,0,6923000,6923000,28142000,None,None,266529000,None,65284000,65284000,0,None,None,691000,3971000,None,273359000,31456000,None,None,None,None,None,None,235006000,None,None,None,17690000,None,160356000,0,0,0,None
HCLP,2015-03-31,USD,430647000,0,4913000,4913000,20140000,None,None,258538000,None,66017000,66017000,0,None,None,691000,4756000,None,253652000,36404000,None,None,None,None,None,None,210435000,None,None,None,16351000,None,174347000,0,0,0,None
HCLP,2014-12-31,USD,436120000,115219000,4646000,4646000,23684000,None,None,241325000,None,66750000,66750000,33745000,None,None,691000,4081000,None,257679000,52585000,None,None,None,2000000,None,None,198364000,2000000,None,None,25707000,None,175962000,0,0,175962000,None
