SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
HOS,2020-03-31,USD,2520259000,136165000,58958000,58958000,None,51214000,2384094000,2303289000,None,None,None,None,None,None,None,25993000,7105000,1420472000,1278191000,16374000,None,1218875000,None,142281000,None,1216137000,1216137000,0,1216137000,None,1514000,None,None,350584000,396000,39639000
HOS,2019-12-31,USD,2668887000,208995000,121490000,121490000,None,66995000,2459892000,2342763000,833226000,None,None,None,None,None,None,20510000,5586000,1496442000,1337484000,30093000,2558000,1266843000,None,158958000,None,1263890000,1263890000,0,1263890000,None,2213000,None,None,408789000,381000,38096000
HOS,2019-09-30,USD,2691806000,212218000,136401000,136401000,None,57387000,2479588000,2360254000,None,None,None,None,None,None,None,18203000,6633000,1493912000,291664000,32621000,None,226798000,223826000,1202248000,None,1264218000,223826000,1040392000,1264218000,None,1839000,1197894000,None,437636000,380000,37993000
HOS,2019-06-30,USD,2772010000,267570000,142708000,142708000,None,60336000,2480679000,2389787000,None,None,None,None,None,None,None,20300000,6676000,1528101000,311812000,26343000,None,250871000,249130000,1216289000,None,1290171000,249130000,1041041000,1290171000,1741000,1530000,1243909000,None,479040000,380000,37993000
HOS,2019-03-31,USD,2723347000,255086000,174554000,174554000,None,59283000,2443976000,2410116000,None,None,None,None,None,None,None,21249000,4687000,1451598000,92397000,31117000,None,25174000,25174000,1334718000,None,1196733000,25174000,1171559000,1196733000,3104000,2710000,1271749000,None,510983000,379000,37875000
HOS,2019-12-31,USD,49400000,None,None,None,None,None,24700000,None,None,None,None,None,None,None,None,None,None,27700000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
HOS,2018-12-31,USD,2764637000,299628000,224936000,224936000,None,54924000,2465009000,2434829000,735063000,None,None,None,None,None,None,19768000,7655000,1456711000,161242000,26826000,0,96311000,96311000,1295469000,None,1219936000,96311000,1123625000,1219936000,None,2722000,1307926000,None,549475000,377000,37701000
HOS,2018-09-30,USD,2654739000,172232000,108066000,108066000,None,50133000,2482507000,2456262000,None,None,None,None,None,None,None,14033000,6345000,1324840000,161195000,22545000,None,95087000,95087000,1163645000,None,1084175000,95087000,989088000,1084175000,2173000,3736000,1329899000,None,573670000,376000,37595000
HOS,2018-06-30,USD,2689159000,182144000,109065000,109065000,None,57073000,2507015000,2482733000,None,None,None,None,None,None,None,16006000,6436000,1325527000,60787000,19615000,2122000,None,1083094000,1264740000,None,1083094000,1083094000,1083094000,1083094000,2122000,2522000,1363632000,None,604855000,376000,37595000
HOS,2018-05-18,USD,16000000,None,None,None,None,None,8000000,None,None,8000000,8000000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
HOS,2018-03-31,USD,2729055000,227107000,170836000,170836000,None,41564000,2501948000,2481735000,None,None,None,None,None,None,None,14707000,6541000,1330008000,56954000,18360000,1527000,None,1082017000,1273054000,None,1082017000,1082017000,1082017000,1082017000,1527000,2207000,1399047000,None,629943000,375000,37493000
