SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
ILPT,2020-12-31,USD,1915745000,22834000,22834000,22834000,None,None,792743000,709099000,None,83644000,83644000,None,1728254000,60590000,None,None,2765000,912555000,245806000,None,7811000,None,221000000,14630000,14630000,866579000,221000000,None,866579000,None,22441000,1003190000,None,224226000,653000,65301088
ILPT,2020-09-30,USD,2498994000,39105000,39105000,39105000,None,None,880668000,757522000,None,123146000,123146000,None,2229794000,None,None,22942000,5527000,1421571000,342476000,None,8098000,None,320000000,15778000,15778000,1368521000,320000000,None,1368521000,227000,24103000,983744000,None,183911000,653000,65301088
ILPT,2020-06-30,USD,2505600000,33256000,33256000,33256000,None,None,889162000,759009000,None,130153000,130153000,None,2250026000,None,None,13703000,1771000,1418989000,18002000,None,7495000,None,320000000,16353000,16353000,1368226000,320000000,None,1368226000,None,6597000,988257000,None,169822000,652000,65209564
ILPT,2020-03-31,USD,2512320000,19870000,19870000,19870000,None,None,896235000,759009000,None,137226000,137226000,None,2260435000,None,None,11302000,7858000,1417498000,18623000,None,None,None,265000000,16931000,16931000,1361824000,265000000,None,1361824000,None,6692000,994306000,None,155001000,652000,65185677
ILPT,2019-12-31,USD,2454901000,28415000,28415000,28415000,None,None,886390000,747794000,None,138596000,138596000,None,2204496000,298000,None,6135000,3438000,1459211000,328973000,None,None,None,310000000,17508000,17508000,1406608000,310000000,None,1406608000,None,6680000,995690000,None,142155000,652000,65180628
ILPT,2019-09-30,USD,2467657000,23336000,23336000,23336000,None,None,893369000,747814000,None,145555000,145555000,None,2208051000,9340000,None,None,19749000,1462209000,675554000,None,None,None,650000000,18087000,18087000,1396317000,650000000,None,1396317000,None,6818000,1005448000,None,130481000,652000,65181913
ILPT,2019-06-30,USD,2428592000,15350000,15350000,15350000,None,None,895241000,745422000,None,149819000,149819000,None,2182792000,9303000,None,None,10229000,1412840000,629850000,None,None,None,608000000,18665000,18665000,1353793000,None,None,1353793000,None,6514000,1015752000,None,119559000,651000,65074791
ILPT,2019-03-31,USD,1818149000,16126000,16126000,16126000,None,None,786948000,690059000,None,96889000,96889000,None,1588635000,9102000,None,None,46412000,794425000,67916000,None,None,None,50000000,17806000,17806000,739731000,None,None,739731000,None,6192000,1023724000,None,106443000,651000,65074791
ILPT,2018-12-31,USD,1534611000,9608000,9608000,9608000,None,None,746304000,670501000,None,75803000,75803000,None,1369105000,8632000,None,None,11178000,506338000,426693000,None,None,None,413000000,18316000,None,462195000,None,None,462195000,None,30356000,1028273000,None,89657000,651000,65074791
ILPT,2018-09-30,USD,1506629000,11100000,11100000,11100000,None,None,742076000,666526000,None,75550000,75550000,None,1346136000,None,None,1433000,6849000,475422000,393781000,None,None,None,380000000,18826000,None,424451000,None,None,424451000,7002000,30631000,1031207000,None,71369000,651000,65072031
ILPT,2018-06-30,USD,1461350000,15565000,15565000,15565000,None,None,731779000,657931000,None,73848000,73848000,None,1304173000,None,None,2955000,381000,427033000,346729000,None,None,None,335000000,19339000,None,379142000,384311000,None,379142000,7002000,29589000,1034317000,None,53227000,650000,65020000
ILPT,2018-03-31,USD,1433235000,19847000,19847000,19847000,None,None,719181000,642706000,None,76475000,76475000,None,1265047000,None,None,4133000,4343000,400407000,317021000,None,None,None,302000000,19861000,None,345831000,351369000,None,345831000,7002000,30917000,1032828000,None,34501000,650000,65005000
ILPT,2017-12-31,USD,1411683000,51672000,None,None,None,None,None,1268988000,None,79103000,79103000,None,None,None,None,None,None,849475000,11082000,None,None,None,799427000,None,None,799427000,799427000,None,None,7002000,None,562208000,None,15269000,450000,45000000
