SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
INMD,2020-12-31,USD,295761000,289591000,68938000,68938000,14983000,None,6170000,2135000,None,None,None,None,None,600000,191596000,None,None,40286000,35030000,None,None,None,None,5256000,358000,None,None,None,None,16494000,2910000,255475000,None,169016000,108000,37783777
INMD,2020-09-30,USD,274141000,270142000,68835000,68835000,14871000,None,3999000,2338000,None,None,None,None,None,600000,165482000,None,None,42115000,37526000,None,None,None,None,4589000,519000,None,None,None,519000,33243000,1969000,228289000,None,None,232026000,37783777
INMD,2020-06-30,USD,238018000,233568000,96738000,96738000,16227000,None,4450000,2474000,None,None,None,None,None,600000,106668000,None,993000,32862000,27812000,None,None,None,None,5050000,660000,None,None,None,None,23786000,1836000,201419000,None,None,205156000,35783300
INMD,2020-03-31,USD,229701000,224974000,75608000,75608000,12086000,None,4727000,2420000,None,None,None,None,None,600000,126101000,None,1370000,34868000,29274000,None,None,None,None,5594000,709000,None,None,None,None,24558000,1679000,191096000,None,None,194833000,32799082
INMD,2019-12-31,USD,218385000,213208000,73218000,73218000,9408000,None,5177000,2304000,None,None,None,None,None,600000,120144000,None,1899000,42319000,32494000,None,None,None,None,6088000,744000,None,None,None,None,18417000,1494000,176066000,None,93986000,93000,32799082
INMD,2019-09-30,USD,189765000,185505000,74640000,74640000,8495000,None,4260000,2366000,None,None,None,None,None,None,91613000,None,1516000,29330000,23703000,None,None,None,None,5627000,922000,None,None,None,None,10783000,918000,158994000,None,None,160435000,39000000
INMD,2019-06-30,USD,102557000,96954000,46097000,46097000,7616000,None,5603000,2480000,None,None,None,None,None,None,36677000,None,2637000,30950000,22945000,None,None,None,None,8005000,1021000,None,None,None,None,9802000,771000,70166000,None,None,71607000,35000000
INMD,2019-03-31,USD,85067000,79546000,35038000,35038000,7092000,None,5521000,2556000,None,None,None,None,None,None,29045000,None,2365000,31184000,21489000,None,None,None,None,8254000,1109000,None,None,None,None,9343000,771000,53883000,None,43030000,75000,35000000
INMD,2018-12-31,USD,81056000,77764000,34766000,34766000,6963000,None,None,544000,None,None,None,None,None,None,26532000,None,2204000,37793000,29429000,None,None,None,None,None,None,None,None,None,None,18215000,None,43263000,None,32971000,42000,35000000
INMD,2018-09-30,USD,68278000,66188000,25626000,25626000,5612000,None,None,511000,None,None,None,None,None,None,26778000,None,1014000,24977000,17443000,None,None,None,None,None,None,None,None,None,None,13851000,None,43301000,None,33244000,42000,35000000
INMD,2018-06-30,USD,58381000,56340000,32998000,32998000,5829000,None,None,481000,None,None,None,None,None,None,12051000,None,None,20194000,16211000,None,None,None,None,None,None,None,None,None,None,13374000,None,34327000,None,24287000,42000,35000000
