SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
IPCC,2018-03-31,USD,2551466000,88793000,88793000,88793000,None,None,154007000,78732000,87945000,75275000,75275000,75275000,1588428000,1598526000,34850000,32772000,21896000,1833550000,None,None,None,None,323065000,1833550000,None,273865000,323065000,289831000,273865000,15844000,1559685000,717916000,503069000,824932000,21908000,None
IPCC,2017-12-31,USD,2474500000,110130000,107589000,110130000,None,None,157728000,82500000,84776000,75275000,75275000,75275000,1539653000,1537111000,2541000,38608000,None,1758672000,1271721000,None,None,None,325465000,None,None,273809000,325465000,290824000,273809000,16743000,None,720281000,502475000,793077000,21888000,None
IPCC,2017-09-30,USD,2507866000,104928000,102356000,104928000,None,None,159760000,84485000,81411000,75275000,75275000,75275000,1551323000,1563734000,2572000,48779000,19968000,1789254000,None,None,None,None,337253000,1789254000,None,273753000,337253000,292782000,273753000,15035000,1515501000,718612000,497885000,789175000,21868000,None
IPCC,2017-06-30,USD,2451396000,87608000,87608000,87608000,None,None,162782000,87507000,77591000,75275000,75275000,75275000,1534967000,1548438000,425000,31335000,20523000,1739271000,None,None,None,None,314299000,1739271000,None,273699000,314299000,294132000,273699000,13836000,1465572000,712125000,490941000,780575000,21862000,None
IPCC,2017-03-31,USD,2439283000,69361000,69361000,69361000,None,None,168137000,92862000,74363000,75275000,75275000,75275000,1523103000,1535342000,503000,28874000,18381000,1730113000,None,None,None,None,321744000,1730113000,None,273644000,321744000,289831000,273644000,14467000,1456469000,709170000,489293000,781939000,21848000,None
IPCC,2016-12-31,USD,2402601000,92800000,92800000,92800000,None,None,171441000,96166000,70559000,75275000,75275000,75275000,1483714000,1493292000,2907000,None,12777000,1703414000,None,None,None,None,None,1703415000,None,273591000,None,278726000,273591000,16176000,1429824000,699187000,486990000,777695000,21829000,None
IPCC,2016-09-30,USD,2460217000,73616000,73616000,73616000,None,None,169633000,94358000,67849000,75275000,75275000,75275000,1499710000,1510963000,2255000,None,11082000,1757416000,None,None,None,None,None,1757416000,None,273538000,None,292075000,273538000,16686000,1483878000,702801000,485717000,761831000,21816000,None
IPCC,2016-06-30,USD,2426425000,76016000,76016000,76016000,None,None,173452000,98177000,75484000,75275000,75275000,75275000,1478615000,1490350000,4066000,None,11380000,1723369000,None,None,None,None,None,1723370000,None,273486000,None,291572000,273486000,15238000,1449884000,703057000,485124000,764829000,21801000,None
IPCC,2016-03-31,USD,2427516000,43623000,43623000,43623000,None,None,166842000,91567000,75619000,75275000,75275000,75275000,1497501000,1508922000,70699000,None,16500000,1736020000,None,None,None,None,None,1736020000,None,273434000,None,288613000,273434000,15524000,1462586000,691496000,484032000,759567000,21799000,None
IPCC,2015-12-31,USD,2385135000,62483000,62483000,62483000,None,None,164982000,89707000,72892000,75275000,75275000,75275000,1476053000,1488298000,81923000,None,11922000,1697500000,None,None,None,None,None,1699157000,None,273383000,None,281581000,275000000,17406000,1424157000,687595000,475638000,757604000,21794000,None
IPCC,2015-09-30,USD,2453035000,70605000,70605000,70605000,None,None,154837000,79562000,71445000,75275000,75275000,75275000,1510350000,1522737000,89415000,None,16436000,1755937000,None,None,None,None,None,1755936000,None,275000000,None,286223000,275000000,18957000,1480936000,697098000,462951000,751323000,21776000,None
IPCC,2015-06-30,USD,2465257000,60481000,60481000,60481000,None,None,153198000,77923000,69112000,75275000,75275000,75275000,1539290000,1552810000,95259000,None,12967000,1762702000,None,None,None,None,None,1762703000,None,275000000,None,287576000,275000000,18522000,1487703000,702555000,453491000,740444000,21773000,None
IPCC,2015-03-31,USD,2446702000,96434000,96434000,96434000,None,None,130198000,54923000,66507000,75275000,75275000,75275000,1529294000,1541325000,110744000,None,13714000,1739374000,None,None,None,None,None,1739374000,None,275000000,None,294674000,275000000,19274000,1464374000,707328000,447598000,731873000,21756000,None
IPCC,2014-12-31,USD,2384812000,84541000,84541000,84541000,None,None,131155000,55880000,63929000,75275000,75275000,75275000,1527054000,None,100959000,None,None,1687153000,None,None,None,None,None,None,None,275000000,None,291044000,275000000,18673000,None,697659000,445599000,725651000,21745000,None
IPCC,2014-09-30,USD,2417536000,94672000,94672000,94672000,None,None,131394000,56119000,61188000,75275000,75275000,75275000,1521184000,1533384000,93252000,None,11926000,1736067000,None,None,None,None,None,1736067000,None,275000000,None,288824000,None,18573000,1461067000,681469000,444213000,708435000,21742000,None
IPCC,2014-06-30,USD,2380011000,59139000,59139000,59139000,None,None,131085000,55810000,58443000,75275000,75275000,75275000,1538492000,1551970000,94368000,None,11221000,1699223000,None,None,None,None,None,1699224000,None,275000000,None,287837000,None,16163000,1424224000,680787000,440625000,697722000,21729000,None
IPCC,2014-03-31,USD,2369544000,84892000,84892000,84892000,None,None,126041000,50766000,55801000,75275000,75275000,75275000,1505657000,1518043000,69325000,None,12237000,1703057000,None,None,None,None,None,1703057000,None,275000000,None,282266000,None,18272000,1428057000,666488000,437463000,691199000,21696000,None
IPCC,2013-12-31,USD,2317265000,134211000,134211000,134211000,None,None,123336000,48061000,53368000,75275000,75275000,75275000,1448027000,1460799000,71960000,None,10242000,1660507000,None,None,None,None,None,1660506000,None,275000000,None,272632000,None,19100000,1385506000,656758000,435463000,685011000,21684000,None
IPCC,2013-09-30,USD,2288385000,87257000,87257000,87257000,None,None,123353000,48078000,50685000,75275000,75275000,75275000,1453517000,1465614000,54836000,None,11583000,1639211000,None,None,None,None,None,1639210000,None,275000000,None,284004000,None,17912000,1364210000,649174000,434198000,679088000,21635000,None
IPCC,2013-06-30,USD,2260428000,115861000,115861000,115861000,None,None,119754000,44479000,49131000,75275000,75275000,75275000,1397029000,1409813000,48749000,None,11800000,1621759000,None,None,None,None,None,1621758000,None,275000000,None,272767000,None,30813000,1346758000,638669000,432022000,675341000,21589000,None
