SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
IPGP,2020-12-31,USD,2935700000,2148077000,876231000,1391066000,364993000,334214000,809343000,597527000,None,103480000,62114000,41366000,514835000,None,514835000,57804000,43419000,341589000,214578000,25748000,73435000,3810000,3810000,76118000,5778000,37967000,3810000,34157000,37967000,8280000,None,2592819000,303614000,2188191000,6000,53427234
IPGP,2020-09-30,USD,2794932000,2031653000,763920000,1301616000,370344000,300788000,763279000,576398000,None,102730000,64999000,37731000,537696000,None,537696000,58905000,45535000,323858000,201445000,37375000,59155000,3792000,3792000,58218000,5573000,38909000,3792000,35117000,38909000,97440000,None,2470213000,303614000,2138852000,6000,53244416
IPGP,2020-06-30,USD,2758736000,1950526000,747859000,1248899000,367166000,266346000,808210000,585644000,None,149906000,67995000,81911000,501040000,None,501040000,68115000,42116000,321430000,195286000,42261000,56829000,3775000,3775000,59540000,5138000,39846000,3775000,36071000,39846000,90579000,None,2436352000,293960000,2103248000,6000,53182148
IPGP,2020-03-31,USD,2680134000,1874526000,570058000,1195143000,363383000,251486000,805608000,580980000,None,152459000,70832000,81627000,625085000,None,625085000,64514000,39368000,324204000,195432000,39648000,64876000,8723000,3757000,61146000,4966000,40779000,3757000,37022000,40779000,101382000,None,2355069000,278446000,2065022000,6000,53127181
IPGP,2019-12-31,USD,2730436000,1896634000,680070000,1182616000,380790000,None,31395000,600852000,None,156363000,74271000,82092000,502546000,604000,502546000,55876000,45192000,327993000,191904000,27329000,61351000,3740000,3740000,85950000,5300000,41708000,3740000,37968000,41708000,106654000,None,2401726000,265730000,2028734000,5000,53010875
IPGP,2019-09-30,USD,701236000,588493000,580329000,580329000,417163000,-2442000,112743000,596138000,None,109954000,85561000,109954000,498508000,622000,498508000,65896000,50321000,66003000,49358000,30466000,51035000,9037000,3722000,1677000,5315000,46353000,3722000,38909000,42631000,5315000,None,2380111000,250919000,2033184000,5000,53035843
IPGP,2019-06-30,USD,649777000,535945000,530013000,530013000,425996000,-2528000,113832000,600977000,None,110868000,89906000,110868000,512816000,880000,512816000,70675000,51750000,63785000,61506000,38016000,63226000,9352000,3705000,1720000,5647000,47256000,3705000,39846000,43551000,5647000,None,2366647000,227282000,1975931000,5000,53182910
IPGP,2019-03-31,USD,665444000,552229000,548938000,548938000,417817000,-2296000,113215000,570756000,None,110349000,93280000,110349000,481139000,867000,481139000,61389000,44819000,63526000,55237000,39970000,56886000,3688000,3688000,1649000,5001000,48155000,3688000,40779000,44467000,5001000,None,2267841000,224998000,1903659000,5000,53108213
IPGP,2018-12-31,USD,2574450000,1805424000,544358000,544358000,403579000,299291000,19165000,543068000,None,100722000,87139000,100722000,589734000,4731000,500432000,57764000,18932000,368215000,245774000,36302000,54019000,3671000,3671000,1413000,None,49049000,3671000,41707000,45378000,145694000,None,2205548000,224998000,1848500000,5000,52941607
IPGP,2018-09-30,USD,2562099000,1882285000,647606000,1122028000,397409000,312835000,659819000,529163000,None,102613000,45844000,56769000,587435000,14751000,474422000,50013000,28043000,355291000,217985000,29494000,49648000,3654000,3654000,1374000,None,49939000,3654000,42631000,46285000,127800000,None,2205963000,160859000,1772941000,5000,53398504
IPGP,2018-06-30,USD,2530478000,1836035000,816792000,1125762000,376019000,282343000,666625000,514767000,None,106865000,47249000,59616000,966642000,26777000,308970000,51911000,44993000,358321000,210279000,42989000,48400000,3637000,3637000,1414000,None,50825000,3637000,43551000,47188000,109798000,None,2172157000,99997000,1672424000,5000,53724445
IPGP,2018-03-31,USD,2498007000,1864886000,969123000,1175909000,356375000,277907000,608181000,483907000,None,104989000,49284000,55705000,None,18000,206786000,54695000,19285000,352638000,195560000,33369000,8579000,3621000,3621000,1472000,None,44466000,3621000,44466000,48087000,105074000,None,2145369000,69004000,1550807000,5000,53742849
IPGP,2017-12-31,USD,2367255000,1754010000,909900000,1116157000,307712000,None,26976000,460206000,None,107054000,51223000,55831000,None,16000,206257000,47919000,19009000,344933000,198903000,35109000,46690000,3604000,3604000,146030000,None,45378000,3604000,45378000,48982000,144417000,None,2022322000,48933000,1443867000,5000,53629439
IPGP,2017-09-30,USD,2246065000,1642539000,880267000,880267000,282495000,267395000,562979000,441494000,None,100812000,49669000,51143000,None,None,165655000,46727000,20673000,286966000,182191000,34271000,None,3576000,3576000,70927000,None,46296000,3576000,46296000,49872000,134284000,None,1959099000,35857000,1390911000,5000,53599374
IPGP,2017-06-30,USD,2030542000,1510774000,808111000,808111000,260661000,275244000,471925000,389853000,None,61022000,32294000,28728000,None,None,122304000,44454000,21050000,226185000,156785000,28996000,None,1188000,1188000,43779000,None,21375000,1188000,21375000,22563000,116499000,None,1804357000,33058000,1275314000,5000,53492316
IPGP,2017-03-31,USD,1902573000,1391014000,697778000,697778000,261893000,222185000,464511000,395858000,None,47723000,27892000,19831000,None,None,165025000,44133000,20930000,236301000,157736000,25388000,None,3188000,3188000,97564000,None,36839000,3188000,36839000,40027000,105737000,41726000,1666095000,21485000,1171198000,5000,53425945
IPGP,2016-12-31,USD,1789999000,1300962000,623855000,623855000,239010000,190029000,19828000,379375000,None,48617000,28789000,19828000,None,77000,206779000,41289000,18603000,232275000,158275000,28048000,None,3188000,3188000,55902000,None,37635000,3188000,37635000,40823000,102485000,36365000,1557558000,8946000,1094108000,5000,53251805
IPGP,2016-09-30,USD,1727298000,1276498000,645558000,645558000,242370000,198067000,435429000,367474000,None,48514000,28372000,20142000,None,None,126970000,38913000,19441000,224282000,155627000,17899000,None,3188000,3188000,86647000,None,38432000,3188000,38432000,41620000,100423000,30223000,1502846000,3483000,1018976000,5000,53129315
IPGP,2016-06-30,USD,1629307000,1197247000,587286000,587286000,241282000,184366000,418622000,350432000,None,49857000,29396000,20461000,None,None,126794000,33042000,18333000,206144000,134976000,20414000,None,3188000,3188000,88153000,None,39229000,3188000,39229000,42417000,84686000,31939000,1422989000,None,949741000,5000,53147812
IPGP,2016-03-31,USD,1550100000,1197639000,613692000,613692000,226907000,183664000,340572000,309206000,None,11568000,11066000,502000,None,None,126273000,24577000,19798000,203102000,150671000,20277000,None,2000000,2000000,69172000,None,17167000,2000000,17167000,19167000,74738000,35264000,1345856000,None,882682000,5000,52966460
