SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
ITRM,2020-12-31,USD,32792000,21472000,14508000,14508000,None,None,11320000,421000,None,None,None,None,None,None,None,6964000,10899000,83351000,41698000,None,None,None,22462000,41653000,None,22462000,6488000,None,28836000,3712000,19191000,-50559000,None,-286929000,494000,49431028
ITRM,2020-09-30,USD,26270000,12059000,8570000,8570000,None,None,14211000,461000,None,None,None,None,None,None,1334000,3489000,13750000,82173000,40866000,None,None,None,6158000,41307000,None,21653000,6158000,None,12242000,3811000,19654000,-55903000,None,-275743000,212000,21239093
ITRM,2020-06-30,USD,31687000,18076000,12250000,12250000,None,None,13611000,7389000,None,None,None,None,None,None,1278000,3139000,6222000,80476000,40616000,None,None,None,5983000,39860000,None,32757000,5983000,None,38740000,27909000,7103000,-48789000,None,-263544000,179000,17852149
ITRM,2020-03-31,USD,42312000,28619000,23257000,23257000,None,None,13693000,7552000,None,None,None,None,None,None,1211000,2602000,6141000,84053000,47090000,None,None,None,5917000,36963000,None,29812000,5917000,None,35729000,28115000,7151000,-41741000,None,-251023000,149000,14868973
ITRM,2019-12-31,USD,25751000,11718000,4801000,4801000,None,None,14033000,7716000,None,None,None,None,None,None,1139000,4048000,6317000,51989000,36986000,None,None,None,5800000,15003000,None,7625000,5800000,None,13425000,2662000,7378000,-26238000,None,-234923000,149000,14868973
ITRM,2019-09-30,USD,50942000,36869000,28883000,28883000,None,None,14073000,7876000,None,None,None,None,None,None,1023000,1735000,6197000,54038000,37332000,None,None,None,4997000,16706000,None,9343000,4997000,None,14340000,645000,7363000,-3096000,None,-211282000,149000,15000000
ITRM,2019-06-30,USD,71293000,59224000,51241000,51241000,None,None,12069000,8035000,None,None,None,None,None,None,780000,380000,4034000,46717000,28253000,None,None,None,3496000,18464000,None,10771000,3496000,None,14267000,481000,7693000,24576000,None,-180011000,144000,14000000
ITRM,2019-03-31,USD,89134000,76818000,64603000,64603000,None,None,12316000,8179000,None,None,None,None,None,None,5870000,425000,4137000,37504000,17618000,None,None,None,2056000,19886000,None,12139000,2056000,None,14195000,442000,7747000,51630000,None,-152373000,144000,14000000
ITRM,2018-12-31,USD,97871000,92971000,44551000,44551000,None,None,None,700000,None,None,None,None,None,None,40959000,5381000,4200000,26249000,12219000,None,None,None,1019000,None,None,13079000,1019000,None,14098000,113000,None,71622000,None,-131793000,144000,9000000
ITRM,2018-09-30,USD,116865000,112817000,39598000,39598000,0,None,4048000,716000,None,0,0,0,None,None,70017000,4710000,3332000,22767000,8031000,None,None,None,None,14736000,None,14541000,None,None,14541000,5323000,195000,94098000,0,-107536000,142000,14000000
ITRM,2018-06-30,USD,145470000,141713000,84901000,84901000,0,None,3757000,735000,None,0,0,0,None,None,50370000,6442000,3022000,26940000,12290000,None,None,None,14505000,14650000,None,14505000,14505000,None,None,4121000,145000,118530000,0,-82630000,142000,7000000
ITRM,2018-03-31,USD,68131000,65385000,38258000,38258000,None,None,None,737000,None,None,None,None,None,None,22382000,3331000,None,8401000,8323000,None,None,None,None,None,None,None,None,None,None,4748000,None,59614000,None,-66883000,6000,7591300
ITRM,2017-12-31,USD,46757000,44173000,8485000,8485000,None,None,None,747000,None,None,None,None,None,None,30731000,4448000,None,7206000,7126000,None,None,None,None,None,None,None,None,None,None,3974000,None,39551000,None,-54737000,4000,None
ITRM,2017-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22693000,None,None,None,None
ITRM,2016-12-31,USD,26917000,25862000,24809000,24809000,None,None,None,None,None,None,None,None,None,None,404000,808000,None,4219000,4219000,None,None,None,None,None,None,None,None,None,None,2738000,None,22698000,None,-25331000,4000,None
