SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
JFIN,2020-09-30,CNY,532438000,326866000,94826000,94826000,None,None,137280000,37640000,None,None,None,None,None,99640000,33698000,2000000,None,1087307000,382452000,None,None,None,None,11101000,11101000,None,None,None,11101000,248070000,None,-557254000,None,-1352471000,None,216100000
JFIN,2020-06-30,CNY,570794000,451055000,69864000,69864000,None,None,51447000,44241000,None,None,None,None,None,7206000,70651000,2000000,70292000,1211069000,400289000,None,None,None,None,13297000,13297000,None,None,None,None,216898000,None,-640275000,None,-1438613000,None,216100000
JFIN,2020-03-31,CNY,650553000,511515000,66832000,66832000,None,None,70746000,64285000,None,None,None,None,None,6461000,70808000,2000000,70292000,1338111000,407611000,None,None,None,None,28512000,28512000,None,None,None,None,198495000,None,-687558000,None,-1479255000,None,216100000
JFIN,2019-12-31,CNY,701072000,552655000,122149000,122149000,0,None,80125000,76299000,0,0,0,0,None,3826000,69618000,0,68292000,1442926000,354775000,None,None,None,0,32480000,35215000,0,0,None,0,180293000,0,-741854000,0,-1519731000,0,216100000
JFIN,2019-09-30,CNY,872400000,781715000,237994000,237994000,0,None,90685000,83911000,0,0,0,0,None,3540000,71477000,0,3234000,1712136000,1664379000,None,None,None,0,47883000,42914000,0,0,None,0,2.90,0,-839736000,0,-1565535000,0,50000000
JFIN,2019-06-30,CNY,970298000,880468000,438406000,438406000,0,None,89830000,86862000,0,0,0,0,None,0,0,453000,59414000,1895080000,1845106000,None,None,None,0,49947000,49947000,0,0,None,0,947771000,0,-924782000,0,-1624615000,0,52000000
JFIN,2019-03-31,CNY,805217000,734889000,143217000,143217000,0,None,70328000,70045000,0,0,0,0,None,0,0,2264000,63919000,2156389000,2116559000,None,None,None,0,39830000,39830000,0,0,None,0,1237222000,0,-1351172000,0,-1793262000,0,50000000
JFIN,2018-12-31,CNY,801879000,317656.80,41441000,41441000,0,None,0,12959.49,0,0,0,0,None,0,0,18538.44,97527000,2453885000,365522.15,None,None,None,0,0,0,0,0,None,0,213321.13,0,-737966.51,0,-914627.55,0,0
JFIN,2018-09-30,USD,1353771000,0,359788000,359788000,0,None,0,4582975.44,0,0,0,0,None,0,0,0,54819000,3214138000,0,None,None,None,0,0,0,0,0,None,None,0,0,0,0,0,0,0
JFIN,2018-03-31,USD,0,0,0,0,0,None,0,0,0,0,0,0,None,0,0,0,0,0,0,None,None,None,0,0,0,0,0,None,None,0,0,-307545896.03,0,0,0,None
JFIN,2017-12-31,USD,2530532000,2505283000,606097000,606097000,0,None,0,3668526.29,0,0,0,0,None,0,0,23857715.89,1379000,4462074000,4462074000,None,None,None,0,0,0,0,0,None,None,32956644.69,0,-296854319.39,0,-347216868.77,0,None
