SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
KYTH,2015-06-30,USD,195446000,0,92312000,92312000,4009000,None,None,2071000,None,0,0,0,None,None,92542000,3621000,None,48958000,23679000,None,None,None,None,None,None,24645000,None,None,None,18089000,None,146488000,0,0,0,None
KYTH,2015-03-31,USD,215301000,0,165870000,165870000,0,None,None,1942000,None,0,0,0,None,None,45798000,1278000,None,44631000,19536000,None,None,None,None,None,None,24396000,None,None,None,7604000,None,170670000,0,0,0,None
KYTH,2014-12-31,USD,103426000,0,29226000,29226000,0,None,None,1847000,None,0,0,0,None,None,70435000,1498000,None,43988000,20629000,None,None,None,None,None,None,22661000,None,None,None,10455000,None,59438000,0,0,0,None
KYTH,2014-09-30,USD,121736000,0,39736000,39736000,0,None,None,1865000,None,0,0,0,None,None,77706000,1642000,None,41482000,17423000,None,None,None,None,None,None,23488000,None,None,None,8472000,None,80254000,0,0,0,None
KYTH,2014-06-30,USD,138758000,0,83612000,83612000,0,None,None,840000,None,0,0,0,None,None,51076000,2313000,None,39266000,13978000,None,None,None,None,None,None,24842000,None,None,None,6011000,None,99492000,0,0,0,None
KYTH,2014-03-31,USD,155641000,0,93169000,93169000,0,None,None,108000,None,0,0,0,None,None,59404000,2529000,None,39823000,13654000,None,None,None,None,None,None,26163000,None,None,None,4758000,None,115818000,0,0,0,None
KYTH,2013-12-31,USD,173407000,0,111518000,111518000,0,None,None,94000,None,0,0,0,None,None,60602000,1156000,None,23568000,17581000,None,None,None,None,None,None,5979000,None,None,None,8827000,None,149839000,0,0,0,None
KYTH,2013-09-30,USD,64649000,0,25186000,25186000,0,None,None,121000,None,0,0,0,None,None,38537000,768000,None,27639000,20222000,None,None,None,None,None,None,7407000,None,None,None,13307000,None,37010000,0,0,0,None
KYTH,2013-06-30,USD,76383000,0,32586000,32586000,0,None,None,150000,None,0,0,0,None,None,43089000,521000,None,30519000,21704000,None,None,None,None,None,None,8804000,None,None,None,15123000,None,45864000,0,0,0,None
KYTH,2013-03-31,USD,88736000,0,41625000,41625000,0,None,None,171000,None,0,0,0,None,None,38746000,961000,None,32953000,15576000,None,None,None,None,None,None,10169000,None,None,None,10159000,None,55783000,0,0,0,None
KYTH,2012-12-31,USD,96222000,0,79311000,79311000,0,None,None,275000,None,0,0,0,None,None,7657000,621000,None,27316000,16222000,None,None,None,None,None,None,2764000,None,None,None,12910000,None,68906000,0,0,0,None
KYTH,2012-09-30,USD,37605000,None,15080000,15080000,None,None,None,425000,None,None,None,None,None,None,6942000,4755000,None,28307000,14832000,None,None,None,None,None,None,3101000,None,None,None,13285000,None,9298000,None,None,None,None
KYTH,2012-06-30,USD,52405000,None,27466000,27466000,None,None,None,599000,None,None,None,None,None,None,9385000,5487000,None,27359000,12471000,None,None,None,None,None,None,2621000,None,None,None,11891000,None,25046000,None,None,None,None
KYTH,2011-12-31,USD,45079000,None,34577000,34577000,None,None,None,720000,None,None,None,None,None,None,7403000,2348000,None,18516000,14804000,None,None,None,None,None,None,2145000,None,None,None,13842000,None,26563000,None,None,None,None
KYTH,2010-12-31,USD,45509000,None,21676000,21676000,None,None,None,82000,None,None,None,None,None,None,16167000,1605000,None,44956000,35558000,None,None,None,None,None,None,1031000,None,None,None,34930000,None,553000,None,None,None,None
