SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
LFC,2020-09-30,CNY,None,351083000000,None,None,None,None,None,53087000000,None,None,None,None,None,None,None,52073000000,None,None,319690000000,None,None,None,None,None,None,None,None,None,None,42839000000,None,None,None,309780000000,28265000000,None
LFC,2020-06-30,CNY,3966033000000,401272000000,80889000000,80889000000,None,None,None,53731000000,None,None,None,None,None,2431506000000,1052029000000,78422000000,None,3550127000000,421934000000,None,None,None,None,None,2960000000,55352000000,None,None,58312000000,54495000000,None,415906000000,None,293237000000,28265000000,28264705000
LFC,2020-03-31,CNY,0,370412000000,0,0,0,None,0,53503000000,0,0,0,0,None,0,0,43659000000,0,0,311520000000,None,None,None,0,0,0,0,0,None,0,36123000000,0,0,0,300626000000,28265000000,5697000000
LFC,2019-12-31,CNY,3726734000000,275477000000,53306000000,53306000000,0,None,0,54240000000,0,7830000000,7830000000,0,None,2352299000000,1058957000000,69667000000,0,3317392000000,497561000000,None,None,None,0,0,3091000000,55035000000,0,None,0,75130000000,0,403764000000,0,283536000000,28265000000,28264705000
LFC,2019-09-30,CNY,10358.76,303971000000,179.93,179.93,0,None,0,52413000000,0,22.88,22.88,0,None,7576.57,5.43,49629000000,0,9227.47,341699000000,None,None,None,0,0,0,154.98,0,None,0,27178000000,0,1115.80,0,283063000000,28265000000,5665000000
LFC,2019-06-30,CNY,3479860000000,1327.23,57259000000,57259000000,0,None,0,50403000000,0,35.19,35.19,0,None,2165256000000,932947000000,275.68,0,3106271000000,1760.44,None,None,None,0,0,2505000000,55184000000,57.58,None,0,133.85,0,368434000000,0,161644000000,28265000000,378259557300
LFC,2019-03-31,USD,122089.11,13133.29,2481.21,2481.21,0,None,0,7418013856.81,0,291.79,291.79,0,None,87971.38,1161.29,1583.48,0,108718.04,9502.74,None,None,None,0,0,0,1947,0,None,0,1232.62,0,13187.11,0,38167473739.11,4211428145.72,5660000000
LFC,2018-12-31,CNY,3254403000000,125402032.92,13750160.21,13750160.21,0,None,0,57028000000,0,3626833.14,3626833.14,0,None,1089189943.05,4424656.02,32436458.64,0,2936032000000,233320755.67,None,None,None,0,0,0,20150000000,6920867.81,None,0,28458958.67,0,318371000000,0,282315000000,28265000000,36673960600
LFC,2018-09-30,USD,453711511304.58,47584620536.04,9838402073.11,9838402073.11,0,None,0,6666278443.42,0,1169474006.03,1169474006.03,0,None,332340112681.80,891845855.96,7498580558.75,0,404915051900.60,44971392799.43,None,None,None,0,0,0,2817627276.57,0,None,None,4113613533.46,0,48098676644,0,35180887769.51,4114923786.92,5628000000
LFC,2018-06-30,USD,68444124612.39,7087027405.56,915676192.90,915676192.90,0,None,0,1008586525.05,0,141963209.04,141963209.04,0,None,50428494085.23,216385936.97,1438681969.67,0,61077871408.32,8987787025.68,None,None,None,0,0,0,364579153.76,53506095.42,None,None,743215184.20,0,7264773799.89,0,5357536770.99,635708191.30,938457142900
