SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
LOCO,2020-12-31,USD,605221000,31669000,13219000,13219000,2100000,None,573552000,79642000,None,310562000,61888000,248674000,None,None,None,None,1392000,327643000,66412000,7472000,4008000,70000,None,259669000,1692000,62800000,0,62800000,62800000,16715000,11292000,277578000,None,-61514000,364000,36423505
LOCO,2020-09-23,USD,621648000,44863000,29529000,29529000,1937000,None,576785000,80545000,None,310562000,61888000,248674000,None,None,None,2555000,1280000,350572000,69727000,6238000,8191000,50000,None,277744000,94000,83800000,0,83800000,83800000,16216000,9772000,271076000,None,-66969000,364000,36441369
LOCO,2020-06-30,USD,665592000,81107000,60342000,60342000,1954000,None,500223000,268570000,None,310562000,61888000,248674000,None,None,None,2696000,1168000,409033000,67042000,9338000,8584000,37000,None,338572000,63000,138800000,0,138800000,138800000,16376000,8978000,256559000,None,-76889000,359000,35854122
LOCO,2020-03-31,USD,653499000,62516000,43404000,43404000,2092000,None,590983000,275512000,148619000,310562000,61888000,248674000,None,None,None,4607000,1366000,404894000,58858000,6456000,8675000,36000,36000,342908000,73000,141500000,0,141500000,141500000,12216000,6547000,248605000,None,-82388000,351000,35089983
LOCO,2019-12-31,USD,624752000,24678000,8070000,8070000,2009000,None,600074000,284173000,144786000,310562000,61888000,248674000,None,360000,None,5718000,1630000,379186000,73959000,5627000,9323000,34000,34000,301926000,83000,97000000,0,97000000,97000000,28597000,5679000,245566000,None,-85988000,351000,35126582
LOCO,2019-09-30,USD,635428000,27134000,12069000,12069000,2085000,None,405325000,292028000,150076000,310562000,61888000,248674000,None,171000,None,2123000,1399000,6466000,80359000,9811000,6466000,32000,32000,106876000,92000,101000000,64000,101000000,101000000,27594000,5784000,240014000,None,-89486000,349000,34893716
LOCO,2019-06-30,USD,636993000,28473000,11281000,11281000,2069000,None,403143000,290726000,145497000,310562000,61888000,248674000,None,None,None,3440000,1322000,6559000,77329000,10234000,6559000,31000,31000,90942000,100000,85000000,62000,85000000,85000000,26098000,5842000,262824000,None,-95888000,377000,37732948
LOCO,2019-03-31,USD,646715000,28003000,6699000,6699000,2219000,None,406541000,295055000,141995000,310818000,62144000,248674000,None,None,None,4494000,1404000,5623000,98599000,8541000,5623000,41000,17697000,76537000,109000,71000000,82000,71000000,71000000,48545000,5337000,263238000,None,-109975000,388000,38730204
LOCO,2018-12-31,USD,205200000,22045000,6969000,6969000,2479000,None,205200000,104161000,None,62168000,62168000,248674000,None,None,None,2998000,1469000,222300000,82903000,None,None,None,68000,102087000,116000,74000000,None,None,None,58401000,27971000,265236000,None,-110888000,390000,39009451
LOCO,2018-09-30,USD,444905000,21721000,8142000,8142000,2242000,None,417632000,105247000,137236000,310866000,62192000,248674000,None,None,None,2450000,1541000,155856000,51872000,6848000,None,95000,95000,102479000,124000,71000000,95000,71000000,71000000,16048000,20876000,289049000,None,-87505000,391000,39066736
