SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
LOGM,2020-06-30,USD,3900883000,462008000,249464000,249464000,None,117959000,4174982000,97911000,None,3886443000,1472214000,2414229000,None,None,None,103585000,85203000,1129726000,663264000,43965000,916742000,None,None,277862000,104114000,200000000,None,None,200000000,468101000,20394000,2771157000,635373000,12687000,577000,49028000
LOGM,2020-03-31,USD,3880199000,400374000,189550000,189550000,None,116141000,4258552000,98449000,None,3987793000,1574182000,2413611000,None,None,None,104283000,71435000,1139993000,660188000,45478000,902516000,18979000,None,129505000,107714000,200000000,None,None,200000000,456245000,15878000,2740206000,635373000,-6354000,573000,48619000
LOGM,2019-12-31,USD,3855997000,324951000,128005000,128005000,None,115295000,4371473000,99157000,108159000,4095141000,1680854000,2414287000,None,None,None,89351000,68272000,1115289000,622657000,52104000,816326000,18470000,None,302932000,107144000,200000000,None,None,200000000,408557000,15400000,2740708000,635373000,4931000,573000,48573000
LOGM,2019-09-30,USD,3858668000,281193000,119197000,119197000,None,87976000,4467380000,97005000,None,4205935000,1791600000,2414335000,None,None,None,81120000,61261000,1083542000,600491000,56671000,785648000,17900000,None,118773000,109307000,200000000,None,None,200000000,399535000,10077000,2775126000,597462000,24854000,572000,48968000
LOGM,2019-06-30,USD,3921707000,281128000,111565000,111565000,None,96712000,4487428000,101878000,None,4329769000,1916114000,2413655000,None,None,None,79151000,53950000,1103262000,607638000,50805000,None,None,16753000,206559000,111618000,200000000,16753000,None,200000000,416146000,9461000,2818445000,552528000,35783000,571000,49566000
LOGM,2019-03-31,USD,4007248000,314954000,145056000,145056000,None,95354000,4592593000,101445000,None,4443042000,2029870000,2413172000,None,None,None,80944000,46303000,1112312000,598789000,43769000,None,None,16024000,220630000,114317000,200000000,16024000,None,200000000,409831000,13892000,2894936000,486490000,58487000,569000,50166000
LOGM,2018-12-31,USD,3935953000,327893000,148652000,148652000,None,100754000,4661989000,98238000,85685000,4520366000,2119976000,2400390000,0,None,0,83887000,41545000,961265000,524606000,35447000,758596000,None,None,35447000,None,200000000,None,None,200000000,369780000,25929000,2974688000,428658000,84043000,567000,50692000
LOGM,2018-09-30,USD,3974787000,317225000,167626000,167626000,None,90873000,4776710000,92866000,None,4644013000,2239734000,2404279000,0,None,0,61926000,38006000,966051000,513735000,36658000,None,None,None,257916000,None,200000000,None,None,200000000,364867000,25465000,3008736000,372393000,73957000,567000,51331000
LOGM,2018-06-30,USD,4057436000,337259000,198858000,198858000,None,84996000,4899109000,92410000,None,4764136000,2359274000,2404862000,0,None,0,56505000,40760000,986511000,523002000,35048000,None,None,200000000,262298000,None,200000000,200000000,None,200000000,375079000,26723000,3070925000,297264000,76763000,565000,52029000
LOGM,2018-03-31,USD,3927369000,506284000,365180000,365180000,None,87369000,4520624000,90826000,None,4394144000,2199590000,2194554000,0,None,0,56735000,33810000,767007000,520491000,30675000,384921000,None,None,246516000,None,0,None,None,0,380144000,23232000,3160362000,228764000,85849000,562000,52347000
LOGM,2017-12-31,USD,3858108000,398824000,252402000,252402000,None,99049000,2208725000,92154000,58363000,2208725000,2299194000,2208725000,0,None,0,52473000,6483000,694367000,445228000,22232000,347305000,None,None,249139000,None,0,None,None,0,340570000,20997000,3163741000,179725000,50445000,560000,52564000
LOGM,2017-09-30,USD,3941336000,394321000,262051000,276051000,None,83862000,1661000,91401000,None,4637991000,2383218000,2254773000,14000000,None,14000000,34412000,7295000,859484000,470836000,37117000,328512000,None,None,388648000,None,None,None,None,None,323044000,7174000,3081852000,161571000,-29719000,560000,52669000
LOGM,2017-06-30,USD,3929090000,401614000,261007000,285507000,None,75765000,1549000,82538000,None,4644190000,2418498000,2225692000,24500000,None,24500000,40354000,8186000,845567000,446138000,37040000,310150000,None,None,399429000,None,None,None,None,None,304777000,5802000,3083523000,140111000,-26460000,559000,52773000
LOGM,2017-03-31,USD,3957313000,403143000,266723000,325523000,None,73036000,1368000,80216000,None,4703096000,2478810000,2224286000,58800000,None,58800000,33998000,8625000,876424000,429927000,29615000,289920000,None,30000000,416497000,None,30000000,30000000,None,30000000,281009000,4865000,3080889000,117961000,-41321000,556000,52676000
LOGM,2016-12-31,USD,443293000,228090000,140756000,140756000,None,25901000,124241000,23867000,38249000,121760000,125020000,121760000,111420000,None,111420000,5723000,4282000,247177000,206859000,14640000,162253000,None,30000000,10318000,None,30000000,30000000,None,30000000,156966000,2699000,196116000,110496000,-1754000,284000,25552000
LOGM,2016-09-30,USD,461910000,247962000,146600000,146600000,None,16210000,277441000,25226000,None,244969000,127424000,117545000,141218000,None,141218000,14543000,4736000,265428000,208529000,13227000,163659000,None,None,19399000,None,37500000,None,None,37500000,159365000,8138000,196482000,107914000,9150000,283000,25496000
LOGM,2016-06-30,USD,471914000,254193000,139882000,139882000,None,14536000,283822000,26088000,None,250139000,132594000,117545000,171030000,None,171030000,14260000,5091000,266843000,207235000,12333000,163891000,None,None,14608000,None,45000000,None,None,45000000,161830000,6675000,205071000,104452000,22507000,281000,25324000
LOGM,2016-03-31,USD,476634000,257612000,141191000,141191000,None,15139000,287710000,23438000,None,255349000,137804000,117545000,170628000,None,170628000,15968000,6305000,270134000,204067000,10911000,165260000,None,None,13567000,None,52500000,None,None,52500000,162874000,5321000,206500000,93482000,20001000,277000,25132000
LOGM,2015-12-31,USD,455699000,236435000,123143000,123143000,None,16011000,2468000,21711000,30409000,117545000,143180000,117545000,170568000,None,170568000,11997000,5753000,247888000,176298000,10327000,136989000,None,60000000,11590000,None,60000000,60000000,None,60000000,134297000,3086000,207811000,85115000,21074000,275000,25130330
LOGM,2015-09-30,USD,367162000,275546000,160412000,160412000,None,15892000,100020000,18742000,None,73172000,35244000,37928000,170560000,None,170560000,8590000,5632000,177406000,172609000,10977000,137042000,None,None,4797000,None,None,None,None,None,133815000,1570000,189756000,81757000,14839000,278000,25049871
