SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
LXFR,2020-12-31,USD,346400000,150900000,1500000,1500000,68800000,None,16500000,86000000,None,12800000,12800000,70200000,None,500000,None,37500000,9500000,179300000,65400000,None,None,None,25000000,113900000,9600000,53400000,None,None,78400000,24900000,58500000,167100000,-4000000,91200000,353000000,27636153
LXFR,2020-09-30,USD,359600000,159800000,14200000,14200000,84700000,None,14600000,92300000,None,12700000,12700000,67500000,None,400000,None,5000000,12300000,182900000,93100000,None,None,None,25000000,89800000,12500000,49700000,25000000,None,None,14300000,37300000,176700000,-4000000,87500000,176500000,27622099
LXFR,2020-06-30,USD,369900000,168300000,8100000,8100000,93200000,None,14400000,93000000,None,12800000,12800000,66400000,None,2100000,None,4100000,12900000,196600000,63900000,None,None,None,None,132700000,13000000,90500000,None,None,None,12600000,39500000,173300000,-4000000,88300000,176500000,27615704
LXFR,2020-03-31,USD,392500000,189000000,17300000,17300000,93900000,None,14400000,94300000,None,13000000,13000000,66200000,None,2100000,None,4200000,13500000,222700000,69200000,None,None,None,None,153500000,13700000,108800000,None,None,None,12200000,42100000,169800000,-4000000,87600000,176500000,27500415
LXFR,2019-12-31,USD,390300000,176100000,10200000,10200000,94500000,None,15800000,98900000,None,13600000,13600000,68800000,None,2300000,None,5100000,15800000,215900000,74000000,None,None,None,None,141900000,15000000,91400000,None,None,91400000,12300000,48000000,174400000,-4000000,84800000,353000000,27431283
LXFR,2019-09-30,USD,402400000,187300000,11900000,11900000,96200000,None,16500000,101500000,None,13400000,13400000,66400000,None,2200000,None,6100000,15100000,223200000,72500000,None,None,None,None,150700000,15200000,105600000,None,None,None,11800000,42100000,179200000,-4000000,90600000,176500000,28000000
LXFR,2019-06-30,USD,412100000,192900000,20400000,20400000,98700000,None,219200000,118700000,None,13900000,13900000,67400000,None,1900000,None,6100000,17300000,234100000,82000000,None,None,None,7200000,152100000,16400000,102000000,7200000,None,109200000,10500000,1500000,178000000,-4300000,88200000,176500000,28000000
LXFR,2019-03-31,USD,423800000,196500000,14200000,14200000,97900000,None,17400000,107800000,None,14300000,14300000,68400000,None,1600000,None,10700000,17400000,244000000,102200000,None,None,None,7600000,141800000,17700000,85000000,7600000,None,92600000,20700000,53600000,179800000,-4300000,88100000,176500000,27000000
LXFR,2018-12-31,USD,390400000,181100000,13800000,13800000,93600000,None,18600000,106900000,None,14600000,14600000,67600000,None,1600000,None,11000000,None,206100000,87700000,None,None,None,3500000,118400000,None,73600000,None,None,None,11900000,41300000,184300000,-4300000,95300000,353000000,28000000
LXFR,2018-09-30,USD,394900000,182400000,8900000,8900000,96100000,None,None,118100000,None,78500000,78500000,None,None,7800000,200000,77200000,None,194400000,74900000,None,None,None,None,None,None,87900000,None,None,None,3200000,None,200500000,-4300000,350900000,26600000,28000000
