SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
MNPR,2020-12-31,USD,16868657,16799799,16737109,16737109,None,None,68858,None,None,None,None,None,None,None,None,62690,68858,1176666,1176666,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-32185159,11453,11453465
MNPR,2020-09-30,USD,18156080,18087222,17982672,17982672,None,None,68858,None,None,None,None,None,None,None,None,104550,68858,664468,609840,None,None,67772,67772,54628,None,122400,67772,54628,122400,None,None,17491612,None,-30056711,11452,11452177
MNPR,2020-06-30,USD,12802655,12729605,12546189,12546189,None,None,73050,None,None,None,None,None,None,None,None,183416,73050,648148,573127,None,None,47379,47379,75021,None,122400,47379,75021,122400,None,None,12154507,None,-28417273,10736,10735973
MNPR,2020-03-31,USD,12838937,12716556,12592362,12592362,None,None,122381,None,None,None,None,None,None,None,None,124194,122381,443520,443520,None,None,None,None,None,None,None,None,None,None,None,None,12395417,None,-26971463,10622,10622823
MNPR,2019-12-31,USD,13352021,13229640,13213929,13213929,None,None,122381,None,None,None,None,None,None,None,None,15711,122381,724165,724165,None,None,None,None,None,None,None,None,None,None,None,None,12627856,None,-25880586,10587,10587632
MNPR,2019-09-30,USD,5108621,5108621,4494540,4494540,None,None,None,None,None,None,None,None,None,None,None,84878,None,0,483666,None,None,None,None,None,None,None,None,None,None,None,None,4624955,None,-24673727,9291,9291421
MNPR,2019-06-30,USD,5595090,5595090,5129828,5129828,None,None,None,None,None,None,None,None,None,None,None,94149,None,0,468272,None,None,None,None,None,None,None,None,None,None,None,None,5126818,None,-23937647,9291,9291421
MNPR,2019-03-31,USD,6353804,6353804,5881064,5881064,None,None,None,None,None,None,None,None,None,None,None,472740,None,0,579986,None,None,None,None,None,None,None,None,None,None,None,None,5773820,None,-23031950,9291,9291421
MNPR,2018-12-31,USD,7317955,7252224,6892772,6892772,None,None,None,None,None,None,None,None,None,None,None,75973,None,399551,399551,None,None,None,None,None,None,None,None,None,None,None,None,6918404,None,-21655712,9291,9291421
MNPR,2018-09-30,USD,7887777,7887777,7618265,7618265,None,None,None,None,None,None,None,None,None,None,None,269510,None,0,311893,None,None,None,None,None,None,None,None,None,None,None,None,7575880,None,None,9291,9291421
MNPR,2018-06-30,USD,8446693,7646662,7418610,7418610,None,None,None,None,None,None,None,None,None,None,None,None,None,131358,323063,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9291,9291421
MNPR,2018-03-31,USD,9148176,8348145,8173045,8173045,None,None,None,None,None,None,None,None,None,None,None,None,None,290597,290597,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9291,9291421
MNPR,2017-12-31,USD,9931267,9131236,8981894,8981894,None,None,None,None,None,None,None,None,None,None,None,None,None,311867,311867,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9291,9291421
