SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
MON,2018-02-28,USD,22687000000,10056000000,2409000000,2409000000,4015000000,None,6109000000,6109000000,None,977000000,977000000,4100000000,None,58000000,None,5475000000,892000000,14921000000,7149000000,None,None,None,1212000000,7559000000,None,6635000000,1225000000,None,7847000000,4362000000,671000000,7754000000,-15053000000,13290000000,6000000,None
MON,2017-11-30,USD,23136000000,10560000000,3102000000,3102000000,4033000000,None,12576000000,5959000000,None,999000000,999000000,4082000000,None,56000000,None,323000000,946000000,16521000000,8258000000,None,None,None,1168000000,8041000000,None,6949000000,1243000000,None,8117000000,5854000000,691000000,6601000000,-15053000000,12241000000,6000000,None
MON,2017-08-31,USD,21322000000,8653000000,1856000000,1856000000,3340000000,None,12682000000,5930000000,-6301000000,1024000000,1024000000,4088000000,None,121000000,8000000,459000000,955000000,14864000000,6415000000,None,None,None,64000000,8259000000,None,7254000000,976000000,None,7295000000,1669000000,699000000,6438000000,-15053000000,12072000000,6000000,None
MON,2017-05-31,USD,21758000000,10018000000,1614000000,1614000000,3189000000,None,11740000000,5500000000,-6164000000,1045000000,1045000000,4032000000,None,117000000,6000000,533000000,512000000,15210000000,6958000000,None,None,None,2611000000,8039000000,None,7246000000,2648000000,None,9857000000,2985000000,647000000,6532000000,-15053000000,12527000000,6000000,None
MON,2017-02-28,USD,21373000000,9882000000,2281000000,2281000000,3621000000,None,11491000000,5335000000,-6051000000,1072000000,1072000000,4010000000,None,54000000,10000000,593000000,493000000,15819000000,7289000000,None,None,None,1611000000,8332000000,None,7560000000,1658000000,None,9171000000,4085000000,672000000,5540000000,-15053000000,11685000000,6000000,None
MON,2016-11-30,USD,20959000000,9652000000,2129000000,2129000000,3839000000,None,11307000000,5217000000,-5907000000,1078000000,1078000000,3998000000,None,39000000,60000000,511000000,488000000,16542000000,7500000000,None,None,None,570000000,8844000000,None,8047000000,664000000,None,8617000000,5727000000,676000000,4402000000,-15053000000,10792000000,6000000,None
MON,2016-08-31,USD,19688000000,8109000000,1676000000,1676000000,3241000000,None,11579000000,5231000000,-5885000000,1125000000,1125000000,4020000000,None,101000000,60000000,499000000,489000000,15143000000,6681000000,None,None,None,685000000,8262000000,None,7453000000,1710000000,None,8102000000,1969000000,706000000,4534000000,-15053000000,10763000000,6000000,None
MON,2016-05-31,USD,20345000000,9072000000,1205000000,1205000000,3370000000,None,11273000000,4994000000,-5766000000,1151000000,1151000000,4003000000,None,156000000,11000000,557000000,518000000,15231000000,6197000000,None,None,None,2557000000,8843000000,None,7948000000,2610000000,None,10505000000,2830000000,779000000,5110000000,-15053000000,11426000000,6000000,None
MON,2016-02-29,USD,19413000000,8483000000,1050000000,1050000000,3704000000,None,10930000000,4892000000,-5638000000,1182000000,1182000000,3994000000,None,35000000,12000000,430000000,591000000,15262000000,5939000000,None,None,None,1083000000,9131000000,None,7945000000,None,None,9028000000,3522000000,790000000,4152000000,-15053000000,10709000000,6000000,None
MON,2015-11-30,USD,21446000000,10467000000,2277000000,2277000000,3872000000,None,10979000000,4870000000,-5542000000,1205000000,1205000000,3985000000,None,35000000,47000000,393000000,624000000,17878000000,8501000000,None,None,None,1788000000,9185000000,None,7939000000,None,None,9727000000,5849000000,821000000,3559000000,-14603000000,10121000000,6000000,None
