SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
MSBI,2020-12-31,USD,6868540000,489154000,341640000,351064000,21362000,None,273587000,74124000,41168000,190286000,28382000,161904000,6466177000,214933000,9424000,138090000,304413000,6247149000,68957000,None,None,68957000,68957000,1077176000,11958000,218609000,None,None,287566000,5101016000,858567000,621391000,None,156327000,223000,22325471
MSBI,2020-09-30,USD,6700045000,532839000,461196000,470339000,15961000,None,276268000,74967000,39733000,191842000,29938000,161904000,6170271000,129226000,9143000,88869000,319227000,6078165000,58625000,None,None,58625000,58625000,7440000,12428000,218384000,None,None,277009000,5028736000,761535000,621880000,None,154026000,226000,22602844
MSBI,2020-06-30,USD,6644498000,561274000,519868000,528871000,12728000,None,307650000,89046000,39878000,204291000,31495000,172796000,1270383000,690458000,9003000,55487000,285928000,6010909000,77136000,None,None,77136000,77136000,11341000,15289000,218161000,None,None,295297000,4943107000,756779000,633589000,None,160051000,229000,22937296
MSBI,2020-03-31,USD,6208230000,568888000,449396000,455036000,7892000,None,310116000,90118000,38691000,205920000,33124000,172796000,1318148000,707962000,5640000,131844000,277409000,5577070000,43578000,None,None,43578000,43578000,9911000,15048000,217925000,None,None,261503000,4650640000,647938000,631160000,None,153722000,234000,23381496
MSBI,2019-12-31,USD,6087017000,416557000,394505000,400126000,6745000,None,311923000,91055000,37210000,206644000,34886000,171758000,5705897000,699559000,5621000,75649000,281609000,5425106000,82029000,None,None,82029000,82029000,11278000,15369000,224941000,None,None,306970000,4544254000,556204000,661911000,None,165920000,244000,24420345
MSBI,2019-09-30,USD,6113904000,503280000,409346000,414958000,4890000,None,316503000,93896000,35749000,207764000,36690000,171074000,1376816000,714051000,5612000,107367000,276181000,0,122294000,None,None,122294000,122294000,5391000,16353000,240854000,None,None,363148000,4445171000,637854000,655522000,None,159102000,243000,24338748
MSBI,2019-06-30,USD,5546055000,270927000,245415000,248784000,3797000,None,303616000,94824000,34383000,198566000,33893000,164673000,1273359000,656201000,3369000,37811000,263335000,0,113844000,None,None,113844000,113844000,3869000,10719000,142256000,None,None,256100000,4011207000,629536000,639888000,None,152387000,239000,23897038
MSBI,2019-03-31,USD,5641780000,296744000,276480000,279893000,2020000,None,294753000,94514000,32880000,200239000,35566000,164673000,1308891000,4133895000,3413000,33777000,262174000,0,115832000,None,None,115832000,115832000,859238000,11198000,142092000,10000000,None,257924000,4036288000,716278000,624168000,None,141906000,238000,23827438
MSBI,2018-12-31,USD,5637673000,247435000,213700000,217034000,3483000,None,298140000,94840000,31390000,202049000,37376000,164673000,703684000,4193004000,3334000,85806000,250009000,5029148000,124235000,None,None,124235000,124235000,825888000,None,141928000,None,None,266163000,4074170000,683960000,608525000,None,133781000,238000,23751798
MSBI,2018-09-30,USD,5724612000,277679000,242433000,242433000,3684000,None,298334000,95062000,29912000,203272000,39228000,164044000,682396000,4220512000,682396000,57165000,248192000,5130466000,145450000,None,None,145450000,145450000,836246000,None,141769000,None,None,287219000,4143206000,694477000,594146000,None,122745000,237000,23694637
MSBI,2018-06-30,USD,5730600000,317780000,276331000,276331000,3911000,None,299908000,94783000,31962000,205125000,41081000,164044000,704585000,4167203000,704585000,61055000,251248000,5138065000,114536000,None,None,114536000,114536000,859935000,None,141612000,935026000,None,256148000,4159857000,718323000,592535000,None,119522000,237000,23664596
