SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
MTLS,2020-12-31,EUR,327667000,160741000,111538000,111538000,10043000,None,166926000,99263000,None,32981000,32981000,20342000,None,0,None,8289000,14139000,194563000,84445000,None,None,None,None,110118000,10624000,90502000,13984000,None,None,49225000,398000,133104000,None,-12267000,4096000,54082875
MTLS,2020-09-30,EUR,320787000,162350000,110691000,110691000,10046000,None,158437000,97701000,None,28790000,28790000,18653000,None,0,None,11087000,12418000,189388000,78535000,None,None,None,15106000,110853000,9148000,93630000,15106000,None,108736000,44411000,672000,129295000,None,-5185000,3068000,53703167
MTLS,2020-06-30,EUR,330431000,177020000,125454000,125454000,11682000,None,153410000,98566000,None,24964000,24964000,19222000,None,0,None,9631000,10424000,197583000,82533000,None,None,None,14331000,115050000,9628000,97590000,14331000,None,111921000,49065000,671000,130632000,None,-4876000,3068000,39535900
MTLS,2020-03-31,EUR,341628000,187063000,127135000,127135000,12674000,None,154565000,98739000,None,26092000,26092000,19424000,None,0,None,10080000,10053000,205950000,86531000,None,None,None,13821000,119419000,9882000,100999000,13821000,None,114820000,51172000,586000,133231000,None,-3007000,3066000,53172513
MTLS,2019-12-31,EUR,349294000,191186000,128897000,128897000,12201000,None,158108000,100917000,0,27395000,27395000,20174000,None,3085000,0,9271000,27000,206620000,84045000,None,None,None,13389000,122575000,9876000,104673000,13389000,None,118062000,48689000,575000,139567000,0,-195000,3066000,53172513
MTLS,2019-09-30,EUR,347054000,188566000,131095000,131095000,11916000,None,158488000,99108000,0,25181000,25181000,23301000,None,0,0,8572000,10409000,207160000,78301000,None,None,None,15592000,128859000,0,116026000,15592000,None,131618000,17038000,1667000,136935000,0,-1517000,3050000,53000000
MTLS,2019-06-30,EUR,317534000,166715000,108865000,108865000,10031000,None,150819000,97159000,0,25828000,25828000,17491000,None,0,0,7746000,10081000,181753000,77722000,None,None,None,15814000,104031000,0,91884000,15814000,None,107698000,16872000,886000,135781000,0,-2447000,3050000,53000000
MTLS,2019-03-31,EUR,319458000,168824000,111052000,111052000,11203000,None,150634000,97120000,0,26189000,26189000,17680000,None,0,0,7172000,9388000,183081000,77561000,None,None,None,15517000,105520000,0,93638000,15517000,None,109155000,15710000,585000,136377000,0,-2152000,3050000,53000000
MTLS,2018-12-31,EUR,313225000,169319000,115506000,115506000,9157000,None,0,139657679.51,0,26326000,26326000,17491000,None,4076373.70,0,3087841.75,29000,177236000,73115000,None,None,None,13598000,0,0,133504634.16,16252672.46,None,106038000,41918281.87,0,205235831.95,0,-2789018.36,4603087.66,51000000
MTLS,2018-09-30,USD,312756000,172369000,114622000,114622000,10400000,None,0,106779347.07,0,26194000,26194000,17532000,None,0,0,12221579.07,4132000,177894000,71185000,None,None,None,14264000,0,0,108199814.77,16513081.73,None,107727000,46301227.14,0,156126418.15,0,-2749479.05,3527436.91,52000000
MTLS,2018-06-30,USD,246969000,108134000,48719000,48719000,10794000,None,0,103597532.59,0,27058000,27058000,18416000,None,0,0,11886638.73,4062000,169916000,69029000,None,None,None,12519000,0,0,99743947.86,14570530.73,None,98219000,46639897.58,0,89679934.82,0,-4926675.98,3183193.67,48000000
MTLS,2018-03-31,USD,242346000,103575000,44697000,44697000,9993000,None,None,108671423.30,None,27770000,27770000,18504000,None,0,0,7959158.57,3826000,165903000,69059000,None,None,None,12197000,None,None,101609054,15004305.57,None,94795000,48636978.72,None,94037396.97,0,-5662443.10,3364497.48,47000000
MTLS,2017-12-31,USD,237539000,99563000,43175000,43175000,10328000,None,None,104448000,None,28646000,28646000,18447000,None,31000,None,2693000,55000,160024000,64286000,None,None,None,12769000,None,None,98326000,9735000,None,94557000,38816000,None,93189000,None,-3250000,3281000,47000000
MTLS,2017-09-30,USD,180141000,94388000,48099000,48099000,8642000,None,None,74000000,None,11219000,11219000,8743000,None,None,None,8258000,2740000,104081000,50669000,None,None,None,7033000,None,None,54969000,7033000,None,53565000,33665000,None,89850000,None,-4779000,3224000,47000000
MTLS,2017-06-30,USD,176975000,97692000,53832000,53832000,8356000,None,None,66557000,None,9385000,9385000,8771000,None,69000,None,6985000,2485000,99556000,53341000,None,None,None,6587000,None,None,45811000,46733000,None,46733000,34229000,None,88343000,None,-3369000,3114000,47000000
MTLS,2017-03-31,USD,171835000,98536000,55071000,55071000,8267000,None,None,55884000,None,9468000,9468000,8897000,None,111000,None,5018000,2309000,93250000,51044000,None,None,None,6426000,None,None,37424000,41408000,None,41408000,32095000,None,84070000,None,-2417000,2919000,47000000
MTLS,2016-12-31,USD,161920000,95742000,55912000,55912000,7870000,None,None,47551000,None,9765000,9765000,8860000,None,None,None,1751000,46000,82887000,47834000,None,None,None,5539000,None,None,29827000,5539000,None,33806000,29513000,None,83396000,None,-1603000,2880000,47000000
MTLS,2016-09-30,USD,147526000,86592000,50490000,50490000,6215000,None,None,47339000,None,8482000,8482000,8850000,None,1061000,None,7579000,None,69428000,45088000,None,None,None,5734000,None,None,23242000,26416000,None,26416000,32502000,None,87767000,None,-2224000,3067000,47000000
MTLS,2016-06-30,USD,143257000,82664000,51304000,51304000,5392000,None,None,45430000,None,8801000,8801000,9023000,None,1000000,None,5980000,None,65010000,43087000,None,None,None,4520000,None,None,20075000,23000000,None,22717000,31620000,None,86322000,None,-2000000,3011000,47000000
MTLS,2016-03-31,USD,140452000,82740000,49435000,49435000,5172000,None,None,43399000,None,9059000,9059000,9269000,None,None,None,5674000,None,61424000,40470000,None,None,None,4137000,None,None,18913000,None,None,20742000,31172000,None,90013000,None,None,3108000,47000000
MTLS,2015-12-31,USD,144136000,83949000,50726000,50726000,5387000,None,None,41699000,None,9657000,9657000,9664000,None,1018000,None,5422000,None,61181000,40170000,None,None,None,4482000,None,None,18034000,4482000,None,21089000,27929000,None,90081000,None,2310000,2963000,48000000
