SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
MWA,2020-12-31,USD,1397500000,577900000,220800000,220800000,167200000,165400000,848600000,261400000,304500000,504900000,403800000,101100000,None,None,None,30300000,53300000,742300000,136300000,58200000,5100000,1100000,1100000,544100000,26800000,452400000,1100000,446600000,452400000,5400000,60200000,655200000,None,-697600000,1600000,158315601
MWA,2020-09-30,USD,1395000000,581200000,208900000,208900000,162500000,185400000,843300000,253800000,296500000,508700000,408900000,99800000,None,None,None,29000000,51300000,754300000,155000000,67300000,5600000,1100000,1100000,540100000,1400000,452500000,1100000,446500000,452500000,4800000,56300000,640700000,None,-714200000,1600000,158064750
MWA,2020-06-30,USD,1340600000,534400000,170700000,170700000,180300000,160000000,841900000,244900000,289300000,510100000,413700000,96400000,None,None,None,28100000,51200000,730900000,145000000,59000000,5400000,2400000,1200000,536300000,1600000,452800000,1200000,446400000,452800000,3800000,49600000,609700000,None,-740900000,1600000,157762860
MWA,2020-03-31,USD,1328200000,518900000,111300000,111300000,204100000,186100000,840300000,239000000,282000000,518400000,420700000,97700000,None,None,None,22900000,51900000,721700000,134200000,65700000,4100000,6600000,1100000,539600000,1500000,452600000,1100000,446200000,452600000,5200000,51700000,606500000,None,-752100000,1600000,157707895
MWA,2019-12-31,USD,1309000000,507500000,136800000,136800000,212900000,140400000,830700000,224500000,275300000,525500000,428000000,97500000,None,None,None,25700000,51500000,714000000,123400000,58600000,4400000,6200000,900000,526700000,1100000,452000000,900000,445500000,452000000,19400000,55600000,595000000,None,-775900000,1600000,157889045
MWA,2019-09-30,USD,1337300000,566900000,176700000,176700000,191400000,177300000,772200000,217100000,267900000,529400000,433700000,95700000,None,None,None,26000000,23900000,745000000,178500000,84600000,4700000,900000,900000,502700000,None,452100000,900000,445400000,452100000,5000000,33200000,590100000,None,-786200000,1600000,157462140
MWA,2019-06-30,USD,1293300000,540800000,140700000,140700000,197200000,185400000,752500000,191000000,267100000,527100000,439200000,87900000,None,None,None,34500000,34400000,726300000,171900000,70100000,3700000,900000,900000,471000000,None,452200000,900000,445300000,452200000,11600000,25700000,565000000,None,-826400000,1600000,159000000
MWA,2019-03-31,USD,1280200000,535100000,134300000,134300000,205900000,181500000,47700000,176000000,260700000,534800000,450300000,84500000,None,None,None,27600000,34300000,731400000,174300000,69100000,4000000,800000,800000,557100000,None,451900000,800000,444900000,451900000,15100000,27900000,546900000,None,-860100000,1600000,159000000
MWA,2018-12-31,USD,1259100000,529700000,198800000,198800000,194900000,121800000,729400000,168100000,254100000,526100000,412600000,113500000,None,None,None,20900000,35200000,720200000,168500000,63500000,3900000,800000,800000,551700000,None,452000000,800000,444800000,452000000,13600000,28500000,537200000,None,-871000000,1600000,159000000
MWA,2018-09-30,USD,1291900000,685500000,347100000,347100000,156600000,164300000,12100000,150900000,244000000,420200000,408100000,12100000,None,None,None,17500000,35300000,727100000,167100000,90000000,3300000,700000,700000,481700000,None,451600000,700000,444300000,451600000,8000000,36500000,563300000,None,-850000000,1600000,157332121
MWA,2018-06-30,USD,1233300000,653600000,331500000,331500000,156100000,149300000,579700000,129000000,239400000,424600000,424600000,None,None,None,None,20200000,26100000,695200000,127400000,63800000,None,800000,800000,567800000,None,451900000,800000,444500000,451900000,62800000,46400000,536800000,None,-875000000,1600000,159000000
MWA,2018-03-31,USD,1234300000,653700000,323900000,323900000,156200000,159500000,582100000,124000000,234800000,429100000,429100000,None,None,1500000,None,21200000,27500000,702500000,113700000,58300000,None,5600000,5600000,588800000,None,484200000,5600000,473400000,484200000,49800000,37200000,530600000,None,-890300000,1600000,159000000
MWA,2017-12-31,USD,1220200000,637400000,348300000,348300000,155200000,119300000,582800000,122300000,229800000,434600000,434600000,None,None,None,None,26500000,25900000,685900000,103000000,51300000,None,5600000,5600000,583100000,None,485400000,5600000,474300000,485400000,46100000,32400000,533300000,None,-900500000,1600000,160000000
MWA,2017-09-30,USD,1258300000,670300000,361700000,361700000,138900000,145300000,588000000,122300000,228100000,439300000,439300000,12900000,None,None,None,24400000,26400000,768800000,141600000,82500000,None,5600000,5600000,512100000,None,486500000,5600000,475000000,486500000,7300000,37100000,488400000,None,-955600000,1600000,158590383
MWA,2017-06-30,USD,1234200000,655000000,353200000,353200000,141100000,140700000,579200000,110100000,223800000,442000000,442000000,None,None,None,None,20000000,27100000,771900000,111100000,58700000,None,5500000,5500000,660800000,None,487500000,5500000,475700000,487500000,46900000,86100000,461200000,None,-974900000,1600000,158514187
MWA,2017-03-31,USD,1209400000,627600000,353200000,353200000,146100000,139700000,581800000,107700000,219500000,447000000,447000000,None,None,None,None,13500000,27100000,762500000,100900000,55500000,None,5500000,5500000,662300000,None,488400000,5500000,476300000,488400000,39900000,86600000,445800000,None,-998900000,1600000,163000000
