SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
NORD,2017-05-31,USD,2285800000,427000000,265900000,265900000,3300000,None,None,337900000,None,1367800000,1367800000,None,None,None,None,157400000,None,1924500000,568600000,None,None,None,1178000000,None,None,1120000000,1178000000,None,None,321900000,None,355500000,None,-284000000,1000000,None
NORD,2017-02-28,USD,2157200000,345000000,225700000,225700000,3300000,None,None,325800000,None,1333600000,1333600000,None,None,None,None,116400000,None,1838600000,485700000,None,None,None,1154000000,None,None,1111300000,1154000000,None,None,292900000,None,313400000,None,-298000000,1000000,None
NORD,2016-11-30,USD,2272300000,460000000,287100000,287100000,3400000,None,None,325600000,None,1331900000,1331900000,None,None,None,None,169300000,None,1984800000,630500000,None,None,None,1167000000,None,None,1111100000,1167000000,None,None,437000000,None,282800000,None,-322000000,1000000,None
NORD,2016-08-31,USD,2368100000,522100000,371900000,371900000,4300000,None,None,328500000,None,1365400000,1365400000,1036000000,None,42500000,None,39000000,None,2076200000,701200000,None,None,None,5000000,None,None,1121500000,5000000,None,None,662100000,None,286500000,None,-365700000,1000000,None
NORD,2016-05-31,USD,2394400000,604000000,376600000,376600000,4000000,None,None,299300000,None,1374100000,1374100000,1036000000,None,1000000,None,227100000,None,2083200000,736000000,None,None,None,1252000000,None,None,1100800000,1252000000,None,None,383600000,None,306400000,None,-357000000,1000000,None
NORD,2016-02-29,USD,2275800000,None,226000000,226000000,None,None,None,453600000,None,1383500000,1383500000,None,None,None,None,98800000,None,1971600000,633200000,None,None,None,None,None,None,1099500000,None,None,None,310500000,None,299900000,None,None,1000000,None
NORD,2015-11-30,USD,2344300000,None,246800000,246800000,None,None,None,449900000,None,1386900000,1386900000,None,None,None,None,148500000,None,2055600000,721400000,None,None,None,None,None,None,1093300000,None,None,None,428900000,None,284800000,None,None,1000000,None
NORD,2015-08-31,USD,2423300000,450000000,317000000,317000000,4500000,None,None,449700000,None,1415500000,1415500000,1067500000,None,37900000,None,29800000,None,2144000000,794600000,None,None,None,98300000,None,None,1110900000,98300000,None,None,658400000,None,275400000,None,-415200000,1000000,None
NORD,2015-05-31,USD,1346800000,None,142600000,142600000,None,None,None,148400000,None,948800000,948800000,None,None,None,None,52500000,None,1102200000,293000000,None,None,None,None,None,None,640100000,None,None,None,300000,None,244100000,None,None,1000000,None
NORD,2015-02-28,USD,1304700000,None,97300000,97300000,None,None,None,149000000,None,951500000,951500000,None,None,None,None,55900000,None,1100700000,436900000,None,None,None,None,None,None,497100000,None,None,None,700000,None,204000000,None,None,1000000,None
NORD,2014-11-30,USD,1153900000,None,131700000,131700000,None,None,None,142400000,None,787100000,787100000,None,None,None,None,62500000,None,954100000,344400000,None,None,None,None,None,None,498500000,None,None,None,400000,None,199800000,None,None,1000000,None
NORD,2014-09-01,USD,1234800000,353300000,166200000,166200000,2400000,None,None,140100000,None,801500000,801500000,652300000,None,9700000,None,15600000,None,1040700000,413100000,None,None,None,113400000,None,None,499200000,113400000,None,None,375800000,None,194100000,None,-413200000,1000000,None
NORD,2014-05-31,USD,1120000000,None,138200000,138200000,None,None,None,115700000,None,778900000,778900000,None,None,None,None,None,None,895700000,285100000,None,None,None,None,None,None,500100000,None,None,None,200000,None,224300000,None,None,1000000,None
NORD,2014-02-28,USD,1047000000,None,102900000,102900000,None,None,None,99100000,None,756500000,756500000,None,None,None,None,None,None,1005800000,285100000,None,None,None,None,None,None,627000000,None,None,None,3500000,None,41200000,None,None,2300000,None
NORD,2013-11-30,USD,1094600000,216900000,131400000,131400000,None,None,None,96600000,None,758700000,758700000,636100000,None,8700000,None,None,None,1066800000,366500000,None,None,None,32100000,None,None,626200000,32100000,None,None,800000,None,27800000,None,-316500000,2300000,None
NORD,2013-09-01,USD,1126000000,307000000,171100000,171100000,2000000,None,None,90500000,None,753700000,753700000,630800000,None,1000000,None,16900000,None,1106000000,398700000,None,None,None,713000000,None,None,630400000,713000000,None,None,351600000,None,20000000,None,-321000000,2300000,None
NORD,2012-11-30,USD,660400000,148300000,94900000,94900000,None,None,None,39000000,None,464100000,464100000,None,None,3100000,None,None,None,597800000,239400000,None,None,None,38900000,None,None,316800000,38900000,None,None,1400000,None,62600000,None,-276400000,67500000,None
NORD,2012-08-31,USD,666800000,None,108500000,108500000,None,None,None,36100000,None,455100000,455100000,398600000,None,None,None,10500000,None,623000000,254300000,None,None,None,None,None,None,318900000,None,None,None,222900000,None,43800000,None,None,2300000,None
