SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
NOW,2020-12-31,USD,8715057000,4521842000,1676794000,3092036000,None,1009415000,4221215000,659641000,631998000,394131000,153367000,240764000,2911248000,1496006000,1415242000,420391000,100040000,5880576000,3737144000,34236000,3007925000,None,160972000,2143432000,495015000,1640153000,None,1640153000,1801125000,3034815000,35154000,2834481000,None,-233741000,196000,195844000
NOW,2020-09-30,USD,7705459000,3966881000,1348294000,2951611000,None,631055000,3765578000,564007000,582897000,387775000,155826000,231949000,2890268000,1286951000,1603317000,384215000,73791000,5031743000,2835947000,51456000,2312018000,None,None,2195796000,497595000,1705533000,None,1705533000,3308850000,2342203000,22853000,2673716000,None,-250389000,195000,195100000
NOW,2020-06-30,USD,6521309000,3337122000,837309000,2342671000,None,631992000,3211187000,547253000,532575000,375273000,163857000,211416000,2309169000,803807000,1505362000,362459000,71795000,4042503000,2848871000,85757000,2282118000,None,None,1193632000,502241000,696123000,None,696123000,2201485000,2316461000,29611000,2478806000,None,-263247000,191000,191800000
NOW,2020-03-31,USD,6197416000,2805861000,808725000,1858705000,None,615234000,2364358000,470969000,485191000,378654000,171049000,207605000,2151318000,1101338000,1049980000,331922000,73670000,3931321000,2721061000,73904000,None,None,None,769322000,501833000,701288000,None,701288000,1751268000,2276160000,27557000,2266095000,None,-304013000,190000,190700000
NOW,2019-12-31,USD,6022430000,2826901000,775778000,1691095000,None,835279000,3217529000,468085000,457366000,300606000,143850000,156756000,1950649000,1035332000,915317000,300527000,77997000,3894489000,2752785000,52960000,None,None,52668000,1141704000,435889000,694981000,None,694981000,1610298000,2185754000,23464000,2127941000,None,-352244000,189000,189461000
NOW,2019-09-30,USD,4756808000,2297213000,622925000,622925000,None,539416000,2075571000,400858000,428471000,266849000,112947000,153902000,1871061000,1022913000,848148000,286724000,91865000,3327335000,2192561000,61906000,None,None,None,746291000,437814000,686516000,None,686516000,1534664000,1810863000,18489000,1429473000,None,-950968000,189000,188600000
NOW,2019-06-30,USD,4602703000,2442287000,583581000,583581000,None,503376000,1783866000,364007000,405846000,274071000,121599000,152472000,1837919000,768116000,1069803000,285527000,90240000,3341757000,2224979000,65711000,None,None,46132000,733966000,428944000,678145000,46132000,678145000,1747948000,1798352000,18662000,1260946000,None,-991566000,188000,187461809
NOW,2019-03-31,USD,4398895000,2374486000,639722000,639722000,None,422559000,1645748000,350651000,374511000,244436000,93252000,151184000,1711924000,689533000,1022391000,289814000,78004000,3203944000,2097841000,38668000,None,None,41952000,725159000,422896000,669875000,41952000,669875000,1692266000,1753012000,18562000,1194951000,None,-980487000,185000,184739169
NOW,2018-12-31,USD,3879140000,2344693000,566204000,566204000,None,574810000,148845000,347216000,338613000,249427000,100582000,148845000,1528174000,596456000,931718000,271961000,52816000,2767941000,2012573000,30733000,None,None,None,755368000,None,661707000,None,661707000,1593425000,1651594000,55064000,1111199000,None,-978780000,180000,180175355
NOW,2018-09-30,USD,3581442000,2292185000,703629000,703629000,None,424698000,1302557000,297371000,313930000,227139000,84006000,143133000,1393272000,470861000,922411000,241447000,59505000,2561258000,1818957000,43223000,None,None,160972000,742301000,None,653638000,160972000,653638000,814610000,1363217000,47419000,1020184000,None,-985795000,179000,179305339
NOW,2018-06-30,USD,3472884000,2351629000,704846000,704846000,None,367598000,9676000000,286953000,284257000,230733000,87726000,143007000,1354241000,309429000,1044812000,234373000,59417000,2581174000,1837041000,30656000,None,None,211463000,744133000,None,645668000,211463000,645668000,857131000,1320928000,54076000,891710000,None,-994200000,178000,177945946
NOW,2018-03-31,USD,3704485000,2489926000,682854000,682854000,None,371008000,1670568000,267454000,262213000,211238000,82553000,128685000,1619941000,456009000,1203105000,232959000,50943000,2839322000,2098016000,37715000,None,None,516925000,741306000,None,637795000,516925000,637795000,1154720000,1292638000,53267000,865163000,None,-941454000,177000,176562963
NOW,2017-12-31,USD,3550245000,2421951000,726495000,726495000,None,434895000,128761000,245124000,235113000,215644000,86916000,128728000,1428328000,396242000,1052803000,196371000,51832000,2771501000,2039479000,32109000,None,None,543418000,732022000,None,630018000,543418000,630018000,1173436000,1280499000,65884000,584132000,None,-1146520000,174000,174275864
NOW,2017-09-30,USD,3069515000,2127492000,1104871000,1104871000,None,291903000,1371881000,231304000,211537000,177067000,68970000,108097000,996884000,429858000,567026000,163692000,39753000,2518124000,1280651000,20752000,None,None,1156629000,1237473000,None,1156629000,1156629000,1156629000,1723655000,1082346000,38546000,551391000,None,-1118713000,173000,172706935
