SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
NVGS,2020-12-31,USD,1839408000,136538000,59271000,59271000,8428000,None,1702870000,1551891000,None,None,None,None,None,148665000,None,None,None,897013000,107223000,None,None,None,None,789790000,6508000,720332000,65663000,None,None,11833000,None,940540000,None,346972000,559000,55893618
NVGS,2020-09-30,USD,1846655000,130096000,60996000,60996000,9665000,None,1716683000,1568184000,None,None,None,None,None,145956000,None,1100000,None,908420000,115174000,None,None,None,62535000,793370000,6477000,714014000,62535000,None,776549000,16320000,None,936785000,None,343606000,559000,55903672
NVGS,2020-06-30,USD,1846801000,125638000,53050000,53050000,9155000,None,1721055000,1582043000,None,None,None,None,None,135310000,None,8170000,None,910851000,220191000,None,None,None,72107000,789642000,6510000,706584000,72107000,None,778691000,16851000,None,934946000,None,342261000,559000,55905294
NVGS,2020-03-31,USD,1854677000,124184000,50235000,50235000,10705000,None,1730493000,1599608000,None,None,None,None,None,127974000,None,1200000,None,922394000,211698000,None,None,None,163728000,710696000,6828000,618585000,163728000,None,782313000,14925000,None,931762000,None,339253000,559000,55907438
NVGS,2019-12-31,USD,1874253000,126126000,66130000,66130000,9645000,None,1748127000,1617467000,None,None,None,None,None,130660000,None,1500000,1748127000,934351000,109506000,None,None,None,64703000,824845000,7507000,744692000,64703000,None,809395000,14154000,None,939803000,None,347566000,558000,55826644
NVGS,2019-09-30,USD,1864504000,112796000,56951000,56951000,8446000,None,1751708000,1634052000,None,None,None,None,None,117656000,None,400000,1751708000,922314000,108788000,None,None,None,67779000,813526000,7297000,798627000,67779000,None,866406000,13309000,None,942190000,None,350369000,558000,56000000
NVGS,2019-06-30,USD,1847025000,104992000,47285000,47285000,10249000,None,1742033000,1648219000,None,None,None,None,None,93814000,None,600000,1742033000,902324000,106991000,None,None,None,67827000,795333000,7789000,785150000,67827000,None,852977000,6842000,None,944701000,None,353282000,558000,56000000
NVGS,2019-03-31,USD,1848981000,111534000,53895000,53895000,11495000,None,1737447000,1662638000,None,None,None,None,None,74809000,None,1400000,7550000,896966000,104214000,None,None,None,67712000,792752000,8184000,781310000,67712000,None,849022000,1113000,7071000,952015000,None,361015000,558000,56000000
NVGS,2018-12-31,USD,1832751000,118125000,71515000,71515000,8789000,None,None,1672164000,None,None,None,None,None,42462000,None,1500000,None,877641000,105394000,None,None,None,68857000,None,None,772247000,68857000,None,835950000,8342000,None,955110000,None,364408000,557000,56000000
NVGS,2018-09-30,USD,1813295000,97927000,50458000,50458000,10550000,None,None,1689374000,None,None,None,None,None,25994000,None,300000,None,854518000,103675000,None,None,None,70261000,None,None,750843000,70261000,None,821104000,7708000,None,958777000,None,368307000,557000,56000000
NVGS,2018-06-30,USD,1813515000,96679000,55096000,55096000,7122000,None,None,1706361000,None,None,None,None,None,10475000,None,1300000,None,855817000,105971000,None,None,None,73274000,None,None,749846000,73274000,None,823120000,4963000,None,957698000,None,367684000,557000,56000000
