SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
OCIP,2018-03-31,USD,645739000,100936000,48591000,48591000,2524000,43493000,544803000,543335000,242273000,None,None,None,None,None,None,4823000,1468000,498761000,52718000,16348000,None,4550000,5965000,446043000,None,442915000,4550000,442915000,None,2015000,3128000,146978000,None,None,None,None
OCIP,2017-12-31,USD,624104000,64956000,16275000,16275000,6041000,32220000,559148000,558206000,227050000,None,None,None,None,None,None,3917000,942000,483783000,57209000,14812000,None,4480000,20457000,226574000,None,15977000,4480000,223428000,479627000,1150000,3146000,140321000,None,None,None,None
OCIP,2017-09-30,USD,625778000,49895000,4746000,4746000,11586000,28802000,575883000,574883000,212647000,None,None,None,None,None,None,4107000,1000000,491181000,64118000,12279000,None,4480000,32209000,227063000,None,464770000,4480000,223995000,464770000,2042000,3068000,134597000,None,None,None,None
OCIP,2017-06-30,USD,637912000,46781000,7383000,7383000,12753000,25047000,591131000,590072000,197475000,None,None,None,None,None,None,1183000,1059000,492352000,64786000,19471000,None,4480000,26020000,227566000,None,465890000,4480000,224574000,465890000,1996000,2992000,145560000,None,None,None,None
OCIP,2017-03-31,USD,667920000,61522000,17175000,17175000,8544000,32922000,606398000,605222000,182193000,None,None,None,None,None,None,2064000,1176000,500925000,72861000,14650000,None,4480000,37788000,228064000,None,467010000,4480000,225149000,467010000,3269000,2915000,333990000,None,None,None,None
OCIP,2016-12-31,USD,663742000,42352000,8080000,8080000,7543000,22695000,621390000,620214000,166948000,None,None,None,None,None,None,2712000,1176000,510491000,82154000,20557000,None,4480000,4480000,228337000,None,472610000,4480000,225748000,472610000,1942000,2589000,153251000,None,None,None,None
OCIP,2016-09-30,USD,680387000,43867000,11195000,11195000,4877000,23114000,636520000,635481000,151698000,None,None,None,None,None,None,4308000,1039000,509782000,88101000,22488000,None,4480000,8951000,421681000,None,873730000,4480000,419310000,873730000,3876000,2371000,170605000,None,None,None,None
OCIP,2016-06-30,USD,683188000,34285000,8560000,8560000,4088000,16265000,648903000,647814000,136453000,None,None,None,None,None,None,4801000,1089000,500885000,79690000,17595000,None,4480000,35057000,421195000,None,899828000,4480000,419380000,899828000,3940000,1815000,182303000,None,None,None,None
OCIP,2016-03-31,USD,718400000,56536000,26507000,26507000,4162000,22124000,661893000,660725000,120950000,None,None,None,None,None,None,2734000,1139000,515430000,94010000,13113000,None,4480000,31955000,421420000,None,875970000,4480000,419483000,875970000,4000000,1937000,202970000,None,None,None,None
OCIP,2015-12-31,USD,733610000,57723000,13238000,13238000,5974000,28610000,675887000,674699000,105769000,None,None,None,None,None,None,4721000,1188000,496747000,74228000,19363000,None,4480000,4480000,422519000,None,24928000,4480000,420785000,881570000,4975000,1734000,236863000,None,None,None,None
OCIP,2015-10-16,USD,64000,None,None,None,None,None,64000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
