SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
OCUL,2020-12-31,USD,261863000,246160000,228057000,228057000,1201000,12252000,15703000,8095000,None,None,None,None,None,None,None,4650000,7608000,185768000,26664000,2709000,None,8290000,8290000,159104000,8906000,49533000,8290000,41243000,49533000,1358000,19548000,76095000,None,-539251000,8000,75996732
OCUL,2020-09-30,USD,98219000,81903000,70642000,70642000,1154000,7779000,16316000,8490000,None,None,None,None,None,None,None,2328000,1764000,102345000,22906000,3238000,None,6206000,6206000,79439000,9206000,48972000,6206000,42766000,48972000,1297000,7909000,-4126000,None,-453639000,6000,63070980
OCUL,2020-06-30,USD,107260000,90293000,84294000,84294000,1067000,2874000,16967000,8934000,None,None,None,None,None,None,None,2058000,1764000,101916000,13803000,2650000,None,5384000,4146000,88113000,9494000,51468000,4146000,47322000,51468000,1238000,8256000,5344000,None,-441695000,6000,62953793
OCUL,2020-03-31,USD,72857000,55153000,48152000,48152000,1107000,3429000,17704000,9473000,None,None,None,None,None,None,None,2465000,1764000,83516000,11112000,2839000,None,3255000,2074000,72404000,9771000,50360000,2074000,48286000,50360000,1181000,8590000,-10659000,None,-405127000,5000,53037703
OCUL,2019-12-31,USD,78740000,60170000,54437000,54437000,954000,2548000,18570000,10151000,None,None,None,None,None,None,None,2231000,1764000,82370000,12029000,3268000,None,1126000,None,70341000,10031000,49312000,1126000,49312000,49312000,1126000,8905000,-3630000,None,-383615000,5000,50333559
OCUL,2019-09-30,USD,67178000,65414000,65414000,65414000,895000,1114000,1764000,10474000,None,None,None,None,None,None,None,2213000,1764000,0,11005000,3461000,None,None,None,57198000,10279000,48098000,None,48098000,48098000,1073000,9206000,11301000,None,-357598000,5000,48079615
OCUL,2019-06-30,USD,68529000,61765000,61765000,61765000,762000,615000,6764000,10532000,None,None,None,None,None,None,None,2294000,6764000,0,10127000,4044000,None,None,None,61864000,10517000,48796000,None,48796000,48796000,1024000,9493000,8258000,None,-338820000,4000,44101583
OCUL,2019-03-31,USD,82865000,76251000,76251000,76251000,265000,276000,6614000,10548000,None,None,None,None,None,None,None,2380000,6614000,0,8614000,3902000,None,None,675000,59319000,8584000,47857000,675000,47857000,47857000,675000,7909000,25648000,None,-314367000,4000,42836978
OCUL,2018-12-31,USD,73043000,56193000,54062000,54062000,217000,201000,6614000,10236000,None,None,None,None,None,None,None,1713000,6614000,37168000,9159000,2965000,None,None,None,28009000,None,24788000,None,24788000,49571000,None,None,35875000,None,-297243000,4000,41518091
OCUL,2018-09-30,USD,70270000,58274000,56861000,56861000,102000,240000,1614000,10382000,None,None,None,None,None,None,None,1071000,1614000,24753000,13406000,2777000,None,None,6094000,11347000,None,14167000,6094000,8073000,14167000,138000,None,45517000,None,-279844000,4000,40524335
OCUL,2018-06-30,USD,70459000,58472000,56834000,56834000,131000,285000,1614000,10373000,None,None,None,None,None,None,None,1222000,1614000,24730000,11899000,2137000,None,None,6082000,12831000,None,15630000,6082000,9548000,15630000,368000,None,45729000,None,-264834000,4000,38476937
OCUL,2018-03-31,USD,76685000,64476000,62911000,62911000,139000,170000,1614000,10595000,None,None,None,None,None,None,None,1256000,1614000,27501000,13151000,3477000,None,None,6071000,14350000,None,17085000,6071000,11014000,17085000,659000,None,49184000,None,-251030000,4000,37280054
OCUL,2017-12-31,USD,55431000,43339000,41538000,41538000,122000,226000,1614000,10478000,None,None,None,None,None,None,None,1453000,1614000,29284000,13426000,3571000,None,None,5545000,15858000,None,35811000,5545000,12471000,18016000,4310000,None,26147000,None,-237265000,3000,29658202
OCUL,2017-09-30,USD,64399000,52453000,51165000,51165000,127000,278000,1728000,10218000,None,None,None,None,None,None,None,883000,1728000,28477000,10945000,2599000,None,None,3993000,17532000,None,18000000,3993000,13924000,18000000,4353000,None,35922000,None,-224163000,3000,29388131
OCUL,2017-06-30,USD,79675000,68328000,63049000,63049000,90000,211000,1728000,9619000,None,None,None,None,3000000,None,3000000,1978000,1728000,31650000,13130000,6307000,None,None,2444000,18520000,None,17818000,17818000,15374000,17818000,4379000,None,48025000,None,-208596000,3000,29055460
OCUL,2017-03-31,USD,90697000,83276000,54682000,54682000,96000,244000,1728000,5693000,None,None,None,None,25697000,None,25697000,2557000,1728000,26792000,8656000,3754000,None,None,897000,18136000,None,17718000,897000,16821000,17718000,4005000,None,63905000,None,-189902000,3000,28934454
OCUL,2016-12-31,USD,74939000,69898000,32936000,32936000,113000,250000,1728000,3313000,None,None,None,None,35209000,None,35209000,1390000,1728000,22931000,8300000,2116000,None,None,1549000,14631000,None,15643000,1549000,14094000,15643000,4635000,None,52008000,None,-173879000,3000,25024100
OCUL,2016-09-30,USD,82347000,76824000,52234000,52234000,126000,243000,5523000,3795000,None,None,None,None,23513000,None,23513000,708000,1728000,20053000,8243000,1680000,None,None,3772000,11810000,None,15550000,3772000,11778000,15550000,2791000,None,62294000,None,-161057000,2000,24879887
OCUL,2016-06-30,USD,89901000,84974000,48170000,48170000,149000,223000,4927000,3199000,None,None,None,None,35717000,None,35717000,715000,1728000,19453000,6419000,1611000,None,None,2466000,13034000,None,15458000,2466000,12992000,15458000,2342000,None,70448000,None,-151461000,2000,24821530
OCUL,2016-03-31,USD,100432000,97097000,46212000,46212000,127000,227000,3335000,3107000,None,None,None,None,49244000,None,49244000,1287000,228000,20262000,6003000,2063000,None,None,1161000,14259000,None,15365000,None,14204000,15365000,2779000,None,80170000,None,-140016000,2000,24758786
