SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
ONTX,2020-12-31,USD,19986000,19784000,19025000,19025000,90000,37000,202000,52000,18000000,None,None,None,None,None,None,180000,150000,13811000,10021000,4833000,3695000,None,None,3469000,None,None,None,None,None,226000,None,6175000,None,-428556000,1859000,185943267
ONTX,2020-09-30,USD,25207000,25001000,24198000,24198000,94000,46000,206000,56000,2242000,None,None,None,None,None,None,197000,150000,12992000,9290000,5725000,3752000,None,None,3526000,None,None,None,None,None,226000,3702000,12215000,None,-422127000,1845000,184548267
ONTX,2020-06-30,USD,28199000,27989000,27228000,27228000,70000,41000,210000,60000,2238000,None,None,None,None,None,None,312000,150000,12566000,8751000,5148000,3809000,None,None,3583000,None,None,None,None,None,226000,3815000,15633000,None,-415886000,1742000,174177448
ONTX,2020-03-31,USD,32073000,31876000,31036000,31036000,39000,45000,197000,47000,2236000,None,None,None,None,None,None,222000,150000,10725000,6910000,4183000,3865000,None,None,3639000,None,None,None,None,None,226000,3815000,21348000,None,-408491000,1674000,167416070
ONTX,2019-12-31,USD,23674000,23474000,22726000,22726000,25000,98000,200000,50000,2233000,None,None,None,None,None,None,140000,150000,12100000,8292000,4271000,3921000,None,None,3695000,None,None,None,None,None,226000,3808000,11574000,None,-403399000,1112000,111167352
ONTX,2019-09-30,USD,6005000,5801000,4821000,4821000,29000,23000,204000,54000,2230000,None,None,None,None,None,None,89000,150000,12046000,8198000,4524000,3978000,None,None,3752000,None,None,None,None,None,226000,3848000,-6041000,None,-397652000,82000,8197462
ONTX,2019-06-30,USD,8580000,8429000,5882000,5882000,33000,1714000,151000,1000,2227000,None,None,None,None,None,None,91000,150000,13126000,8746000,4750000,None,None,None,3809000,None,None,None,None,None,226000,4380000,-4546000,None,-393057000,60000,6000000
ONTX,2019-03-31,USD,11341000,11190000,10396000,10396000,73000,35000,151000,1000,2227000,None,None,None,None,None,None,102000,150000,12877000,8409000,4334000,None,None,None,3865000,None,None,None,None,None,226000,4468000,-1536000,None,-389496000,59000,5895004
ONTX,2018-12-31,USD,17923000,17765000,16970000,16970000,111000,35000,158000,9000,2219000,None,None,None,None,None,None,68000,149000,12536000,8438000,4039000,None,None,None,3922000,None,None,None,None,None,226000,4098000,5387000,None,-381896000,57000,5674220
ONTX,2018-09-30,USD,23136000,23104000,22384000,22384000,81000,24000,32000,20000,2208000,None,None,None,None,None,None,103000,12000,12276000,8207000,4264000,None,None,None,4069000,None,None,None,None,None,455000,4069000,10860000,None,-376245000,57000,5674220
ONTX,2018-06-30,USD,30203000,30157000,29540000,29540000,69000,72000,46000,34000,2194000,None,None,None,None,None,None,83000,12000,14288000,9976000,5949000,None,None,None,4312000,None,None,None,None,None,455000,4312000,15915000,None,-370897000,851000,85111774
ONTX,2018-03-31,USD,8615000,8555000,7264000,7264000,33000,477000,60000,48000,2180000,None,None,None,None,None,None,225000,12000,15490000,10552000,7034000,None,None,None,4938000,None,None,None,None,None,455000,4938000,-7705000,None,-367406000,194000,19426163
ONTX,2017-12-31,USD,4979000,4903000,4024000,4024000,48000,59000,76000,64000,2164000,None,None,None,None,None,None,77000,12000,15840000,9976000,6186000,None,None,None,5864000,None,None,None,None,None,455000,1773000,-11691000,None,-362316000,8000,10771163
ONTX,2017-09-30,USD,8802000,8707000,7600000,7600000,None,57000,95000,83000,2145000,None,None,None,None,None,50000,121000,12000,14880000,8989000,5436000,None,None,None,5891000,None,None,None,None,None,455000,1686000,-6908000,None,-356109000,99000,9851164
ONTX,2017-06-30,USD,16100000,15983000,14989000,14989000,None,233000,117000,105000,2123000,None,None,None,None,None,50000,84000,12000,15658000,9864000,5681000,None,None,None,5794000,None,None,None,None,None,455000,1476000,-388000,None,-349149000,99000,9851164
ONTX,2017-03-31,USD,16554000,16413000,15389000,15389000,None,126000,141000,129000,2099000,None,None,None,None,None,50000,104000,12000,19265000,9883000,5407000,None,None,None,9382000,None,None,None,None,None,88000,4950000,-3541000,None,-346565000,68000,6772659
ONTX,2016-12-31,USD,23233000,23069000,21400000,21400000,90000,31000,164000,152000,2076000,None,None,None,None,None,50000,73000,12000,18106000,10160000,5323000,None,None,None,7946000,None,None,None,None,None,198000,3401000,4297000,None,-338224000,68000,6759895
ONTX,2016-09-30,USD,28088000,27900000,25778000,25778000,None,904000,188000,176000,2052000,None,None,None,None,None,50000,97000,12000,18073000,9008000,4071000,None,None,None,9065000,None,None,None,None,None,243000,4406000,9185000,None,-332777000,68000,6759895
ONTX,2016-07-31,USD,27600000,27600000,27600000,27600000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
