SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
OSIR,2018-12-31,USD,101502000,70247000,16367000,16367000,9614000,None,None,2882000,None,None,None,None,None,None,18320000,None,None,22974000,20592000,None,None,None,None,None,None,None,None,None,None,2628000,None,78528000,None,-205437000,35000,35000000
OSIR,2018-09-30,USD,84701000,79736000,31658000,31658000,10576000,None,None,3116000,None,0,0,0,None,None,8701000,8209000,None,38839000,36389000,None,None,None,None,None,None,0,None,None,None,21394000,None,45862000,0,-237967000,35000,35000000
OSIR,2018-06-30,USD,79827000,74690000,23071000,23071000,11118000,None,None,3295000,None,0,0,0,None,None,9303000,7664000,None,38147000,35714000,None,None,None,None,None,None,0,None,None,None,20239000,None,41680000,0,-242174000,35000,35000000
OSIR,2018-03-31,USD,78577000,73270000,3363000,3363000,11016000,None,None,3476000,None,0,0,0,None,None,24503000,7866000,None,39643000,37146000,None,None,None,321000,None,None,0,321000,None,None,20264000,None,38934000,0,-244658000,35000,35000000
OSIR,2017-12-31,USD,78122000,72927000,3081000,3081000,11278000,None,None,3587000,None,0,0,0,None,None,24807000,920000,None,36728000,35102000,None,None,None,None,None,None,0,None,None,None,29833000,None,41394000,0,-242338000,35000,35000000
OSIR,2017-09-30,USD,77116000,None,3234000,3234000,12414000,None,None,2467000,None,None,None,None,None,None,28540000,8330000,None,37524000,35571000,None,None,None,None,None,None,None,None,None,None,30557000,None,39592000,None,None,35000,35000000
OSIR,2017-06-30,USD,68112000,None,1625000,1625000,11633000,None,None,2242000,None,None,None,None,None,None,20538000,8523000,None,36260000,34443000,None,None,None,None,None,None,None,None,None,None,30730000,None,31852000,None,None,35000,35000000
OSIR,2017-03-31,USD,67575000,None,1161000,1161000,11199000,None,None,2281000,None,None,None,None,None,None,21427000,8356000,None,36296000,34162000,None,None,None,None,None,None,None,None,None,None,30226000,None,31279000,None,None,35000,35000000
OSIR,2016-12-31,USD,71817000,64497000,2833000,2833000,11366000,None,None,2390000,None,None,None,None,None,4788000,23829000,921000,None,39316000,18376000,None,None,None,None,None,None,None,None,None,None,12817000,None,32501000,None,-251123000,35000,None
OSIR,2016-09-30,USD,72194000,None,3287000,3287000,10344000,None,None,2478000,None,None,None,None,None,None,25999000,4206000,None,38381000,17130000,None,None,None,None,None,None,None,None,None,None,11153000,None,33813000,None,None,35000,None
OSIR,2016-06-30,USD,71165000,None,3551000,3551000,9785000,None,None,2066000,None,None,None,None,None,None,26662000,4036000,None,38824000,17701000,None,None,None,None,None,None,None,None,None,None,12158000,None,32341000,None,None,35000,None
OSIR,2016-03-31,USD,72592000,None,5516000,5516000,10371000,None,None,2113000,None,None,None,None,None,None,26583000,4219000,None,37072000,15632000,None,None,None,None,None,None,None,None,None,None,11117000,None,35520000,None,None,35000,None
OSIR,2015-12-31,USD,73666000,66650000,9144000,9144000,9577000,None,None,2077000,None,None,None,None,None,4788000,24809000,1721000,None,37124000,13861000,None,None,None,None,None,None,None,None,None,None,9112000,None,36542000,None,-247374000,35000,34000000
OSIR,2015-09-30,USD,101020000,0,15799000,15799000,15818000,None,None,2180000,None,0,0,0,None,None,27542000,1167000,None,21176000,18181000,None,None,None,45000,None,None,0,45000,None,None,8557000,None,79844000,0,0,35000,34000000
OSIR,2015-06-30,USD,103007000,0,1563000,1563000,13348000,None,None,2077000,None,0,0,0,None,None,45383000,1223000,None,14185000,10929000,None,None,None,45000,None,None,0,45000,None,None,1667000,None,88822000,0,0,35000,35000000
OSIR,2015-03-31,USD,101612000,0,3704000,3704000,11939000,None,None,2165000,None,0,0,0,None,None,43529000,579000,None,15128000,11542000,None,None,None,45000,None,None,0,45000,None,None,1667000,None,86484000,0,0,35000,35000000
OSIR,2014-12-31,USD,88450000,86276000,2208000,2208000,9824000,None,None,2079000,None,0,0,0,None,None,47896000,2894000,None,12769000,9180000,None,None,None,45000,None,None,72000,45000,None,None,1667000,None,75681000,0,-211620000,35000,34000000
OSIR,2014-09-30,USD,91712000,0,946000,946000,8840000,None,None,2012000,None,0,0,0,None,None,57409000,489000,None,9597000,9321000,None,None,None,None,None,None,0,None,None,None,None,None,82115000,0,0,35000,35000000
OSIR,2014-06-30,USD,89209000,0,2658000,2658000,5540000,None,None,1895000,None,0,0,0,None,None,61343000,404000,None,8362000,8082000,None,None,None,None,None,None,0,None,None,None,None,None,80847000,0,0,34000,34000000
OSIR,2014-03-31,USD,91332000,0,2342000,2342000,2337000,None,None,1809000,None,0,0,0,None,None,51557000,414000,None,10143000,9824000,None,None,None,None,None,None,0,None,None,None,5754000,None,81189000,0,0,34000,34000000
OSIR,2013-12-31,USD,92097000,0,2416000,2416000,1929000,None,None,1896000,None,0,0,0,None,None,56594000,446000,None,11148000,10793000,None,None,None,45000,None,None,117000,45000,None,None,5906000,None,80949000,0,0,34000,33000000
