SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
OVID,2020-12-31,USD,75925518,74843201,72033930,72033930,None,None,1250691,135620,185337,319000,319000,None,None,None,None,None,318900,32293862,22062775,5446206,12382779,None,None,10231087,None,None,None,None,None,4583884,None,43631656,None,-294192097,65743,65743170
OVID,2020-09-30,USD,91599016,90346834,86866275,86866275,None,None,1458806,137799,167357,361000,361000,None,None,None,None,2831564,360961,27955978,17959266,3161801,13085966,None,None,9996712,None,None,None,None,None,3150454,61200,63643038,None,-272162596,63435,63435222
OVID,2020-06-30,USD,45355298,44110604,41253898,41253898,None,None,1466858,115989,151900,376000,376000,None,None,None,None,2293524,375824,14872384,14585822,4633810,None,None,None,286562,None,None,None,None,None,10804,286562,30482914,None,-255737807,57082,57082100
OVID,2020-03-31,USD,61723224,60737495,27336877,58300000,None,None,1267893,109038,137351,436000,436000,None,30996624,None,30996624,2029742,436285,10278424,9991862,3992086,None,None,None,286562,None,None,None,None,None,10804,286562,51444800,None,-233186611,54754,54754065
OVID,2019-12-31,USD,80843731,79813192,41897144,76700000,None,None,1362149,68363,125354,467000,467000,None,34841969,None,34841969,1942933,467247,10820170,10533608,3256098,None,None,None,286562,None,None,None,None,None,10804,286562,70023561,None,-213156521,54711,54710322
OVID,2019-09-30,USD,40694177,39150495,37907904,37907904,None,None,1781132,72241,114647,351000,351000,None,None,None,None,1242591,351271,0,10361016,5341548,None,None,None,286562,None,None,None,None,None,337773,286562,30046599,None,-196187312,37467,37466434
OVID,2019-06-30,USD,54908278,53607138,47361966,47361966,None,None,1458590,58775,104956,271000,271000,None,None,None,None,4650735,270947,0,9183817,2048130,None,None,None,286562,None,None,None,None,None,None,286562,45437899,None,-179552740,38693,38693018
OVID,2019-03-31,USD,66655592,62823510,54600081,59640781,None,None,4039787,66157,95852,331000,331000,None,None,None,5040700,1925080,331103,0,8071552,4410421,None,None,None,1338239,None,None,None,None,None,None,1338239,57245800,None,-166495470,38693,38693018
OVID,2018-12-31,USD,47649602,44268147,36489618,41500000,None,None,3651300,69867,86164,392000,392000,None,None,None,5011034,2767495,391872,8844457,8844457,3755595,None,None,None,None,None,None,None,None,None,None,None,38805145,None,-152695278,24654,24654114
OVID,2018-09-30,USD,60393974,55254234,30513180,52507554,None,None,5423913,68154,76466,406078,406078,None,None,None,21994374,2746680,406078,10422906,10422905,4593501,None,None,None,None,None,None,None,None,None,5829000,None,49971069,None,-139795346,24654,24654114
OVID,2018-06-30,USD,68612088,65189276,22535378,22535378,None,None,3614240,67653,66332,313333,313333,None,None,None,40059218,2594680,313333,7496231,7496228,3429388,None,None,None,None,None,None,None,None,None,4067000,None,61115860,None,-126833563,24632,24631972
OVID,2018-03-31,USD,78667463,75688240,29202559,29202559,None,None,3011208,52083,59983,160390,160390,None,None,None,44955987,1529694,160390,6579264,6579264,2396965,None,None,None,None,None,None,None,None,None,4182000,None,72088199,None,-113898426,24618,24617979
OVID,2017-12-31,USD,89457603,88588048,87125600,87125600,None,None,904809,51775,50915,124194,124194,None,None,None,None,1462448,124194,6021100,6021100,2025766,None,None,None,None,None,None,None,None,None,3995000,None,83436503,None,-100715668,24606,24606256
OVID,2017-09-30,USD,97567059,96870639,96042773,96042773,None,None,380718,51734,43154,121323,121323,None,None,None,None,827866,207661,4608003,4608003,1456040,None,None,None,None,None,None,None,None,None,3152000,None,92959056,None,-89755404,24602,24601936
OVID,2017-06-30,USD,108007138,107311317,106115648,106115648,None,None,396646,49798,35983,131100,131100,None,None,None,None,1195669,215748,7065027,7065027,3571534,None,None,None,None,None,None,None,None,None,3493000,None,100942111,None,-80396803,24602,24601936
OVID,2017-03-31,USD,47203311,46541184,44225807,44225807,None,None,124194,46586,29328,124194,124194,None,None,None,None,2315377,200281,4867763,4867763,1579789,None,None,None,None,None,None,None,None,None,3288000,None,42345311,None,-70148424,9839,9838590
OVID,2016-12-31,USD,53027887,52411210,51939661,51939000,None,None,None,43591,20192,110000,110000,None,None,None,None,465000,165301,3733412,3733412,857169,None,None,None,None,None,None,None,None,None,2876000,None,49295000,None,-35909614,9839,9838590
