SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
OXFD,2020-09-30,USD,210500000,188372000,160621000,160621000,13099000,None,1923000,10176000,None,70000,70000,2483000,None,None,None,3702000,159000,19241000,11801000,None,None,None,None,7440000,8677000,7190000,None,None,8677000,8704000,250000,191259000,None,-101484000,272000,25961817
OXFD,2020-06-30,USD,206606000,186949000,165489000,165489000,12824000,None,8620000,8561000,None,72000,72000,2483000,None,None,None,13068000,159000,17713000,10812000,None,None,None,None,6901000,1031000,6869000,None,None,7900000,1065000,6901000,188893000,None,-101335000,272000,25955508
OXFD,2020-03-31,USD,219082000,200716000,166485000,166485000,10854000,None,1570000,7314000,None,75000,75000,2483000,None,None,None,5557000,100000,21074000,14032000,None,None,None,None,7042000,8048000,32000,None,None,8080000,1081000,7010000,198008000,None,-91650000,272000,25945744
OXFD,2019-12-31,USD,235252000,215881000,181270000,181270000,11096000,None,9665000,7095000,None,87000,87000,2483000,None,None,None,12729000,100000,21561000,13819000,None,None,None,None,7742000,8694000,32000,None,None,8726000,8745000,None,213691000,None,-84033000,276000,26419961
OXFD,2019-09-30,USD,238966000,221431000,184282000,184282000,9800000,None,6378000,6378000,None,43000,43000,2483000,None,None,None,13524000,100000,23997000,16728000,None,None,None,None,7269000,7772000,30000,None,None,7802000,12194000,None,214969000,None,-81485000,278000,26642510
OXFD,2019-06-30,USD,242031000,223340000,187291000,187291000,9957000,None,6758000,6658000,None,50000,50000,2483000,None,None,None,12624000,100000,24248000,16729000,None,None,None,None,7489000,7969000,30000,None,None,7999000,5013000,7489000,217783000,None,-81668000,280000,26807101
OXFD,2019-03-31,USD,241310000,218215000,189518000,189518000,9944000,None,21428000,7066000,None,56000,56000,2483000,None,None,None,4038000,100000,25131000,17319000,None,None,None,484000,7812000,8266000,30000,484000,None,8296000,4827000,7782000,216179000,None,-82258000,278000,26623057
OXFD,2018-12-31,USD,232120000,216780000,192844000,192844000,7767000,None,7144000,7144000,None,61000,61000,2483000,None,None,None,9655000,100000,18114000,18008000,None,None,None,85000,None,None,106000,85000,None,191000,4337000,None,214006000,None,-80762000,276000,26439334
OXFD,2018-09-30,USD,129160000,118206000,70156000,70156000,6114000,None,10954000,6428000,None,958000,958000,2483000,None,None,0,34856000,200000,57194000,52996000,None,None,None,30200000,4101000,None,97000,30200000,None,30297000,9019000,4101000,71966000,0,-221822000,276000,26337963
OXFD,2018-06-30,USD,125944000,99928000,66263000,66263000,9835000,None,12712000,12712000,None,7521000,7521000,3967000,None,None,0,15776000,381000,52780000,18531000,None,None,None,94000,34249000,None,30136000,94000,None,30230000,4497000,4113000,73164000,0,-218338000,272000,25957954
OXFD,2018-03-31,USD,133817000,109623000,77246000,77246000,10909000,None,9239000,9239000,None,7689000,7689000,3967000,None,None,0,16424000,384000,54205000,19593000,None,None,None,93000,None,None,30020000,93000,None,30113000,38739000,None,79612000,0,-211867000,271000,25875358
OXFD,2017-12-31,USD,144236000,120482000,90332000,90332000,10142000,None,11938000,9067000,None,7849000,7849000,3967000,None,None,0,14843000,385000,56607000,22445000,None,None,None,91000,29904000,None,29904000,78000,None,29995000,8272000,None,87629000,0,-201541000,269000,25661634
OXFD,2017-09-30,USD,136991000,101716000,67743000,67743000,9174000,None,8927000,8927000,None,15266000,15266000,3967000,None,None,0,22580000,390000,59615000,21534000,None,None,None,89000,None,None,29787000,89000,None,29876000,40458000,None,77376000,0,-210341000,269000,25596345
OXFD,2017-06-30,USD,112927000,67116000,36713000,36713000,9480000,None,39333000,8786000,None,26580000,26580000,3967000,None,None,0,3107000,345000,60441000,22935000,None,None,None,87000,7472000,None,29670000,29757000,None,29757000,32910000,7472000,52486000,0,-193494000,247000,23014032
OXFD,2017-03-31,USD,114266000,72220000,43133000,43133000,8307000,None,21854000,8299000,None,26934000,26934000,3822000,None,None,0,23866000,2991000,47956000,18040000,None,None,None,86000,None,None,29552000,86000,None,29638000,30718000,None,66310000,0,-176728000,244000,22735980
OXFD,2016-12-31,USD,124012000,82202000,59110000,59110000,7437000,None,7993000,7793000,None,27187000,27187000,3822000,None,None,0,33399000,3008000,51048000,18490000,None,None,None,84000,32558000,None,29601000,84000,None,29685000,923000,2957000,72964000,0,-168656000,243000,22635431
OXFD,2016-09-30,USD,92887000,61988000,37324000,37324000,7313000,None,7385000,7185000,None,20679000,20679000,2691000,None,None,0,25582000,344000,15528000,13703000,None,None,None,82000,1825000,None,323000,405000,None,405000,53000,1502000,77359000,0,-163798000,243000,22581222
OXFD,2016-06-30,USD,93658000,84995000,63965000,63965000,8641000,None,6769000,6561000,None,1957000,1957000,46000,None,None,0,4461000,99000,13263000,11491000,None,None,None,81000,None,None,344000,81000,None,425000,1864000,None,80395000,0,-159802000,243000,22569104
OXFD,2016-03-31,USD,97767000,89076000,68731000,68731000,8479000,None,8508000,6526000,None,2018000,2018000,47000,None,None,0,3602000,100000,11335000,9566000,None,None,None,80000,None,None,366000,None,None,446000,1875000,None,86432000,0,-153356000,243000,22566475
OXFD,2015-12-31,USD,109852000,101464000,83715000,83715000,7099000,None,8388000,6284000,None,1961000,1961000,45000,None,None,0,3592000,98000,17160000,15481000,None,None,None,79000,None,None,386000,79000,None,465000,3333000,None,92692000,0,-146307000,243000,22549488
OXFD,2015-09-30,USD,113191000,105230000,88483000,88483000,6473000,None,5706000,5706000,None,2110000,2110000,46000,None,None,112000,4874000,99000,14685000,13059000,None,None,None,127000,1626000,None,352000,None,None,479000,1686000,1274000,98506000,0,-139917000,242000,22538047
