SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
PEET,2012-06-30,USD,229865000,None,32428000,32428000,68417000,None,None,85458000,None,None,None,None,None,None,5791000,15281000,None,39235000,30004000,None,None,None,None,None,None,None,None,None,None,16656000,None,190630000,None,115690000,74940000,None
PEET,2012-03-31,USD,222759000,None,44977000,44977000,48832000,None,None,87047000,None,None,None,None,None,None,5877000,14109000,None,36416000,27155000,None,None,None,None,None,None,None,None,None,None,13578000,None,186343000,None,111677000,74666000,None
PEET,2011-12-31,USD,215271000,None,30755000,30755000,54265000,None,None,89304000,None,None,None,None,None,None,3800000,14409000,None,37315000,29212000,None,None,None,None,None,None,None,None,None,None,17665000,None,177956000,None,108292000,69664000,None
PEET,2011-09-30,USD,198626000,None,5890000,5890000,60486000,None,None,90919000,None,None,None,None,None,None,5957000,16578000,None,35511000,27092000,None,None,None,None,None,None,None,None,None,None,13464000,None,163115000,None,102645000,60470000,None
PEET,2011-06-30,USD,198875000,None,19435000,19435000,47480000,None,None,92894000,None,None,None,None,None,None,9149000,13324000,None,32995000,24811000,None,None,None,None,None,None,None,None,None,None,15039000,None,165880000,None,101132000,64748000,None
PEET,2011-03-31,USD,199056000,None,34859000,34859000,31253000,None,None,94252000,None,None,None,None,None,None,8202000,12207000,None,30425000,22297000,None,None,None,None,None,None,None,None,None,None,12688000,None,168631000,None,96023000,72608000,None
PEET,2010-12-31,USD,208832000,None,44629000,44629000,33534000,None,None,97279000,None,None,None,None,None,None,4183000,12218000,None,36332000,27795000,None,None,None,None,None,None,None,None,None,None,18657000,None,172500000,None,90505000,81995000,None
PEET,2010-09-30,USD,195307000,None,28551000,28551000,40360000,None,None,98819000,None,None,None,None,None,None,None,11745000,None,34330000,25582000,None,None,None,None,None,None,None,None,None,None,13398000,None,160977000,None,84071000,76906000,None
PEET,2010-06-30,USD,203887000,None,42855000,42855000,37392000,None,None,100081000,None,None,None,None,None,None,None,9177000,None,35282000,26627000,None,None,None,None,None,None,None,None,None,None,14418000,None,168605000,None,80308000,88297000,None
PEET,2010-03-31,USD,206474000,None,55824000,55824000,24239000,None,None,101623000,None,None,None,None,None,None,None,10073000,None,32475000,23954000,None,None,None,None,None,None,None,None,None,None,12114000,None,173999000,None,76053000,97946000,None
PEET,2009-12-31,USD,204803000,None,47934000,47934000,25936000,None,None,103494000,None,86000,86000,None,None,None,None,9455000,None,39747000,31346000,None,None,None,None,None,None,None,None,None,None,17677000,None,165056000,None,73002000,92054000,None
PEET,2009-09-30,USD,186190000,None,16966000,16966000,30564000,None,None,106900000,None,None,None,None,None,None,4232000,10936000,None,31352000,23138000,None,None,None,None,None,None,None,None,None,None,14327000,None,154838000,None,66518000,88320000,None
PEET,2009-06-30,USD,182587000,None,15148000,15148000,29473000,None,None,109063000,None,None,None,None,None,None,5548000,7920000,None,31358000,23308000,None,None,None,None,None,None,None,None,None,None,13066000,None,151229000,None,64466000,86763000,None
PEET,2009-03-31,USD,171940000,None,12003000,12003000,22572000,None,None,108391000,None,None,None,None,None,None,4558000,8421000,None,30477000,22639000,None,None,None,None,None,None,None,None,None,None,13273000,None,141463000,None,56794000,84669000,None
PEET,2008-12-31,USD,176352000,None,4719000,4719000,26124000,None,None,107914000,None,170000,170000,None,None,None,8600000,10115000,None,32445000,25060000,None,None,None,None,None,None,None,None,None,None,15202000,None,143907000,None,53784000,90123000,None
PEET,2008-09-30,USD,181322000,None,3889000,3889000,29698000,None,None,107564000,None,None,None,None,None,None,10893000,12743000,None,31911000,24881000,None,None,None,None,None,None,None,None,None,None,14947000,None,149411000,None,49749000,99662000,None
PEET,2008-06-30,USD,178734000,None,7099000,7099000,27367000,None,None,108435000,None,None,None,None,None,None,11003000,9241000,None,32614000,26098000,None,None,None,None,None,None,None,None,None,None,13738000,None,146120000,None,47798000,98322000,None
PEET,2008-03-31,USD,183331000,None,17763000,17763000,22473000,None,None,105206000,None,None,None,None,None,None,11167000,7413000,None,32675000,26721000,None,None,None,None,None,None,None,None,None,None,14119000,None,150656000,None,44809000,105847000,None
PEET,2007-12-31,USD,177547000,None,15312000,15312000,24483000,None,None,99231000,None,264000,264000,None,None,None,7932000,7235000,None,30294000,24869000,None,None,None,None,None,None,None,None,None,None,14765000,None,147253000,None,42637000,104616000,None
PEET,2007-09-30,USD,171698000,None,2061000,2061000,28356000,None,None,97792000,None,None,None,None,None,None,10809000,9927000,None,29977000,25077000,None,None,None,None,None,None,None,None,None,None,10903000,None,141721000,None,39308000,102413000,None
PEET,2007-06-30,USD,160941000,None,2297000,2297000,25164000,None,None,93234000,None,None,None,None,None,None,14103000,7860000,None,23973000,19864000,None,None,None,None,None,None,None,None,None,None,11428000,None,136968000,None,37402000,99566000,None
