SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
PSE,2013-09-30,USD,522379000,0,4813000,4813000,1307000,None,None,484239000,None,0,0,0,None,None,0,5482000,None,252980000,39659000,None,None,None,None,None,None,201000000,None,None,None,5515000,None,269399000,0,0,0,None
PSE,2013-06-30,USD,494629000,0,2035000,2035000,1370000,None,None,456827000,None,0,0,0,None,None,0,7360000,None,222628000,34425000,None,None,None,None,None,None,176000000,None,None,None,7295000,None,272001000,0,0,0,None
PSE,2013-03-31,USD,462163000,0,605000,605000,1186000,None,None,427888000,None,0,0,0,None,None,0,4654000,None,201718000,35389000,None,None,None,None,None,None,154000000,None,None,None,13672000,None,260445000,0,0,0,None
PSE,2012-12-31,USD,430889000,0,1601000,1601000,1388000,None,None,399055000,None,0,0,0,None,None,0,4870000,None,169256000,31349000,None,None,None,None,None,None,126000000,None,None,None,14445000,None,261633000,0,0,0,None
PSE,2012-09-30,USD,390764000,0,3494000,3494000,1273000,None,None,357739000,None,0,0,0,None,None,0,4807000,None,133979000,34326000,None,None,None,None,None,None,88000000,None,None,None,15539000,None,256785000,0,0,0,None
PSE,2012-06-30,USD,374770000,0,3648000,3648000,1641000,None,None,339669000,None,0,0,0,None,None,0,6496000,None,105156000,24264000,None,None,None,None,None,None,69000000,None,None,None,8394000,None,269614000,0,0,0,None
PSE,2012-03-31,USD,354905000,0,4975000,4975000,955000,None,None,318503000,None,0,0,0,None,None,0,6521000,None,132191000,52141000,None,None,None,None,None,None,50000000,None,None,None,33437000,None,222714000,0,0,0,None
PSE,2011-12-31,USD,326727000,0,1176000,1176000,920000,None,None,295587000,None,0,0,0,None,None,0,6066000,None,99521000,40753000,None,None,None,None,None,None,32000000,None,None,None,28617000,None,227206000,0,0,0,None
PSE,2011-09-30,USD,324486000,0,5155000,5155000,894000,None,None,280970000,None,0,0,0,None,None,0,11318000,None,137099000,23615000,None,None,None,None,None,None,97000000,None,None,None,6868000,None,187387000,0,0,0,None
PSE,2011-06-30,USD,303241000,0,1201000,1201000,1025000,None,None,268483000,None,0,0,0,None,None,0,9893000,None,179467000,42035000,None,None,None,None,None,None,87000000,None,None,None,21579000,None,123774000,0,0,0,None
PSE,2011-03-31,USD,284788000,None,282000,282000,1033000,None,None,251542000,None,None,None,None,None,None,None,9093000,None,188167000,37456000,None,None,None,None,None,None,85000000,None,None,None,24092000,None,96621000,None,None,None,None
PSE,2010-12-31,USD,280060000,None,107000,107000,883000,None,None,238274000,None,None,None,None,None,None,None,19013000,None,145315000,20844000,None,None,None,None,None,None,81200000,None,None,None,10766000,None,134745000,None,None,None,None
PSE,2010-09-30,USD,272977000,None,611000,611000,1108000,None,None,222355000,None,None,None,None,None,None,None,22718000,None,114677000,14483000,None,None,None,None,None,None,74000000,None,None,None,2878000,None,158300000,None,None,None,None
PSE,2010-06-30,USD,276461000,None,1447000,1447000,854000,None,None,215752000,None,None,None,None,None,None,None,26130000,None,96494000,12712000,None,None,None,None,None,None,72000000,None,None,None,1636000,None,179967000,None,None,None,None
PSE,2010-03-31,USD,263813000,None,142000,142000,872000,None,None,206949000,None,None,None,None,None,None,None,18706000,None,111051000,14311000,None,None,None,None,None,None,69000000,None,None,None,4508000,None,152762000,None,None,None,None
PSE,2009-12-31,USD,256638000,None,625000,625000,851000,None,None,198344000,None,None,None,None,None,None,None,16302000,None,115365000,11555000,None,None,None,None,None,None,67000000,None,None,None,4259000,None,141273000,None,None,None,None
PSE,2009-09-30,USD,279253000,None,6032000,6032000,1018000,None,None,195252000,None,None,None,None,None,None,None,27548000,None,156656000,11491000,None,None,None,None,None,None,135000000,None,None,None,2083000,None,122597000,None,None,None,None
PSE,2009-06-30,USD,252556000,None,34262000,34262000,731000,None,None,137256000,None,None,None,None,None,None,None,29483000,None,11107000,5943000,None,None,None,None,None,None,None,None,None,None,1136000,None,241449000,None,None,None,None
PSE,2009-03-31,USD,286962000,None,28942000,28942000,795000,None,None,139232000,None,None,None,None,None,None,None,48068000,None,11069000,5563000,None,None,None,None,None,None,None,None,None,None,714000,None,275893000,None,None,None,None
PSE,2008-12-31,USD,302528000,None,29936000,29936000,1659000,None,None,141757000,None,None,None,None,None,None,None,51366000,None,17426000,11743000,None,None,None,None,None,None,None,None,None,None,544000,None,285102000,None,None,None,None
PSE,2008-09-30,USD,199631000,None,28765000,28765000,162000,None,None,139361000,None,None,None,None,None,None,None,2159000,None,23026000,16575000,None,None,None,None,None,None,None,None,None,None,1575000,None,176605000,None,None,None,None
