SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
PVR,2013-12-31,USD,3125670000,None,7298000,7298000,None,None,None,2189278000,None,660363000,660363000,70283000,None,None,None,6821000,None,1914134000,148439000,None,None,None,None,None,None,1735100000,None,None,None,6214000,None,1211536000,None,None,None,None
PVR,2013-09-30,USD,3100280000,None,7901000,7901000,None,None,None,2166092000,None,667995000,667995000,70283000,None,None,None,5356000,None,1829278000,165802000,None,None,None,None,None,None,1632500000,None,None,None,6577000,None,1271002000,None,None,None,None
PVR,2013-06-30,USD,3117810000,None,13923000,13923000,None,None,None,2124764000,None,675624000,675624000,70283000,None,None,None,5793000,None,1937045000,149145000,None,None,None,None,None,None,1757500000,None,None,None,4594000,None,1180765000,None,None,None,None
PVR,2013-03-31,USD,3030448000,None,12973000,12973000,None,None,None,2048232000,None,683254000,683254000,70283000,None,None,None,5252000,None,1803076000,169834000,None,None,None,None,None,None,1600000000,None,None,None,5342000,None,1227372000,None,None,None,None
PVR,2012-12-31,USD,2998709000,None,14713000,14713000,None,None,None,1989346000,None,690883000,690883000,70283000,None,None,None,16896000,None,1726290000,200822000,None,None,None,None,None,None,1490000000,None,None,None,3788000,None,1272419000,None,None,None,None
PVR,2012-09-30,USD,2789034000,None,10127000,10127000,None,None,None,1822010000,None,698553000,698553000,70283000,None,None,None,5314000,None,1627437000,158504000,None,None,None,None,None,None,1435000000,None,None,None,5750000,None,1161597000,None,None,None,None
PVR,2012-06-30,USD,2681576000,None,8975000,8975000,None,None,None,1680994000,None,719108000,719108000,71005000,None,None,None,41318000,None,1512457000,148038000,None,None,None,None,None,None,1332000000,None,None,None,9551000,None,1169119000,None,None,None,None
PVR,2012-03-31,USD,1511183000,None,7530000,7530000,None,None,None,1262756000,None,14654000,14654000,None,None,None,None,5273000,None,1078982000,129603000,None,None,None,None,None,None,917000000,None,None,None,16848000,None,432201000,None,None,None,None
PVR,2011-12-31,USD,1593992000,None,8640000,8640000,None,None,None,1282297000,None,70665000,70665000,None,None,None,None,5640000,None,1012288000,139540000,None,None,None,None,None,None,841000000,None,None,None,15458000,None,581704000,None,None,None,None
PVR,2011-09-30,USD,1510660000,None,13908000,13908000,None,None,None,1171370000,None,72237000,72237000,None,None,None,None,6830000,None,1100798000,133505000,None,None,None,None,None,None,935000000,None,None,None,15403000,None,409862000,None,None,None,None
PVR,2011-06-30,USD,1455543000,None,10602000,10602000,None,None,None,1122323000,None,73808000,73808000,None,None,None,None,6027000,None,1047641000,134514000,None,None,None,None,None,None,880000000,None,None,None,24459000,None,407902000,None,None,None,None
PVR,2011-03-31,USD,1395667000,None,14475000,14475000,None,None,None,1074554000,None,75379000,75379000,None,None,None,None,4716000,None,990017000,137716000,None,None,None,None,None,None,815000000,None,None,None,32745000,None,405650000,None,None,None,None
PVR,2010-12-31,USD,1304205000,None,15964000,15964000,None,None,None,971046000,None,76950000,76950000,None,None,None,None,5900000,None,869555000,127721000,None,None,None,None,None,None,708000000,None,None,None,23876000,None,213805000,None,None,None,None
PVR,2010-09-30,USD,1255904000,None,18515000,18515000,None,None,None,932400000,None,78648000,78648000,None,None,None,None,8501000,None,809335000,109683000,None,None,None,None,None,None,665000000,None,None,None,44223000,None,219044000,None,None,None,None
PVR,2010-06-30,USD,1230629000,None,23546000,23546000,None,None,None,914131000,None,80346000,80346000,None,None,None,None,7187000,None,764136000,86554000,None,None,None,None,None,None,646490000,None,None,None,29072000,None,226842000,None,None,None,None
PVR,2010-03-31,USD,1206705000,None,27969000,27969000,None,None,None,893944000,None,82043000,82043000,None,None,None,None,5992000,None,736054000,90583000,None,None,None,None,None,None,618100000,None,None,None,28315000,None,243192000,None,None,None,None
PVR,2009-12-31,USD,1219063000,None,19314000,19314000,None,None,None,900844000,None,83741000,83741000,None,None,None,None,6147000,None,733460000,86323000,None,None,None,None,None,None,620100000,None,None,None,25015000,None,249696000,None,None,None,None
PVR,2009-09-30,USD,1218774000,None,21194000,21194000,None,None,None,909994000,None,87108000,87108000,None,None,None,None,11626000,None,727267000,70873000,None,None,None,None,None,None,628100000,None,None,None,24113000,None,251729000,None,None,None,None
PVR,2009-06-30,USD,1199887000,None,17093000,17093000,None,None,None,892944000,None,88962000,88962000,None,None,None,None,16275000,None,698382000,74187000,None,None,None,None,None,None,597100000,None,None,None,24179000,None,256071000,None,None,None,None
PVR,2009-03-31,USD,1215955000,None,21710000,21710000,None,None,None,896219000,None,90817000,90817000,None,None,None,None,26350000,None,698159000,73504000,None,None,None,None,None,None,595100000,None,None,None,26608000,None,261668000,None,None,None,None
PVR,2008-12-31,USD,1227674000,None,18338000,18338000,None,None,None,895119000,None,92672000,92672000,None,None,None,None,34694000,None,689151000,89908000,None,None,None,None,None,None,568100000,None,None,None,29466000,None,267509000,None,None,None,None
