SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
P,2018-09-30,USD,1172803000,818952000,287523000,287523000,None,None,353851000,107802000,None,55557000,55557000,178917000,None,None,100119000,25673000,11575000,606924000,325992000,None,None,None,None,280932000,None,255272000,None,None,None,55678000,25660000,52609000,None,-1579125000,27000,268000000
P,2018-06-30,USD,1167943000,806557000,292996000,292996000,None,None,361386000,110583000,None,59863000,59863000,178917000,None,None,127791000,46178000,12023000,571424000,295238000,None,None,None,250267000,276186000,None,250267000,250267000,None,None,43512000,25919000,90835000,None,-1507874000,27000,260000000
P,2018-03-31,USD,1084870000,869964000,454923000,454923000,None,None,214906000,114487000,None,17891000,17891000,71243000,None,None,90554000,54903000,11285000,541384000,240260000,None,None,None,278410000,301124000,None,278410000,278410000,None,None,37681000,22714000,45275000,None,-1408419000,26000,253000000
P,2017-12-31,USD,1166322000,912164000,499597000,499597000,None,None,254158000,116742000,None,19409000,19409000,71243000,None,35471000,1250000,71088000,11293000,522795000,226281000,None,None,None,273014000,296514000,None,273014000,273014000,None,None,31464000,23500000,152678000,None,-1269351000,25000,244000000
P,2017-09-30,USD,1165531000,912153000,493181000,493181000,None,None,253378000,117700000,None,21304000,21304000,71243000,None,34132000,6249000,100446000,8999000,512616000,218152000,None,None,None,267396000,294464000,None,267396000,267396000,None,None,33977000,27068000,169327000,None,-1217283000,25000,246000000
P,2017-06-30,USD,1030645000,801885000,209581000,209581000,None,None,228760000,120792000,None,23235000,23235000,71243000,None,None,18056000,285901000,13490000,643613000,265755000,None,None,None,352157000,377858000,None,352157000,352157000,None,None,75534000,25701000,213937000,None,-1132721000,24000,241000000
P,2017-03-31,USD,1098148000,543902000,170881000,170881000,None,None,554246000,128815000,None,85289000,85289000,306421000,None,None,32123000,77964000,33721000,635245000,254076000,None,None,None,None,381169000,None,347223000,None,None,None,65203000,33946000,462903000,None,-843057000,24000,238000000
P,2016-12-31,USD,1184810000,625821000,199944000,199944000,None,None,558989000,124088000,None,90425000,90425000,306691000,None,6252000,37109000,79501000,31533000,630551000,254117000,None,None,None,342247000,376434000,None,342247000,342247000,None,None,49352000,34187000,554259000,None,-709636000,24000,231000000
P,2016-09-30,USD,1236863000,677338000,207695000,207695000,None,None,559525000,118453000,None,95565000,95565000,306706000,None,6273000,50052000,136789000,32528000,629856000,259025000,None,None,None,None,370831000,None,337429000,None,None,None,52710000,33402000,607007000,None,-619627000,23000,232000000
P,2016-06-30,USD,1159174000,600107000,238367000,238367000,None,None,559067000,102016000,None,100705000,100705000,306715000,None,18153000,54800000,43286000,31478000,530879000,254592000,None,None,None,None,276287000,None,243483000,None,None,None,46183000,32804000,628295000,None,-558093000,23000,230000000
P,2016-03-31,USD,1192341000,635201000,303454000,303454000,0,None,557140000,81412000,None,105843000,105843000,304787000,None,33238000,45805000,48182000,31860000,521944000,251412000,None,None,None,None,270532000,None,239011000,None,None,None,50623000,31521000,670397000,0,-481760000,23000,227000000
P,2015-12-31,USD,1240657000,683506000,334667000,334667000,0,None,557151000,66370000,None,110745000,110745000,303875000,None,46369000,35844000,35920000,29792000,497270000,231831000,None,None,None,234577000,265439000,None,234577000,234577000,None,None,35571000,30862000,743387000,0,-366658000,23000,214000000
P,2015-09-30,USD,820743000,643668000,242981000,242981000,0,None,177075000,56424000,None,9138000,9138000,23052000,None,78982000,120614000,17163000,9479000,298085000,279815000,None,None,None,None,18270000,None,0,None,None,None,22682000,18270000,522658000,0,-347249000,21000,213000000
P,2015-06-30,USD,780432000,622821000,204103000,204103000,0,None,157611000,54741000,None,6766000,6766000,0,None,89013000,168339000,16664000,13857000,204922000,189745000,None,None,None,None,15177000,None,0,None,None,None,27097000,15177000,575510000,0,-261319000,21000,212000000
P,2015-03-31,USD,749870000,589491000,221014000,221014000,0,None,160379000,46718000,None,6756000,6756000,0,None,99704000,160566000,19441000,13957000,187196000,171950000,None,None,None,None,15246000,None,0,None,None,None,26740000,15246000,562674000,0,-245254000,21000,210000000
P,2014-12-31,USD,749290000,588414000,175957000,175957000,0,None,None,42921000,None,6939000,6939000,0,None,104243000,178631000,15389000,None,165933000,149160000,None,None,None,None,None,None,0,None,None,None,138335000,None,583357000,0,-196997000,21000,205000000
