SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
RAIL,2020-12-31,USD,182742000,120978000,54047000,54047000,38831000,13910000,40831000,19642000,None,None,None,None,None,None,None,21020000,3037000,152245000,71149000,18654000,11281000,17605000,11635000,65863000,30184000,55273000,17605000,37668000,55273000,6319000,2600000,30497000,1344000,-38619000,159000,15533829
RAIL,2020-09-30,USD,211105000,118647000,32757000,32757000,60186000,10402000,54319000,19443000,None,None,None,None,None,None,None,4737000,817000,164699000,103518000,20606000,61851000,30927000,15825000,58123000,59650000,20200000,15825000,4375000,20200000,4750000,3446000,47857000,1341000,-24236000,136000,13277845
RAIL,2020-06-30,USD,253784000,121592000,48540000,48540000,47116000,7816000,93799000,39469000,None,None,None,None,None,None,None,14265000,888000,166484000,99477000,18054000,69210000,29013000,13950000,63395000,63369000,20200000,13950000,6250000,20200000,5626000,2833000,87760000,1281000,16086000,136000,13319161
RAIL,2020-03-31,USD,251102000,116654000,60484000,60484000,41121000,6740000,95801000,39285000,None,None,None,None,None,None,None,8309000,999000,150752000,74576000,19653000,46795000,14932000,None,72009000,67040000,10200000,14932000,10200000,10200000,3275000,3443000,100621000,1124000,28877000,133000,13166580
RAIL,2019-12-31,USD,245202000,109679000,66257000,66257000,25092000,8005000,96623000,38564000,None,None,None,None,None,None,None,7035000,1552000,128048000,49430000,11713000,10730000,14960000,None,73896000,68726000,10200000,14960000,10200000,10200000,2428000,3420000,117209000,989000,45824000,127000,12686823
RAIL,2019-09-30,USD,289287000,132010000,59441000,59441000,55656000,10757000,110226000,38912000,None,None,None,None,None,None,None,7672000,2106000,1366000,61733000,23994000,1281000,17144000,None,93281000,85948000,10200000,17144000,10200000,10200000,1402000,4009000,128996000,983000,55359000,127000,12359478
RAIL,2019-06-30,USD,337638000,153513000,69859000,69859000,61788000,14927000,136766000,40396000,None,21521000,0,21521000,None,None,None,7318000,3135000,173437000,69390000,30141000,1281000,16991000,None,98215000,90067000,10200000,16991000,10200000,10200000,4757000,4476000,164201000,2348000,91088000,127000,12352271
RAIL,2019-03-31,USD,344083000,138029000,65000000,1998000,52700000,11344000,67510000,43406000,None,21521000,0,21521000,1998000,None,1998000,7373000,2583000,163624000,68821000,30586000,None,None,16840000,11135000,94121000,77281000,16840000,None,94121000,1325000,476000,180459000,4572000,106975000,127000,12337013
RAIL,2018-12-31,USD,289737000,155833000,45070000,18019000,64562000,20264000,69149000,45317000,None,21521000,0,21521000,18019000,None,18019000,5012000,2311000,96127000,62050000,34749000,None,None,None,27136000,None,None,None,None,None,1324000,801000,193610000,9721000,120799000,127000,12318861
RAIL,2018-09-30,USD,324503000,210400000,32876000,32876000,62693000,39124000,73711000,47273000,None,21521000,0,21521000,27262000,None,27262000,5453000,3150000,105181000,69958000,42498000,None,None,None,27727000,None,None,None,None,None,1273000,405000,219322000,9668000,146468000,127000,12325718
RAIL,2018-06-30,USD,329873000,218434000,25144000,25144000,60393000,25996000,76725000,50277000,None,21521000,0,21521000,56353000,None,56353000,7649000,3160000,105176000,67512000,38600000,None,None,None,29613000,None,None,None,None,None,1348000,399000,224697000,9685000,152640000,127000,12317546
RAIL,2018-03-31,USD,317630000,205349000,65255000,117543000,46685000,13240000,79480000,53023000,None,21521000,0,21521000,52288000,None,52288000,7693000,3169000,91548000,51391000,26273000,None,None,None,31551000,None,None,None,None,None,2747000,394000,226082000,10398000,154976000,127000,12306011
RAIL,2017-12-31,USD,295904000,199947000,87788000,87788000,45292000,8396000,63077000,38253000,None,21521000,0,21521000,42917000,None,42917000,5099000,3303000,64172000,40317000,23329000,None,None,None,14694000,None,None,None,None,None,964000,387000,231732000,12555000,161380000,127000,12285566
RAIL,2017-09-30,USD,318531000,220228000,70207000,121210000,70263000,17924000,63017000,40036000,None,21521000,0,21521000,51003000,None,51003000,4751000,1460000,75762000,49205000,32043000,None,None,None,16841000,None,None,None,None,None,3071000,4622000,242769000,12550000,172518000,127000,12293998
RAIL,2017-06-30,USD,328691000,234348000,101293000,132225000,74092000,16036000,65505000,42025000,None,21521000,0,21521000,30932000,None,30932000,5915000,1959000,73410000,46091000,28678000,None,None,None,17048000,None,None,None,None,None,3421000,4574000,255281000,12030000,185248000,127000,12283746
RAIL,2017-03-31,USD,339320000,243666000,98067000,109063000,77501000,22167000,67894000,44405000,None,21521000,0,21521000,10996000,None,10996000,15929000,1968000,82657000,54460000,33302000,None,None,None,17372000,None,None,None,None,None,3520000,4625000,256663000,12642000,186814000,127000,12269555
RAIL,2016-12-31,USD,339255000,241170000,92750000,92750000,97904000,25207000,69846000,46347000,None,21521000,0,21521000,None,None,5970000,6056000,1978000,82341000,54135000,34536000,None,None,None,16826000,None,None,None,None,None,1495000,4236000,256914000,14583000,187508000,127000,12262275
RAIL,2016-09-30,USD,355765000,243068000,24786000,24786000,144658000,30292000,71299000,48065000,None,21521000,0,21521000,None,None,14997000,22365000,1713000,98844000,66669000,32978000,None,None,None,21581000,None,None,None,None,None,3225000,7775000,256921000,14524000,188549000,127000,12267468
RAIL,2016-06-30,USD,368567000,262707000,63463000,63463000,136079000,16530000,70664000,47266000,None,21521000,0,21521000,None,None,14988000,26479000,1877000,109787000,78426000,39141000,None,None,None,20235000,None,None,None,None,None,3317000,7784000,258780000,14551000,189612000,127000,12261308
RAIL,2016-03-31,USD,376401000,272172000,70223000,70223000,136363000,18321000,68125000,44136000,None,21521000,0,21521000,None,None,20989000,21108000,2468000,116522000,84507000,41115000,None,None,None,20357000,None,None,None,None,None,3584000,7745000,259879000,15629000,191195000,127000,12252131
