SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
REXX,2018-06-30,USD,992519000,98707000,28780000,28780000,None,28636000,2131276000,892184000,384556000,None,None,None,6259000,None,None,None,35000,1117350000,429025000,82679000,None,261315000,None,25107000,None,522630000,261315000,261315000,600300000,None,None,None,None,None,11000,10707788
REXX,2018-03-31,USD,964939000,70014000,25090000,25090000,9997000,27195000,2065709000,891880000,367900000,None,None,None,10612000,2880000,None,17729000,35000,1087274000,1053505000,70394000,None,869197000,933868000,33769000,None,1090197000,869197000,221000000,604772000,None,6866000,-122335000,None,-776881000,11000,10708287
REXX,2017-12-31,USD,942137000,55892000,15247000,15247000,4614000,28023000,2159263000,884352000,463899000,None,None,None,9727000,1719000,None,12622000,44000,995699000,956789000,62354000,None,834325000,849217000,43316000,None,1016353000,834325000,182028000,794456000,15492000,7153000,-53562000,None,-706490000,10000,10244394
REXX,2017-09-30,USD,896840000,35877000,3234000,3234000,3524000,25215000,2085151000,857023000,452882000,None,None,None,5369000,1465000,None,7428000,2475000,939878000,98290000,48221000,None,1859000,14336000,38524000,None,605415000,1859000,8615000,605415000,13477000,7396000,-43038000,None,-695104000,10000,9935383
REXX,2017-06-30,USD,905570000,45984000,12855000,12855000,2002000,23810000,2042942000,852278000,434483000,None,None,None,12137000,4820000,None,9319000,2488000,901872000,86423000,46235000,None,834000,7397000,30466000,None,600427000,834000,3627000,600427000,7663000,7731000,3698000,None,-647972000,10000,9952861
REXX,2017-03-31,USD,877395000,35941000,5075000,5075000,2124000,25312000,2012756000,835667000,419500000,None,None,None,6722000,3292000,None,5554000,2495000,864145000,82362000,36838000,None,801000,13602000,781783000,None,707860000,801000,106573000,707860000,14501000,8262000,13250000,None,-637771000,96000,99024368
REXX,2016-12-31,USD,893923000,33775000,3697000,3697000,2546000,25659000,2129403000,855444000,475205000,None,None,None,4085000,2212000,None,4419000,2492000,883697000,103708000,40712000,None,764000,25789000,776580000,None,3409000,764000,751946000,702808000,None,8671000,10226000,None,-640454000,10000,97870608
REXX,2016-09-30,USD,925273000,30930000,2524000,2524000,None,21866000,2139127000,888484000,459549000,None,None,None,8828000,None,None,None,2492000,849135000,69209000,29464000,None,201000,None,779926000,None,1468496000,201000,126061000,1468496000,None,9617000,None,None,None,94000,95886983
REXX,2016-06-30,USD,997906000,88127000,3438000,3438000,None,31692000,2215648000,905763000,459427000,None,None,None,6286000,None,None,None,2490000,1219160000,138270000,51915000,None,172000,None,791789000,None,2225026000,172000,141237000,2225026000,None,2860000,None,None,307506000,77000,78440589
REXX,2016-03-31,USD,1060326000,81404000,24891000,24891000,None,24333000,2552725000,971500000,720998000,None,None,None,37472000,None,None,None,2489000,957316000,100806000,42818000,None,9934000,None,856510000,None,810739000,9934000,143294000,810739000,None,3140000,None,None,None,63000,66041227
REXX,2015-12-31,USD,1071931000,108853000,1091000,1091000,None,10518000,2169162000,1001215000,430528000,None,None,None,43794000,None,None,None,2501000,911700000,116601000,36785000,None,402000,None,795116000,None,None,402000,109386000,None,None,3156000,None,None,None,54000,55741229
REXX,2015-09-30,USD,1146775000,63670000,3150000,3150000,None,29157000,2537283000,1044437000,631977000,None,None,None,40943000,None,None,None,None,887710000,93594000,29551000,None,668000,None,790936000,None,None,668000,69132000,None,None,3372000,None,None,None,54000,54975151
REXX,2015-06-30,USD,1302522000,None,6113000,6113000,None,29882000,1497918000,-7900000,489041000,None,None,None,29182000,None,None,None,None,940217000,122061000,34701000,None,725000,None,814850000,None,None,725000,260000,None,None,3634000,None,None,None,54000,55280071
REXX,2015-03-31,USD,1421517000,54447000,4964000,4964000,None,33388000,2797338000,1251792000,395337000,None,None,None,60581000,17692000,None,None,None,906651000,143944000,None,None,1056000,None,758663000,None,None,1056000,137000,None,None,3812000,None,None,None,54000,55266519
REXX,2014-12-31,USD,1232956000,129343000,17978000,17978000,None,44440000,2679632000,1224208000,366917000,None,None,None,52064000,17895000,None,None,None,870348000,25686000,53340000,None,1176000,None,683324000,None,None,1176000,251000,None,None,4018000,None,None,None,54000,54174763
REXX,2014-09-30,USD,35681000,154858000,87285000,87285000,None,53897000,1671934000,1307956000,4259000,None,None,None,25785000,18098000,None,None,None,23432000,110054000,56909000,None,1011000,None,755424000,None,None,1011000,6385000,None,None,100000,None,None,None,54000,54116652
REXX,2014-07-17,USD,6300000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
