SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
RGDO,2015-03-31,USD,45259000,None,44460000,44460000,None,None,None,11000,None,None,None,None,None,None,None,788000,None,7750000,7750000,None,None,None,None,None,None,None,None,None,None,7333000,None,37509000,None,None,34000,None
RGDO,2014-12-31,USD,54397000,None,51557000,51557000,None,None,None,239000,None,None,None,None,None,None,81000,2520000,None,9120000,9120000,None,None,None,None,None,None,None,None,None,None,6306000,None,45277000,None,None,34000,None
RGDO,2014-09-30,USD,70192000,None,60680000,60680000,None,None,None,316000,None,None,None,None,None,None,1082000,6764000,None,16454000,16454000,None,None,None,None,None,None,None,None,None,None,8260000,None,53738000,None,None,34000,None
RGDO,2014-06-30,USD,91576000,None,72720000,72720000,7300000,None,None,209000,None,None,None,None,None,None,1082000,3682000,None,17268000,17268000,None,None,None,None,None,None,None,None,None,None,10964000,None,74308000,None,None,34000,None
RGDO,2014-03-31,USD,50495000,None,34838000,34838000,4000000,None,None,131000,None,None,None,None,None,None,1082000,4026000,None,13019000,12021000,None,None,None,None,None,None,998000,None,None,None,7231000,None,37476000,None,None,23000,None
RGDO,2013-12-31,USD,45753000,None,30688000,30688000,4600000,None,None,108000,None,1266000,1266000,None,None,None,82000,3758000,None,11552000,9100000,None,None,None,None,None,None,2452000,None,None,None,5543000,None,34201000,None,None,21000,None
RGDO,2013-09-30,USD,57573000,None,43456000,43456000,4700000,None,None,102000,None,None,None,None,None,None,82000,5136000,None,9881000,5975000,None,None,None,None,None,None,3906000,None,None,None,5051000,None,47692000,None,None,21000,None
RGDO,2013-06-30,USD,25751000,None,14499000,14499000,None,None,None,86000,None,None,None,None,None,None,82000,8853000,None,7894000,3533000,None,None,None,None,None,None,4361000,None,None,None,1568000,None,17857000,None,None,None,None
RGDO,2012-12-31,USD,21803000,None,14764000,14764000,4494000,None,None,66000,None,None,None,None,None,None,82000,343000,None,5489000,3496000,None,None,None,None,None,None,1929000,None,None,None,722000,None,16314000,None,None,None,None
RGDO,2011-12-31,USD,14555000,None,9235000,9235000,498000,None,None,93000,None,None,None,None,None,None,82000,1030000,None,7970000,3256000,None,None,None,None,None,None,4714000,None,None,None,1650000,None,6585000,None,None,None,None
