SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
RIGP,2016-09-30,USD,2246000000,None,221000000,221000000,36000000,None,None,1859000000,None,None,None,None,None,None,None,11000000,None,61000000,49000000,None,None,None,None,None,None,None,None,None,None,4000000,None,1302000000,None,None,None,None
RIGP,2016-06-30,USD,2217000000,None,171000000,171000000,38000000,None,None,1873000000,None,None,None,None,None,None,None,12000000,None,80000000,68000000,None,None,None,None,None,None,None,None,None,None,8000000,None,1284000000,None,None,None,None
RIGP,2016-03-31,USD,2213000000,None,155000000,155000000,40000000,None,None,1885000000,None,None,None,None,None,None,None,4000000,None,81000000,66000000,None,None,None,None,None,None,None,None,None,None,13000000,None,1271000000,None,None,None,None
RIGP,2015-12-31,USD,2231000000,None,159000000,159000000,34000000,None,None,1895000000,None,None,None,None,None,None,None,7000000,None,86000000,68000000,None,None,None,None,None,None,None,None,None,None,17000000,None,1262000000,None,None,None,None
RIGP,2015-09-30,USD,2228000000,None,140000000,140000000,35000000,None,None,1916000000,None,None,None,None,None,None,None,19000000,None,109000000,86000000,None,None,None,None,None,None,None,None,None,None,19000000,None,1248000000,None,None,None,None
RIGP,2015-06-30,USD,2596000000,None,177000000,177000000,38000000,None,None,1932000000,None,289000000,289000000,289000000,None,None,None,19000000,None,160000000,129000000,None,None,None,None,None,None,None,None,None,None,19000000,None,1402000000,None,None,None,None
RIGP,2015-03-31,USD,2600000000,None,164000000,164000000,40000000,None,None,1949000000,None,289000000,289000000,289000000,None,None,None,11000000,None,204000000,168000000,None,None,None,None,None,None,None,None,None,None,20000000,None,1385000000,None,None,None,None
RIGP,2014-12-31,USD,2632000000,None,86000000,86000000,41000000,None,None,1966000000,None,356000000,356000000,356000000,None,None,None,14000000,None,181000000,138000000,None,None,None,None,None,None,None,None,None,None,19000000,None,1411000000,None,None,None,None
RIGP,2014-09-30,USD,2588000000,None,49000000,49000000,42000000,None,None,1976000000,None,356000000,356000000,356000000,None,None,None,19000000,None,170000000,121000000,None,None,None,None,None,None,None,None,None,None,21000000,None,1397000000,None,None,None,None
RIGP,2014-06-30,USD,2436000000,None,None,None,40000000,None,None,1989000000,None,213000000,213000000,213000000,None,None,None,22000000,None,98000000,27000000,None,None,None,None,None,None,None,None,None,None,27000000,None,2338000000,None,None,None,None
RIGP,2014-03-31,USD,2432000000,None,None,None,39000000,None,None,2005000000,None,213000000,213000000,213000000,None,None,None,17000000,None,112000000,34000000,None,None,None,None,None,None,None,None,None,None,34000000,None,2320000000,None,None,None,None
RIGP,2013-12-31,USD,2468000000,None,None,None,34000000,None,None,2038000000,None,213000000,213000000,213000000,None,None,None,22000000,None,124000000,37000000,None,None,None,None,None,None,None,None,None,None,37000000,None,2344000000,None,None,None,None
RIGP,2012-12-31,USD,2557000000,None,None,None,22000000,None,None,2098000000,None,213000000,213000000,213000000,None,None,None,22000000,None,169000000,38000000,None,None,None,None,None,None,None,None,None,None,38000000,None,2388000000,None,None,None,None
