SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
SAFT,2020-12-31,USD,2054273000,54210000,53769000,54210000,None,None,98350000,31000000,None,None,None,None,1507587000,45239000,1257094000,127788000,201380000,1169594000,127097000,None,None,None,30000000,17611000,31000000,30000000,30000000,None,30000000,421901000,1035353000,884679000,123834000,745029000,178000,14893698
SAFT,2020-09-30,USD,2047110000,59749000,59749000,59749000,None,None,74607000,32004000,None,None,None,None,1460000000,42603000,1225157000,134807000,212564000,1209259000,80201000,None,None,None,30000000,8886000,32004000,30000000,30000000,None,30000000,447317000,1087142000,837851000,123834000,705469000,178000,14893698
SAFT,2020-06-30,USD,2018914000,44757000,44757000,44757000,None,None,68618000,33092000,None,None,None,None,1433587000,35526000,1219714000,140396000,218839000,1201936000,1171936000,None,None,None,30000000,4413000,33092000,30000000,30000000,None,30000000,440007000,1099554000,816978000,105980000,674349000,177000,15143452
SAFT,2020-03-31,USD,1930719000,41567000,41567000,41567000,None,None,82138000,34256000,None,None,None,None,1357224000,41881000,1165455000,144528000,218827000,1168610000,1138610000,None,None,None,30000000,1077813000,34256000,30000000,None,None,30000000,428834000,1077813000,762109000,94227000,645691000,177000,15309497
SAFT,2019-12-31,USD,2022669000,44407000,44407000,44407000,None,None,91287000,54009000,None,74287000,74287000,None,1442955000,37278000,1228040000,142095000,218363000,1214263000,80733000,None,None,None,None,1132870000,33998000,None,None,None,33998000,456847000,1127153000,808406000,83835000,661553000,177000,15383209
SAFT,2019-09-30,USD,117884000,47482000,47482000,47482000,None,None,69964000,35758000,None,78344000,78344000,None,1409096000,34206000,1207829000,160568000,218503000,601459000,64241000,None,None,None,None,1174064000,35758000,None,None,None,35758000,466003000,1171338000,792077000,83835000,646687000,177000,15000000
SAFT,2019-06-30,USD,112228000,37968000,37968000,37968000,None,None,66240000,36116000,None,75670000,75670000,None,1374034000,30124000,1178251000,149351000,208430000,589123000,58020000,None,None,None,None,1125582000,36116000,None,None,None,36116000,453612000,1124361000,783049000,83835000,644922000,177000,15000000
SAFT,2019-03-31,USD,109200000,22892000,22892000,22892000,None,None,26238000,36992000,None,71905000,71905000,None,1360093000,26238000,1173384000,148531000,197578000,581762000,56824000,None,None,None,None,1095301000,36992000,36992000,None,None,36992000,438675000,1095301000,755062000,83835000,631359000,177000,15000000
SAFT,2018-12-31,USD,1856240000,185593000,37582000,185593000,None,None,47814000,15584000,None,73355000,73355000,None,1333354000,23481000,1161862000,130509000,156014000,1137596000,80645000,None,None,None,None,1054454000,None,None,None,None,None,456119000,1054454000,718644000,83835000,616717000,176000,15000000
SAFT,2018-09-30,USD,1878630000,51317000,51317000,51317000,None,None,25961000,None,None,77533000,77533000,None,1315528000,25961000,1131133000,134042000,152314000,1166759000,61280000,None,None,None,None,1101517000,None,None,None,None,None,460405000,1101517000,711871000,83835000,610768000,176000,15000000
SAFT,2018-06-30,USD,1830326000,18722000,18722000,18722000,None,None,23074000,None,None,75223000,75223000,None,1303173000,23074000,1145335000,129497000,146155000,1133858000,55576000,None,None,None,None,1073363000,None,None,None,None,None,452402000,1073363000,696468000,83835000,594172000,176000,15000000
SAFT,2018-03-31,USD,1797337000,24830000,24830000,24830000,None,None,24883000,None,None,71217000,71217000,None,1296607000,24883000,1155123000,124447000,136590000,1111692000,51989000,None,None,None,None,1050653000,None,None,None,None,None,427231000,1050653000,685645000,83835000,579651000,176000,15000000
SAFT,2017-12-31,USD,1807279000,41708000,41708000,41708000,None,None,33029000,9867000,None,72202000,72202000,None,1307055000,23162000,1172026000,116737000,127550000,1106263000,63618000,None,None,None,None,1041374000,None,None,None,None,None,442628000,1038457000,701016000,83835000,570693000,175000,15000000
SAFT,2017-09-30,USD,1854610000,31934000,31934000,31934000,None,None,27893000,None,None,None,None,None,1311511000,27893000,1177631000,145481000,139411000,1151771000,57702000,None,None,None,None,1085621000,None,None,None,None,None,451119000,1079209000,702839000,83835000,571552000,175000,15000000
SAFT,2017-06-30,USD,1815049000,34297000,34297000,34297000,None,None,27492000,None,None,None,None,None,1287564000,27492000,1148659000,139445000,130741000,1121215000,58581000,None,None,None,None,1052374000,None,None,None,None,None,442031000,1047871000,693834000,83835000,565782000,175000,15000000
SAFT,2017-03-31,USD,1761030000,32241000,32241000,32241000,None,None,24025000,None,None,None,None,None,1271933000,24025000,1139788000,128377000,128349000,1083181000,49360000,None,None,None,None,1021305000,None,None,None,None,None,419848000,1021305000,677849000,83835000,555340000,175000,15000000
SAFT,2016-12-31,USD,1758246000,20052000,20052000,20052000,None,None,30088000,8946000,None,70996000,70996000,None,1280506000,21142000,1154269000,122086000,121868000,1087520000,69888000,None,None,None,None,1014041000,None,None,None,None,None,433786000,1014041000,670726000,83835000,553995000,174000,15000000
SAFT,2016-09-30,USD,1795573000,52277000,52277000,52277000,None,None,21622000,None,None,None,None,None,1274526000,21622000,1152283000,None,122553000,1108270000,60461000,None,None,None,None,1047125000,None,None,None,None,None,None,1041046000,687303000,83835000,552657000,174000,15000000
SAFT,2016-06-30,USD,1764499000,44053000,44053000,44053000,None,None,19304000,None,None,None,None,None,1248542000,19304000,1112277000,None,122655000,1084464000,58879000,None,None,None,None,1025609000,None,None,None,None,None,None,1018492000,680035000,83835000,544672000,174000,15000000
SAFT,2016-03-31,USD,1694230000,35940000,35940000,35940000,None,None,17572000,None,None,None,None,None,1219957000,17572000,1091263000,None,38386000,1035899000,47891000,None,None,None,None,987125000,None,None,None,None,None,None,985827000,658331000,83835000,533916000,174000,15000000
