SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
SAGE,2020-12-31,USD,2159246000,2122370000,1661082000,2538016000,None,None,36876000,6755000,7088000,None,None,None,876934000,None,876934000,22821000,3341000,86912000,67204000,3691000,None,None,None,19708000,28100000,None,None,None,28100000,8662000,270000,2072334000,400000,-1037494000,6000,58308411
SAGE,2020-09-30,USD,738628000,698884000,184270000,1152804000,None,None,39744000,7404000,6439000,None,None,None,968534000,None,968534000,30347000,3427000,81047000,59665000,4289000,None,None,8620000,21382000,29689000,None,None,None,29689000,8620000,313000,657581000,400000,-2012389000,5000,52022829
SAGE,2020-06-30,USD,827242000,785384000,258228000,1254816000,None,None,41858000,8077000,5830000,None,None,None,996588000,None,996588000,28862000,3415000,87327000,64292000,2387000,None,None,None,23035000,31238000,None,None,None,31238000,8577000,374000,739915000,400000,-1906654000,5000,51934979
SAGE,2020-03-31,USD,944973000,898236000,199444000,1546070000,None,None,46737000,8684000,5168000,None,None,None,1346626000,None,1346626000,25479000,3694000,95767000,70360000,7910000,None,10270000,None,25407000,35221000,None,10270000,None,35221000,10270000,456000,849206000,400000,-1770307000,5000,51917819
SAGE,2019-12-31,USD,1084150000,1035093000,126705000,1890081000,None,None,49057000,9126000,4499000,None,None,None,1763376000,None,1763376000,26700000,3793000,139495000,112128000,15266000,None,10244000,None,27367000,37092000,None,10244000,None,37092000,10244000,519000,944655000,400000,-1643567000,5000,51877194
SAGE,2019-09-30,USD,1203727000,1152663000,259181000,1985319000,None,None,51064000,9365000,3834000,None,None,None,1726138000,None,1726138000,30413000,3818000,122656000,90956000,5041000,None,7557000,None,31700000,31360000,None,7557000,None,31360000,7788000,340000,1081071000,400000,-1474914000,5000,51815992
SAGE,2019-06-30,USD,1315547000,1263570000,166185000,2306913000,None,None,14753000,8363000,3136000,None,None,None,2140728000,None,2140728000,27021000,4023000,112672000,78953000,12431000,None,None,None,410000,33309000,None,None,None,33309000,7610000,410000,1202875000,400000,-1294956000,5000,51469104
SAGE,2019-03-31,USD,1422914000,1371532000,342295000,2360207000,None,None,13258000,6513000,2631000,None,None,None,2017912000,None,2017912000,20281000,4378000,103380000,68376000,13556000,None,None,7149000,476000,34528000,34528000,7149000,None,34528000,7169000,476000,1319534000,400000,-1126735000,5000,51034172
SAGE,2018-12-31,USD,952705000,944695000,190943000,1654609000,None,None,8010000,5643000,2216000,None,None,None,1463666000,None,1463666000,21919000,2367000,89734000,86030000,34036000,None,None,None,3704000,None,None,None,None,None,None,3704000,862971000,211000,-963329000,5000,46888263
SAGE,2018-09-30,USD,1046999000,1039912000,253123000,1789679000,None,None,7087000,5168000,1853000,None,None,None,1536556000,None,1536556000,18511000,1919000,58494000,54526000,5879000,None,None,None,3968000,None,None,None,None,None,48647000,3968000,988505000,211000,-804941000,5000,46830589
SAGE,2018-06-30,USD,1129483000,1123769000,325830000,1859036000,None,None,5714000,4445000,1566000,None,None,None,1533206000,None,1533206000,12958000,1269000,51720000,47919000,8338000,None,None,None,3801000,None,None,None,None,None,39581000,3801000,1077763000,211000,-682023000,5000,46603839
SAGE,2018-03-31,USD,1100652000,1095088000,557555000,1083513000,None,None,5564000,4295000,1320000,None,None,None,525958000,None,525958000,11575000,1269000,41376000,37872000,8350000,None,None,None,3504000,None,None,None,None,None,29522000,3504000,1059276000,211000,-665045000,5000,46458298
SAGE,2017-12-31,USD,529937000,525075000,306235000,731461000,None,None,4862000,4013000,1073000,None,None,None,425226000,None,425226000,6227000,849000,54462000,51951000,9350000,None,None,None,2511000,None,None,None,None,None,42601000,2511000,475475000,113000,-590447000,5000,42002934
SAGE,2017-09-30,USD,251085000,248343000,134916000,243500000,None,None,2742000,1893000,None,None,None,None,108535000,None,108535000,4892000,849000,51033000,49837000,13030000,None,None,None,1196000,None,None,None,None,None,36807000,1196000,200052000,17000,-521025000,4000,37524638
SAGE,2017-06-30,USD,293412000,291120000,133450000,285900000,None,None,2292000,1443000,None,None,None,None,152478000,None,152478000,5192000,849000,33108000,32281000,6042000,None,None,None,827000,None,None,None,None,None,26239000,827000,260304000,17000,-447306000,4000,37423118
SAGE,2017-03-31,USD,351168000,349044000,145460000,342564000,None,None,2124000,1560000,None,None,None,None,197104000,None,197104000,6480000,564000,32722000,31882000,8230000,None,None,None,840000,None,None,None,None,None,23652000,840000,318446000,17000,-377105000,4000,37306701
SAGE,2016-12-31,USD,404531000,402579000,168517000,397479000,None,None,1952000,1388000,None,None,None,None,228962000,None,228962000,5100000,564000,36014000,35169000,12817000,None,None,None,845000,None,None,None,None,None,22352000,845000,368517000,17000,-320327000,4000,37222172
SAGE,2016-09-30,USD,436301000,434688000,320078000,320078000,None,None,1613000,1049000,None,None,None,None,111192000,None,111192000,3418000,564000,22564000,22330000,5237000,None,None,None,234000,None,None,None,None,None,17093000,234000,413737000,None,-264426000,4000,37165124
SAGE,2016-06-30,USD,275630000,274107000,189003000,189003000,None,None,1523000,959000,None,None,None,None,83292000,None,83292000,1812000,564000,18421000,18339000,5957000,None,None,None,82000,None,None,None,None,None,12382000,82000,257209000,None,-226630000,3000,32073437
SAGE,2016-03-31,USD,303510000,302606000,299680000,299680000,None,None,904000,865000,None,None,None,None,None,None,None,2926000,39000,16010000,15970000,4540000,None,None,None,40000,None,None,None,None,None,11430000,40000,287500000,None,-191883000,3000,32038052
