SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
SDBT,2013-03-31,USD,36471000,None,14768000,14768000,None,None,None,1944000,None,8929000,8929000,6594000,None,None,1398000,1138000,None,6197000,5474000,None,None,None,None,None,None,None,None,None,None,4551000,None,30274000,-833000,None,18000,None
SDBT,2012-12-31,USD,38332000,None,10119000,10119000,None,None,None,2026000,None,9358000,9358000,6594000,None,None,4896000,1621000,None,6961000,6329000,None,None,None,None,None,None,None,None,None,None,4881000,None,31371000,-833000,None,17000,None
SDBT,2012-09-30,USD,46176000,None,16270000,16270000,None,None,None,2012000,None,9787000,9787000,6594000,None,None,7790000,1714000,None,7332000,6689000,None,None,None,None,None,None,None,None,None,None,5188000,None,38844000,-810000,None,17000,None
SDBT,2012-06-30,USD,46331000,None,16979000,16979000,None,None,None,1991000,None,10216000,10216000,6594000,None,None,7240000,1738000,None,7079000,5977000,None,None,None,None,None,None,None,None,None,None,4248000,None,39252000,-635000,None,17000,None
SDBT,2012-03-31,USD,47002000,None,15849000,15849000,None,None,None,2013000,None,10723000,10723000,6594000,None,None,8754000,1488000,None,6417000,5067000,None,None,None,None,None,None,None,None,None,None,4039000,None,40585000,-522000,None,17000,None
SDBT,2011-12-31,USD,46785000,None,17706000,17706000,None,None,None,2081000,None,6322000,6322000,4286000,None,None,10976000,1419000,None,6016000,4773000,None,None,None,None,None,None,None,None,None,None,4006000,None,40769000,-273000,None,17000,None
SDBT,2011-09-30,USD,45998000,None,20232000,20232000,None,None,None,2121000,None,6390000,6390000,4016000,None,None,7431000,1669000,None,5805000,4545000,None,None,None,None,None,None,None,None,None,None,3742000,None,40193000,-163000,None,17000,None
SDBT,2011-06-30,USD,46313000,None,28342000,28342000,None,None,None,2273000,None,6525000,6525000,3800000,None,None,None,1850000,None,6173000,4638000,None,None,None,None,None,None,None,None,None,None,3451000,None,40140000,-132000,None,17000,None
SDBT,2011-03-31,USD,44721000,None,33908000,33908000,None,None,None,2384000,None,1402000,1402000,908000,None,None,None,1065000,None,4677000,4171000,None,None,None,None,None,None,None,None,None,None,3413000,None,40044000,-132000,None,17000,None
SDBT,2010-12-31,USD,45975000,None,34157000,34157000,None,None,None,2550000,None,1279000,1279000,762000,None,None,None,1183000,None,4785000,4364000,None,None,None,None,None,None,None,None,None,None,3297000,None,41190000,-132000,None,17000,None
SDBT,2010-09-30,USD,46642000,None,35172000,35172000,None,None,None,2577000,None,1117000,1117000,599000,None,None,None,1047000,None,5868000,5407000,None,None,None,None,None,None,None,None,None,None,3613000,None,40774000,-132000,None,17000,None
SDBT,2010-06-30,USD,46779000,None,35195000,35195000,None,None,None,2865000,None,482000,482000,439000,None,None,None,1022000,None,5174000,4686000,None,None,None,None,None,None,None,None,None,None,3377000,None,41605000,-132000,None,17000,None
SDBT,2010-03-31,USD,47048000,None,36106000,36106000,None,None,None,2712000,None,379000,379000,323000,None,None,None,1033000,None,4747000,4220000,None,None,None,None,None,None,None,None,None,None,3241000,None,42301000,-132000,None,17000,None
SDBT,2009-12-31,USD,47754000,None,36322000,36322000,None,None,None,2789000,None,292000,292000,213000,None,None,None,1344000,None,4722000,4185000,None,None,None,None,None,None,None,None,None,None,3212000,None,43032000,-132000,None,17000,None
SDBT,2009-09-30,USD,47854000,None,37126000,37126000,None,None,None,3135000,None,204000,204000,95000,None,None,None,1208000,None,4295000,3887000,None,None,None,None,None,None,None,None,None,None,3105000,None,43559000,-132000,None,17000,None
SDBT,2009-06-30,USD,47826000,None,37018000,37018000,None,None,None,3383000,None,138000,138000,None,None,None,None,1158000,None,3882000,3425000,None,None,None,None,None,None,None,None,None,None,2524000,None,43944000,-132000,None,17000,None
SDBT,2009-03-31,USD,48813000,None,37622000,37622000,None,None,None,3797000,None,168000,168000,None,None,None,None,1150000,None,3822000,3313000,None,None,None,None,None,None,None,None,None,None,2564000,None,44991000,-132000,None,17000,None
SDBT,2008-12-31,USD,49830000,None,37425000,37425000,None,None,None,4276000,None,205000,205000,None,None,None,None,1221000,None,4076000,3622000,None,None,None,None,None,None,None,None,None,None,3158000,None,45754000,-132000,None,16000,None
SDBT,2008-09-30,USD,51082000,None,38317000,38317000,None,None,None,4872000,None,249000,249000,None,None,None,None,1000000,None,4343000,4343000,None,None,None,None,None,None,None,None,None,None,3201000,None,46739000,-132000,None,16000,None
SDBT,2008-06-30,USD,53470000,None,38931000,38931000,None,None,None,5401000,None,473000,473000,181000,None,None,None,1317000,None,5486000,5486000,None,None,None,None,None,None,None,None,None,None,4491000,None,47984000,-132000,None,16000,None
SDBT,2008-03-31,USD,50157000,None,35918000,35918000,None,None,None,5867000,None,491000,491000,156000,None,None,None,1214000,None,5380000,5380000,None,None,None,None,None,None,None,None,None,None,4446000,None,44777000,-132000,None,15000,None
